# result of org.languagetool.dev.eval.RealWordFalseAlarmEvaluator (grepped for "^DATA;"): 
sod;301;6;1.99
bey;180;49;27.22
bailing;88;0;0.00
assesses;309;6;1.94
seeder;23;2;8.70
sail;1001;179;17.88
tightens;85;0;0.00
apposition;61;40;65.57
vary;1001;29;2.90
peer;1001;15;1.50
sashay;3;0;0.00
fluor;7;2;28.57
stoup;7;2;28.57
medal;1001;8;0.80
aught;52;10;19.23
prey;1001;37;3.70
Sunday;1001;1;0.10
jewel;1001;3;0.30
pore;622;143;22.99
statute;1001;33;3.30
wet;1001;0;0.00
vintage;1001;67;6.69
hummock;18;3;16.67
coo;45;10;22.22
statues;1001;158;15.78
forward;1001;3;0.30
re;1001;0;0.00
Claus;1001;29;2.90
em;1001;60;5.99
wain;13;4;30.77
teeming;135;1;0.74
ti;1001;37;3.70
mined;1001;99;9.89
pi;1001;43;4.30
darne;0;0;NaN
statue;1001;167;16.68
warship;1001;218;21.78
ensured;1001;19;1.90
gnu;88;18;20.45
seek;1001;3;0.30
lee;294;19;6.46
Unix;1001;34;3.40
insight;1001;0;0.00
racket;379;6;1.58
adopts;1001;4;0.40
cops;493;1;0.20
bier;97;42;43.30
sow;319;118;36.99
assent;839;47;5.60
ail;25;1;4.00
breaths;138;2;1.45
adopter;137;15;10.95
brows;56;0;0.00
Pole;1001;42;4.20
root;1001;69;6.89
die;1001;31;3.10
morning;1001;0;0.00
improvised;1001;382;38.16
barren;1001;3;0.30
ohs;7;0;0.00
we'll;907;0;0.00
assessing;1001;13;1.30
gaffes;109;2;1.83
hi;1001;62;6.19
pane;302;73;24.17
clime;19;2;10.53
sonny;8;2;25.00
juggler;122;19;15.57
wile;18;4;22.22
adopt;1001;25;2.50
pare;53;4;7.55
tried;1001;3;0.30
staid;131;5;3.82
morn;37;2;5.41
troupers;3;1;33.33
soul;1001;12;1.20
plain;1001;128;12.79
bailer;21;3;14.29
whole;1001;0;0.00
awful;804;1;0.12
guild;992;3;0.30
panes;296;43;14.53
polar;1001;0;0.00
peal;115;13;11.30
tier;1001;43;4.30
moot;600;82;13.67
marquee;395;58;14.68
pie;1001;39;3.90
sax;652;30;4.60
serge;42;8;19.05
which;1001;0;0.00
souls;1001;6;0.60
summery;22;11;50.00
breathes;178;3;1.69
wen;205;14;6.83
improving;1001;0;0.00
pair;1001;2;0.20
tailor;956;0;0.00
slough;107;3;2.80
board;1001;2;0.20
tray;750;0;0.00
I'll;1001;0;0.00
rapt;27;2;7.41
haut;110;1;0.91
epoch;1001;111;11.09
craze;758;0;0.00
throne;1001;0;0.00
ark;402;135;33.58
son;1001;4;0.40
potpourri;49;4;8.16
eminent;1001;15;1.50
gallop;232;0;0.00
ferrate;7;1;14.29
pleaded;1001;0;0.00
four;1001;97;9.69
mute;849;30;3.53
titans;66;3;4.55
past;1001;17;1.70
low;1001;0;0.00
ferry;1001;41;4.10
levy;972;24;2.47
vantage;453;1;0.22
auger;101;0;0.00
pinscher;6;2;33.33
horde;308;35;11.36
laze;3;0;0.00
conch;260;0;0.00
succor;26;4;15.38
starred;1001;34;3.40
butte;81;0;0.00
dual;1001;9;0.90
pique;108;14;12.96
yolks;160;6;3.75
wheeled;1001;4;0.40
fro;127;46;36.22
clew;42;28;66.67
floe;78;37;47.44
byte;1001;117;11.69
palate;721;4;0.55
vales;48;9;18.75
bald;1001;0;0.00
cellar;942;109;11.57
canvas;1001;5;0.50
disk;1001;46;4.60
chute;446;138;30.94
here;1001;1;0.10
peaked;1001;12;1.20
threw;1001;257;25.67
shear;1001;18;1.80
thyme;165;46;27.88
extract;1001;33;3.30
drier;1001;24;2.40
suede;132;0;0.00
lamb;1001;0;0.00
troup;22;13;59.09
bark;1001;4;0.40
berry;598;23;3.85
populace;1001;4;0.40
portrait;1001;1;0.10
aid;1001;0;0.00
bear;1001;21;2.10
messages;1001;0;0.00
essay;1001;2;0.20
paste;1001;4;0.40
series;1001;0;0.00
collage;694;265;38.18
rum;1001;0;0.00
dam;1001;11;1.10
beer;1001;0;0.00
coarse;1001;94;9.39
throe;1;1;100.00
toll;1001;0;0.00
accessed;1001;323;32.27
spade;364;0;0.00
prince;1001;8;0.80
loupe;25;8;32.00
plural;1001;6;0.60
altar;1001;7;0.70
conk;8;2;25.00
scene;1001;32;3.20
overdue;345;0;0.00
dryer;361;78;21.61
pee;133;8;6.02
cygnet;8;4;50.00
expand;1001;0;0.00
wield;535;7;1.31
viol;220;39;17.73
wrest;222;42;18.92
cannon;1001;106;10.59
tired;1001;38;3.80
anecdote;650;14;2.15
defused;187;78;41.71
growns;0;0;NaN
cue;1001;108;10.79
ore;1001;217;21.68
wraps;587;10;1.70
access;1001;34;3.40
rooted;1001;12;1.20
rays;1001;3;0.30
disgust;937;40;4.27
guessed;464;16;3.45
vein;1001;12;1.20
pain;1001;0;0.00
mite;308;44;14.29
mi;1001;247;24.68
cymbal;547;287;52.47
liken;85;0;0.00
beat;1001;2;0.20
sawed;205;4;1.95
carrot;381;5;1.31
ate;1001;41;4.10
lightning;1001;0;0.00
heroin;1001;64;6.39
chilly;279;21;7.53
cashed;211;23;10.90
loos;4;0;0.00
check;1001;4;0.40
message;1001;0;0.00
solace;302;1;0.33
knead;23;12;52.17
stationery;500;53;10.60
tic;249;14;5.62
deviate;550;5;0.91
we've;1001;0;0.00
some;1001;0;0.00
lean;1001;38;3.80
ordinance;1001;6;0.60
lam;306;31;10.13
extant;1001;81;8.09
eye;1001;70;6.99
toxin;1001;1;0.10
maze;1001;6;0.60
misses;1001;0;0.00
based;1001;0;0.00
nod;815;4;0.49
wary;987;217;21.99
soar;240;16;6.67
angel;1001;184;18.38
choose;1001;0;0.00
roles;1001;7;0.70
sighs;74;15;20.27
flour;1001;95;9.49
knap;4;0;0.00
prize;1001;0;0.00
dose;1001;21;2.10
sighting;1001;34;3.40
phial;16;10;62.50
he'd;1001;0;0.00
pours;232;5;2.16
wines;1001;0;0.00
loon;177;4;2.26
hours;1001;2;0.20
aye;245;58;23.67
adze;85;26;30.59
wrapper;432;0;0.00
reseed;7;3;42.86
li;1001;3;0.30
cast;1001;11;1.10
galley;533;0;0.00
waved;455;19;4.18
cored;104;11;10.58
portray;1001;6;0.60
spore;425;4;0.94
peeled;314;0;0.00
aweful;1;1;100.00
pores;686;2;0.29
sun;1001;23;2.30
reads;1001;18;1.80
illude;0;0;NaN
tire;1001;0;0.00
towed;1001;22;2.20
meat;1001;22;2.20
mein;345;30;8.70
wrested;204;19;9.31
not;1001;0;0.00
feign;141;3;2.13
waive;300;30;10.00
signet;127;0;0.00
improvises;57;16;28.07
tea;1001;15;1.50
Kew;1001;102;10.19
ant;1001;78;7.79
hoar;17;0;0.00
psi;634;53;8.36
Cypress;1001;92;9.19
warn;1001;10;1.00
fazed;19;0;0.00
course;1001;2;0.20
harry;43;2;4.65
bee;1001;204;20.38
whines;33;5;15.15
wracking;40;5;12.50
stayed;1001;0;0.00
college;1001;0;0.00
bases;1001;165;16.48
room;1001;0;0.00
ink;1001;0;0.00
hale;28;7;25.00
broach;114;28;24.56
dyes;1001;68;6.79
seam;809;55;6.80
canon;1001;44;4.40
leas;2;0;0.00
nits;20;0;0.00
Boer;1001;44;4.40
weld;439;0;0.00
discussed;1001;1;0.10
wale;33;15;45.45
adapters;524;24;4.58
noes;12;4;33.33
peek;176;47;26.70
finds;1001;8;0.80
missal;58;25;43.10
routing;1001;12;1.20
basque;76;9;11.84
seas;1001;10;1.00
call;1001;0;0.00
purr;51;13;25.49
career;1001;6;0.60
ale;1001;13;1.30
accept;1001;19;1.90
sore;698;0;0.00
pallette;10;4;40.00
wined;13;1;7.69
side;1001;0;0.00
evaporate;422;25;5.92
fair;1001;4;0.40
wig;729;4;0.55
lends;972;14;1.44
pall;155;18;11.61
terne;6;3;50.00
straight;1001;1;0.10
isle;379;94;24.80
sleigh;220;1;0.45
rested;1001;11;1.10
omitting;608;9;1.48
rough;1001;1;0.10
allusions;992;54;5.44
main;1001;0;0.00
bit;1001;0;0.00
dyer;57;15;26.32
Bel;1001;33;3.30
all;1001;0;0.00
jamb;29;9;31.03
no;1001;13;1.30
barque;286;108;37.76
wretch;62;0;0.00
caul;84;56;66.67
Lou;1001;9;0.90
ho;878;3;0.34
knight;1001;461;46.05
bail;1001;22;2.20
shake;1001;2;0.20
mooed;1;1;100.00
pursue;1001;0;0.00
rights;1001;5;0.50
celibate;295;15;5.08
gauge;1001;2;0.20
canter;100;11;11.00
illusion;1001;17;1.70
Chile;1001;2;0.20
ax;289;49;16.96
peak;1001;3;0.30
rolls;1001;196;19.58
due;1001;4;0.40
mews;58;15;25.86
sinking;1001;0;0.00
by;1001;0;0.00
foe;1001;2;0.20
sou;74;7;9.46
Sioux;1001;9;0.90
mall;1001;0;0.00
guys;1001;5;0.50
diffused;300;3;1.00
pros;370;85;22.97
mends;22;2;9.09
sane;435;0;0.00
doc;604;22;3.64
seams;564;40;7.09
tolled;268;123;45.90
writes;1001;31;3.10
dyed;786;84;10.69
butt;788;128;16.24
calender;13;11;84.62
phantom;637;3;0.47
Collage;132;50;37.88
prostate;1001;9;0.90
synching;141;9;6.38
suit;1001;6;0.60
more;1001;0;0.00
ewes;120;58;48.33
beech;679;51;7.51
clique;621;67;10.79
waist;1001;114;11.39
mining;1001;0;0.00
boulder;695;10;1.44
pear;744;96;12.90
baled;59;11;18.64
dyeing;369;74;20.05
haul;1001;60;5.99
preceded;1001;16;1.60
ringer;208;8;3.85
scent;1001;142;14.19
epochs;302;21;6.95
soulless;113;13;11.50
vain;1001;13;1.30
clue;1001;1;0.10
pulled;1001;8;0.80
defuse;307;39;12.70
pray;1001;17;1.70
worn;1001;1;0.10
presidents;1001;74;7.39
rued;9;3;33.33
warranty;543;1;0.18
heard;1001;0;0.00
heart;1001;0;0.00
guide;1001;0;0.00
steppe;1001;215;21.48
medium;1001;3;0.30
sweets;771;34;4.41
pails;37;1;2.70
waived;868;155;17.86
adapting;1001;264;26.37
leis;28;6;21.43
seiner;162;1;0.62
row;1001;0;0.00
wresting;54;13;24.07
caws;7;3;42.86
marquis;565;7;1.24
rude;1001;0;0.00
gored;68;4;5.88
haze;431;0;0.00
epics;793;87;10.97
braise;12;0;0.00
toad;572;1;0.17
inc;528;10;1.89
inn;1001;295;29.47
tenor;1001;0;0.00
rote;246;7;2.85
prophet;1001;138;13.79
sight;1001;131;13.09
hoe;244;20;8.20
liar;572;11;1.92
sough;21;8;38.10
marry;1001;1;0.10
resonate;254;0;0.00
fills;1001;0;0.00
missile;1001;0;0.00
purl;36;3;8.33
for;1001;0;0.00
principles;1001;0;0.00
cease;1001;45;4.50
greaves;45;1;2.22
ascent;1001;73;7.29
dew;555;108;19.46
roll;1001;125;12.49
improvise;474;310;65.40
loose;1001;11;1.10
lie;1001;0;0.00
we'd;698;0;0.00
proposition;1001;2;0.20
shone;328;112;34.15
flu;1001;49;4.90
lynx;515;125;24.27
damn;694;37;5.33
poler;1;0;0.00
braid;426;1;0.23
tick;562;7;1.25
islet;624;1;0.16
omit;742;34;4.58
lessen;700;7;1.00
lune;136;0;0.00
scared;899;58;6.45
gaffe;106;17;16.04
bawd;8;0;0.00
tails;1001;171;17.08
disburse;41;17;41.46
ton;1001;0;0.00
averse;339;11;3.24
cent;1001;16;1.60
surge;1001;0;0.00
blue;1001;1;0.10
blew;1001;18;1.80
raze;108;96;88.89
graft;653;0;0.00
sics;5;2;40.00
latter;1001;26;2.60
rain;1001;15;1.50
worship;1001;2;0.20
wit;1001;157;15.68
tics;211;29;13.74
currant;81;18;22.22
knickers;54;0;0.00
lei;335;90;26.87
cite;1001;76;7.59
leach;150;1;0.67
fairing;312;24;7.69
complaisance;7;0;0.00
pale;1001;3;0.30
block;1001;7;0.70
minding;58;13;22.41
grade;1001;0;0.00
militate;16;3;18.75
use;1001;0;0.00
filter;1001;0;0.00
coffer;80;0;0.00
guise;1001;27;2.70
wrapped;1001;17;1.70
proceeded;1001;6;0.60
or;1001;0;0.00
prayed;976;67;6.86
proceeds;1001;2;0.20
time;1001;0;0.00
read;1001;3;0.30
picnic;1001;0;0.00
whacks;16;3;18.75
wave;1001;1;0.10
peaking;1001;4;0.40
caller;1001;210;20.98
leech;116;4;3.45
Greece;1001;2;0.20
lochs;152;57;37.50
grown;1001;0;0.00
eyelet;34;14;41.18
synch;90;10;11.11
liable;1001;8;0.80
principal;1001;24;2.40
tales;1001;9;0.90
hairs;1001;5;0.50
curser;0;0;NaN
phew;4;1;25.00
night;1001;0;0.00
ryes;4;1;25.00
opposition;1001;0;0.00
berth;1001;397;39.66
clinched;748;37;4.95
claws;1001;148;14.79
sons;1001;0;0.00
jugular;202;0;0.00
nights;1001;23;2.30
wandered;552;23;4.17
sower;15;2;13.33
furr;5;0;0.00
precedence;1001;75;7.49
fairy;1001;17;1.70
bored;1001;89;8.89
tort;697;0;0.00
clothes;1001;57;5.69
gilt;420;34;8.10
owes;1001;0;0.00
site;1001;36;3.60
peddle;25;0;0.00
grayed;14;2;14.29
racking;161;0;0.00
does;1001;0;0.00
fares;1001;61;6.09
leased;1001;153;15.28
neighs;4;0;0.00
sights;1001;432;43.16
place;1001;0;0.00
choler;5;2;40.00
fine;1001;21;2.10
sue;1001;3;0.30
diffuse;1001;23;2.30
elicit;556;5;0.90
bin;1001;22;2.20
yolk;505;60;11.88
tocsin;9;2;22.22
form;1001;84;8.39
can't;1001;0;0.00
faint;1001;0;0.00
brakes;1001;131;13.09
whined;6;2;33.33
so;1001;0;0.00
breath;1001;12;1.20
adapts;369;78;21.14
gaze;642;4;0.62
surfs;20;5;25.00
ants;1001;9;0.90
deserts;1001;7;0.70
flex;525;9;1.71
deer;1001;15;1.50
daze;56;12;21.43
waiver;465;5;1.08
aweigh;5;2;40.00
piece;1001;89;8.89
leek;117;34;29.06
frees;711;32;4.50
him;1001;0;0.00
gnawed;32;1;3.13
serfs;628;0;0.00
witch;1001;165;16.48
vice;1001;1;0.10
pooled;316;82;25.95
oracle;1001;4;0.40
road;1001;2;0.20
toon;112;30;26.79
reeked;15;0;0.00
weak;1001;22;2.20
sheer;1001;27;2.70
hide;1001;0;0.00
reeds;787;55;6.99
revue;1001;390;38.96
limb;1001;0;0.00
WACs;19;5;26.32
bettor;122;92;75.41
prepositions;524;201;38.36
castor;227;4;1.76
bourn;9;4;44.44
load;1001;0;0.00
links;1001;0;0.00
wye;135;38;28.15
lock;1001;2;0.20
need;1001;0;0.00
fare;1001;166;16.58
fils;271;9;3.32
cocks;188;10;5.32
stare;427;3;0.70
bawled;6;1;16.67
sails;1001;336;33.57
clause;1001;3;0.30
sense;1001;16;1.60
chord;1001;215;21.48
sheave;41;0;0.00
pallet;321;64;19.94
spayed;45;2;4.44
bask;82;0;0.00
warrantee;3;2;66.67
you;1001;0;0.00
wandering;1001;16;1.60
bury;1001;3;0.30
imminently;43;6;13.95
discreet;385;73;18.96
holy;1001;9;0.90
wry;228;3;1.32
copes;67;3;4.48
ticks;417;11;2.64
addition;1001;5;0.50
pony;779;0;0.00
tare;61;7;11.48
halve;115;103;89.57
expanding;1001;2;0.20
wales;33;10;30.30
precedents;559;65;11.63
rigid;1001;0;0.00
knit;824;1;0.12
desert;1001;6;0.60
knob;638;0;0.00
adopters;170;3;1.76
poled;35;8;22.86
hammock;139;2;1.44
neap;36;0;0.00
missed;1001;8;0.80
flue;344;17;4.94
censor;856;87;10.16
brood;903;208;23.03
tongue;1001;0;0.00
hoarse;134;29;21.64
rigger;69;11;15.94
floor;1001;0;0.00
shown;1001;0;0.00
overheard;497;20;4.02
codling;14;0;0.00
wait;1001;27;2.70
belle;273;24;8.79
pawl;95;41;43.16
hoes;86;7;8.14
wok;153;105;68.63
quarts;70;8;11.43
why;1001;0;0.00
hoard;450;70;15.56
sensor;1001;18;1.80
story;1001;0;0.00
farrow;8;0;0.00
build;1001;1;0.10
slow;1001;0;0.00
reel;1001;251;25.07
moray;47;3;6.38
rime;205;70;34.15
mock;1001;0;0.00
morale;1001;175;17.48
sheers;9;0;0.00
pole;1001;8;0.80
away;1001;0;0.00
bloc;1001;197;19.68
breech;961;273;28.41
a;1001;0;0.00
rein;432;87;20.14
pharoah;0;0;NaN
wrote;1001;0;0.00
chalk;1001;1;0.10
nob;9;0;0.00
gated;1001;0;0.00
stakes;1001;6;0.60
groaning;49;13;26.53
