النمط	المستبدل	ملاحظة1	الخطأ	الصحيح		
يا أبَتِي	يا أبَتِ	التاء عِوَضٌ من الياء المحذوفة	يا أبَتِي	يا أبَتِ		 
أبُ الفقيد	أبو الفقيد|أبا الفقيد|أبي الفقيد	أب من الأسماء الخمسةـ ترفع بالواو، وتجر بالياء، وتنصب بالألف 	أبُ الفقيد	أبُو الفقيد		
بكى من شدة التأثير	بكى من شدة التأثـُّر	(أثـّر فيه تأثيراً): ترك فيه أثراً	بكى من شدة التأثير	بكى من شدة التأثـُّر		
له قيمة محددة من أجل مادة	له قيمة محددة لمادة		له قيمة محددة من أجل مادة معينـَّة	له قيمة محددة لمادة معينـَّة		
وَقَع مؤخَّراً	وَقَع حديثاً| وقع قريباً |وقع منذ عهد قريب|وقع قبل مدة قصيرة	(المُؤَخـَّر): نهاية الشيء من الخلف	وَقَع مؤخَّراً	وَقَع حديثاً / قريباً / منذ عهد قريب / قبل مدة قصيرة		
استأذن منه 	استأذنه		استأذن منه 	استأذنه		
هذا الأرنب	هذه الأرنب	(الأرنب) اسمٌ مؤنـّث	هذا الأرنب	هذه الأرنب		
هل أنتَ متأكِّد	هل أنتَ متيقِّن| هل أنتَ متحقق	متيقن أو متحقق بدلا من متأكد	هل أنتَ متأكِّد؟	هل أنتَ متيقِّن؟ / هل أنتَ متحقق؟		
أكَّد بأن	أكَّد أنّ	لا حاجة لحرف الجر باء	أكَّد بأنـَّه صادقٌ	أكَّد أنـَّه صادقٌ		
يجب أن نتأكّد من	يجب أن يتأكّد لنا		يجب أن نتأكّد من حدوث كذا	يجب أن يتأكّد لنا حدوثُ كذا		
يجب أن نتأكّد من	يجب أن نتحقّق |يجب أن نتيَقَّن		يجب أن نتأكّد من حدوث كذا	يجب أن نتحقّق / نتيَقَّن حدوثَ كذا		
يجب أن نتأكّد من	يجب أن نستَيْقِنَ		يجب أن نتأكّد من حدوث كذا	يجب أن نستَيْقِنَ حدوثَ كذا		
