# A POS tag dictionary that's used as an addition (or as a fix) to catalan.dict
# These words are candidates to be added (or fixed) in catalan.dict in the future
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
########## Dictionary fixes ##########
########## Additions ##########
Aiguadolç	Aiguadolç	NPMSG00
Coliseum	Coliseum	NPMSO00
Dimona	Dimona	NPCSG00
Leavitt	Leavitt	NPCNSP0
Miguel	Miguel	NPCN000
Miguel	Miguel	NPMSSP0
Rayuela	Rayuela	NPFSO00
Urriés	Urriés	NPCSG00
Vicente	Vicente	NPCNSP0
autocèntric	autocèntric	AQ0MS0
autocèntrica	autocèntric	AQ0FS0
autocèntrics	autocèntric	AQ0MP0
autocèntriques	autocèntric	AQ0FP0
comunot	comunot	AQ0MS0
comunota	comunot	AQ0FS0
comunotes	comunot	AQ0FP0
comunots	comunot	AQ0MP0
desarmant	desarmant	AQ0CS0
desarmants	desarmant	AQ0CP0
hiperteatralitat	hiperteatralitat	NCFS000
hiperteatralitats	hiperteatralitat	NCFP000
neoconfuciana	neoconfucià	AQ0FS0
neoconfucianes	neoconfucià	AQ0FP0
neoconfucianista	neoconfucianista	AQ0CS0
neoconfucianistes	neoconfucianista	AQ0CP0
neoconfucians	neoconfucià	AQ0MP0
neoconfucià	neoconfucià	AQ0MS0
neohel·lenista	neohel·lenista	NCCS000
neohel·lenistes	neohel·lenista	NCCP000
ràndom	ràndom	AQ0CN0
therian	therian	AQ0CS0
therian	therian	NCCS000
therians	therian	AQ0CP0
therians	therian	NCCP000
