# A POS tag dictionary that's used as an addition (or as a fix) to catalan.dict
# These words are candidates to be added (or fixed) in catalan.dict in the future
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
########## Dictionary fixes ##########
########## Additions ##########
ANSI	ANSI	NPMSO00
GB	GB	NCMN000
GHz	GHz	NCMN000
Gbit	Gbit	NCMN000
Hz	Hz	NCMN000
Juno	Juno	NPFSSP0
MB	MB	NCMN000
MHz	MHz	NCMN000
Mbit	Mbit	NCMN000
Wallapop	Wallapop	NPCNO00
anandra	anandre	AQ0FS0
anandre	anandre	AQ0MS0
ansiolític	ansiolític	AQ0MS0
ansiolítica	ansiolític	AQ0FS0
ansiolítics	ansiolític	AQ0MP0
ansiolítiques	ansiolític	AQ0FP0
anxiolític	anxiolític	AQ0MS0
anxiolítica	anxiolític	AQ0FS0
anxiolítics	anxiolític	AQ0MP0
anxiolítiques	anxiolític	AQ0FP0
beduïna	beduí	NCFS000
beduïnes	beduí	NCFP000
beduïns	beduí	NCMP000
bioplàstic	bioplàstic	NCMS000
bioplàstics	bioplàstic	NCMP000
caramel·let	caramel·let	NCMS000
caramel·lets	caramel·let	NCMP000
cl	cl	NCMN000
cm	cm	NCMN000
co-rector	co-rector	NCMS000
co-rectora	co-rector	NCFS000
co-rectores	co-rector	NCFP000
co-rectors	co-rector	NCMP000
criptomoneder	criptomoneder	NCMS000
criptomoneders	criptomoneder	NCMP000
decàstil	decàstil	AQ0MS0
decàstila	decàstil	AQ0FS0
decàstiles	decàstil	AQ0FP0
decàstils	decàstil	AQ0MP0
descodificador	descodificador	AQ0MS0
descodificadora	descodificador	AQ0FS0
descodificadores	descodificador	AQ0FP0
descodificadors	descodificador	AQ0MP0
dg	dg	NCMN000
dl	dl	NCMN000
dm	dm	NCMN000
ecoplàstic	ecoplàstic	NCMS000
ecoplàstics	ecoplàstic	NCMP000
ex-portador	ex-portador	NCMS000
ex-portadora	ex-portador	NCFS000
ex-portadores	ex-portador	NCFP000
ex-portadors	ex-portador	NCMP000
fisoclist	fisoclist	AQ0MS0
fisoclista	fisoclist	AQ0FS0
fisoclistes	fisoclist	AQ0FP0
fisoclistos	fisoclist	AQ0MP0
fisoclists	fisoclist	AQ0MP0
fisòstom	fisòstom	AQ0MS0
fisòstoma	fisòstom	AQ0FS0
fisòstomes	fisòstom	AQ0FP0
fisòstoms	fisòstom	AQ0MP0
g	g	NCMN000
goyesc	goyesc	AO0MS0
goyesca	goyesc	AO0FS0
goyescos	goyesc	AO0MP0
goyescs	goyesc	AO0MP0
goyesques	goyesc	AO0FP0
h	h	NCCN000
ha	ha	NCFN000
hackeig	hackeig	NCMS000
hackeigs	hackeig	NCMP000
hackejos	hackeig	NCMP000
heterozigot	heterozigot	AQ0MS0
heterozigota	heterozigot	AQ0FS0
heterozigotes	heterozigot	AQ0FP0
heterozigots	heterozigot	AQ0MP0
hipertrucatge	hipertrucatge	NCMS000
hipertrucatges	hipertrucatge	NCMP000
hl	hl	NCMN000
homozigot	homozigot	AQ0MS0
homozigota	homozigot	AQ0FS0
homozigotes	homozigot	AQ0FP0
homozigots	homozigot	AQ0MP0
juridicopolicial	juridicopolicial	AQ0CS0
juridicopolicials	juridicopolicial	AQ0CP0
kB	kB	NCMN000
kHz	kHz	NCMN000
kJ	kJ	NCMN000
kV	kV	NCMN000
kVA	kVA	NCMN000
kW	kW	NCMN000
kWh	kWh	NCMN000
kbit	kbit	NCMN000
kg	kg	NCMN000
km	km	NCMN000
l	l	NCMN000
lx	lx	NCMN000
m	m	NCMN000
marista	marista	AQ0CS0
maristes	marista	AQ0CP0
mesquer	mesquer	AQ0MS0
mesquers	mesquer	AQ0MP0
mg	mg	NCMN000
ml	ml	NCMN000
mm	mm	NCMN000
ms	ms	NCMN000
no-alineada	no-alineat	AQ0FS0
no-alineades	no-alineat	AQ0FP0
no-alineat	no-alineat	AQ0MS0
no-alineats	no-alineat	AQ0MP0
no-metàl·lic	no-metàl·lic	AQ0MS0
no-metàl·lica	no-metàl·lic	AQ0FS0
no-metàl·lics	no-metàl·lic	AQ0MP0
no-metàl·liques	no-metàl·lic	AQ0FP0
polista	polista	NCCS000
polistes	polista	NCCP000
rock	rock	AQ0CN0
s	s	NCMN000
sociocomunitari	sociocomunitari	AQ0MS0
sociocomunitaris	sociocomunitari	AQ0MP0
sociocomunitària	sociocomunitari	AQ0FS0
sociocomunitàries	sociocomunitari	AQ0FP0
vespista	vespista	NCCS000
vespistes	vespista	NCCP000
victimològic	victimològic	AQ0MS0
victimològica	victimològic	AQ0FS0
victimològics	victimològic	AQ0MP0
victimològiques	victimològic	AQ0FP0
voreta	voreta	NCFS000
voretes	voreta	NCFP000
