# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
ATP	ATP	NPFSO00
Alexandrúpolis	Alexandrúpolis	NPCSG00
Aqaba	Aqaba	NPCSG00
Bronx	Bronx	NPCSG00
Concertgebouw	Concertgebouw	NPMSO00
Emaús	Emaús	NPMSSP0
Ismailia	Ismailia	NPCSG00
Montereau-faut-Yonne	Montereau-faut-Yonne	NPCSG00
PDI	PDI	NCMS000
Presov	Presov	NPCSG00
Processos	Procés	NPMPSP0
Procés	Procés	NPMSSP0
Sever	Sever	NPMSSP0
Severa	Severa	NPFSSP0
Severes	Severa	NPFPSP0
Severs	Sever	NPMPSP0
Tet	Tet	NPFSG00
Torrebaró	Torrebaró	NPCSG00
dura	dura	NCFS000
dures	dura	NCFP000
dècade	dècade	NCFS000
dècades	dècade	NCFP000
exdiputada	exdiputada	NCFS000
exdiputades	exdiputada	NCFP000
exvicepresidenta	exvicepresidenta	NCFS000
exvicepresidentes	exvicepresidenta	NCFP000
gramaticastra	gramaticastra	NCFS000
gramaticastres	gramaticastra	NCFP000
gramaticastres	gramaticastre	NCMP000
japons	japó	NCMP000
japó	japó	NCMS000
jet	jet	NCMS000
jets	jet	NCMP000
joana	joana	AQ0CS0
joanes	joana	AQ0CP0
la	la	I
revolotege	revolotejar	VMIP1S0V
revolotege	revolotejar	VMM03S0V
revolotege	revolotejar	VMSP1S0V
revolotege	revolotejar	VMSP3S0V
revolotegem	revolotejar	VMIP1P00
revolotegem	revolotejar	VMM01P00
revolotegem	revolotejar	VMSP1P00
revolotegen	revolotejar	VMIP3P00
revolotegen	revolotejar	VMM03P0V
revolotegen	revolotejar	VMSP3P0V
revoloteges	revolotejar	VMIP2S00
revoloteges	revolotejar	VMSP2S0V
revolotegessen	revolotejar	VMSI3P05
revolotegesses	revolotejar	VMSI2S05
revolotegessin	revolotejar	VMSI3P02
revolotegessis	revolotejar	VMSI2S02
revolotegeu	revolotejar	VMIP2P00
revolotegeu	revolotejar	VMM02P0X
revolotegeu	revolotejar	VMSP2P00
revolotegi	revolotejar	VMM03S0Y
revolotegi	revolotejar	VMSP1S0Y
revolotegi	revolotejar	VMSP3S0Y
revolotegin	revolotejar	VMM03P0Y
revolotegin	revolotejar	VMSP3P0Y
revolotegis	revolotejar	VMSP2S0Y
revolotegés	revolotejar	VMSI1S01
revolotegés	revolotejar	VMSI3S01
revolotegéssem	revolotejar	VMSI1P05
revolotegésseu	revolotejar	VMSI2P05
revolotegéssim	revolotejar	VMSI1P02
revolotegéssiu	revolotejar	VMSI2P02
revolotegí	revolotejar	VMIS1S00
revoloteig	revolotejar	VMIP1S0B
revoloteja	revolotejar	VMIP3S00
revoloteja	revolotejar	VMM02S00
revolotejada	revolotejar	VMP00SF0
revolotejades	revolotejar	VMP00PF0
revolotejam	revolotejar	VMIP1P0B
revolotejant	revolotejar	VMG00000
revolotejar	revolotejar	VMN00000
revolotejara	revolotejar	VMSI1S03
revolotejara	revolotejar	VMSI3S03
revolotejaran	revolotejar	VMIF3P00
revolotejarem	revolotejar	VMIF1P00
revolotejaren	revolotejar	VMIS3P00
revolotejaren	revolotejar	VMSI3P03
revolotejares	revolotejar	VMIS2S00
revolotejares	revolotejar	VMSI2S03
revolotejareu	revolotejar	VMIF2P00
revolotejaria	revolotejar	VMIC1S00
revolotejaria	revolotejar	VMIC3S00
revolotejarien	revolotejar	VMIC3P00
revolotejaries	revolotejar	VMIC2S00
revolotejarà	revolotejar	VMIF3S00
revolotejaràs	revolotejar	VMIF2S00
revolotejaré	revolotejar	VMIF1S00
revolotejaríem	revolotejar	VMIC1P00
revolotejaríeu	revolotejar	VMIC2P00
revolotejassen	revolotejar	VMSI3P06
revolotejasses	revolotejar	VMSI2S06
revolotejassin	revolotejar	VMSI3P04
revolotejassis	revolotejar	VMSI2S04
revolotejat	revolotejar	VMP00SM0
revolotejats	revolotejar	VMP00PM0
revolotejau	revolotejar	VMIP2P0B
revolotejau	revolotejar	VMM02P0B
revolotejava	revolotejar	VMII1S00
revolotejava	revolotejar	VMII3S00
revolotejaven	revolotejar	VMII3P00
revolotejaves	revolotejar	VMII2S00
revolotejo	revolotejar	VMIP1S0C
revolotejà	revolotejar	VMIS3S00
revolotejàrem	revolotejar	VMIS1P00
revolotejàrem	revolotejar	VMSI1P03
revolotejàreu	revolotejar	VMIS2P00
revolotejàreu	revolotejar	VMSI2P03
revolotejàs	revolotejar	VMSI1S07
revolotejàs	revolotejar	VMSI3S07
revolotejàssem	revolotejar	VMSI1P06
revolotejàsseu	revolotejar	VMSI2P06
revolotejàssim	revolotejar	VMSI1P04
revolotejàssiu	revolotejar	VMSI2P04
revolotejàvem	revolotejar	VMII1P00
revolotejàveu	revolotejar	VMII2P00
sino-vietnamita	sino-vietnamita	AQ0CS0
sino-vietnamites	sino-vietnamita	AQ0CP0
tsarévitxos	tsarévitx	NCMP000
