#Paraules que s'escriuen sense accent diacrític sempre segons l'IEC
cotompèl	cotompel
cotompèls	cotompels
contrapèl	contrapel
empèl	empel
adéu	adeu
adéus	adeus
adéu-siau	adeu-siau
almón	almon
arenosòl	arenosol
arenosòls	arenosols
entresòl	entresol
entresòls	entresols
litosòl	litosol
litosòls	litosols
mol·lisòl	mol·lisol
mol·lisòls	mol·lisols
paleosòl	paleosol
paleosòls	paleosols
pergelisòl	pergelisol
pergelisòls	pergelisols
regosòl	regosol
regosòls	regosols
sobresòl	sobresol
sobresòls	sobresols
subsòl	subsol
subsòls	subsols
vertisòl	vertisol
vertisòls	vertisols
besnét	besnet
besnéta	besneta
besnétes	besnetes
besnéts	besnets
quadrinét	quadrinet
quadrinéta	quadrineta
quadrinétes	quadrinetes
quadrinéts	quadrinets
rebesnét	rebesnet
rebesnéta	rebesneta
rebesnétes	rebesnetes
rebesnéts	rebesnets
renét	renet
renéta	reneta
renétes	renetes
renéts	renets
inframón	inframon
rodamón	rodamon
matamón	matamon
submón	submon
marededéu	marededeu
marededéus	marededeus
vicedéu	vicedeu
vicedéus	vicedeus
nòs	nos	nos	nos
pregadéu	pregadeu
pregadéus	pregadeus
semidéu	semideu
semidéus	semideus
redéu	redeu
remòlta	remolta
remòltes	remoltes
remòlt	remolt
remòlts	remolts
pórca	porca
pórques	porques
jóc	joc
jócs	jocs
tòs	tos
mèu	meu
mèus	meus
mòlta	molta
mòltes	moltes
mòlt	molt
mòlts	molts
cóp	cop
cóps	cops
cós	cos
cóssos	cossos
rés	res
ressòl	ressol
ressòls	ressols
ròssa	rossa
ròsses	rosses
séc	sec
sécs	secs
sèu	seu
sèus	seus
tòt	tot
tòts	tots
vénda	venda
véndes	vendes
cóc	coc
cócs	cocs
nét	net
néta	neta
nétes	netes
néts	nets
dóna	dona
dónes	dones
sóc	soc
vés	ves
féu	feu
fóra	fora
cóm	com
cóms	coms
bóta	bota
bótes	botes
móra	mora
móres	mores
ós	os
óssa	ossa
óssos	ossos
ósses	osses
véu	veu
só	so
benvéu	benveu
contraféu	contrafeu
desféu	desfeu
entrevéu	entreveu
estraféu	estrafeu
liqüeféu	liqüefeu
malvéu	malveu
perféu	perfeu
prevéu	preveu
rareféu	rarefeu
reféu	refeu
repèl	repel
repèls	repels
revénc	revenc
revéngui	revengui
revéngui	revengui
revéngui	revengui
revénguin	revenguin
revénguin	revenguin
revénguis	revenguis
revénen	revenen
revéns	revens
revéu	reveu
satisféu	satisfeu
vénc	venc
vénda	venda
véndes	vendes
véngui	vengui
véngui	vengui
véngui	vengui
vénguin	venguin
vénguin	venguin
vénguis	venguis
vénen	venen
véns	vens
