# Quelle: Julian von Heyl, extrahiert mit diesem Kommando:
# SELECT * FROM `alt_neu` WHERE `alt_empfohlen` IS NULL AND `neu_empfohlen` IS NULL
# Solange die Flexionsdaten noch die alte Schreibweise kennen und als alte Schreibweise hier
# eine Grundform steht, werden auch die Vollformen gefunden.
läßt;lässt
Abfluß;Abfluss
Abgeblaßte;Abgeblasste
Abgefaßte;Abgefasste
Abgeküßte;Abgeküsste
Abgepaßte;Abgepasste
Abgepreßte;Abgepresste
Ablaßbrief;Ablassbrief
Abschluß;Abschluss
Abschußliste;Abschussliste
Abschußrampe;Abschussrampe
Abszeß;Abszess
Amboß;Amboss
Angefaßte;Angefasste
Angepaßte;Angepasste
Angepaßtere;Angepasstere
Angepaßteste;Angepassteste
Angepaßtheit;Angepasstheit
Angepreßte;Angepresste
Angußfarbe;Angussfarbe
Anlaß;Anlass
Anlaßfarbe;Anlassfarbe
Anschluß;Anschluss
Aufgefaßte;Aufgefasste
Aufgepaßte;Aufgepasste
Aufschluß;Aufschluss
Aufschlußreiche;Aufschlussreiche
Aufschlußreichere;Aufschlussreichere
Aufschlußreichste;Aufschlussreichste
Ausfluß;Ausfluss
Ausgepreßte;Ausgepresste
Ausgepreßtere;Ausgepresstere
Ausgepreßteste;Ausgepressteste
Ausschluß;Ausschluss
Ausschuß;Ausschuss
Baß;Bass
Beeinflußte;Beeinflusste
Beeinflußtere;Beeinflusstere
Beeinflußteste;Beeinflussteste
Befaßte;Befasste
Bepißte;Bepisste
Bepißtere;Bepisstere
Bepißteste;Bepissteste
Beschluß;Beschluss
Beschlußfähige;Beschlussfähige
Beschlußreife;Beschlussreife
Beschuß;Beschuss
Bewußte;Bewusste
Bewußtere;Bewusstere
Bewußteste;Bewussteste
Bewußtheit;Bewusstheit
Bewußtlose;Bewusstlose
Bewußtlosigkeit;Bewusstlosigkeit
Bewußtsein;Bewusstsein
Bezuschußte;Bezuschusste
Bezuschußtere;Bezuschusstere
Bezuschußteste;Bezuschussteste
Boß;Boss
Dreiviertelliterfaß;Dreiviertelliterfass
Durchfluß;Durchfluss
Durchgepreßte;Durchgepresste
Einfluß;Einfluss
Einflußreiche;Einflussreiche
Einflußreichere;Einflussreichere
Einflußreichste;Einflussreichste
Eingefaßte;Eingefasste
Eingenäßte;Eingenässte
Eingenäßtere;Eingenässtere
Eingenäßteste;Eingenässtere
Eingepaßte;Eingepasste
Eingepaßtere;Eingepasstere
Eingepaßteste;Eingepassteste
Eingepreßte;Eingepresste
Elsaß;Elsass
Entnäßte;Entnässte
Entschluß;Entschluss
Erblaßte;Erblasste
Erblaßtere;Erblasstere
Erblaßteste;Erblassteste
