# Short descriptions of words. Used e.g. by ConfusionProbabilityRule.
# Format: word <tab> short_description
# Keep descriptions shorter than 40 characters.
# Use '#' as comment marker.
Biest	gemeiner Mensch oder Tier
Briest	Name
ach	Ausruf
als	Konjunktion ('größer als ...')
also	Schlussfolgerung einleitendes Wort
auch	ebenfalls
#De	
dich	Akkusativ zu 'du'
#Die	
dir	Dativ zu 'du'
doch	trotzdem, dennoch
drei	die Zahl 3
ehelich	auf die Ehe bezogen
ehrlich	wahr, nicht gelogen
fasst	Form von 'fassen' (greifen)
fast	beinahe
fielen	zu 'fallen'
fiele	zu 'fallen'
fiel	zu 'fallen'
Fliese	keramische Platte (als Wandverkleidung etc.)
Fliesen	keramische Platten (als Wandverkleidung etc.)
fließen	Bewegung einer Flüssigkeit
fliesen	Fliesen verlegen
frei	unabhängig, nicht gefangen
Gärten	Plural von 'Garten'
Gebäck	Speise auf Mehlbasis
Gepäck	Ausrüstung für eine Reise
Gerten	Plural von 'Gerte'
gesellt	zu 'gesellen', sich jemandem anschließen
gestellt	zu 'stellen'
gibt	Form von 'geben'
Gbit	Gigabit
#gewichtet	
#gewuchtet
Hafen	Ort, an dem Schiffe anlegen können
Harfen	Plural von 'Harfe' (Instrument)
häute	Form des Verbs 'häuten'
Hefe	Gärprozess einleitendes Mittel
Hefte	Plural von 'Heft'
heute	dieser Tag
ihm	Dativ von 'er'
im	Positionsangabe
klingt	zu 'klingen' (Geräusch)
klinkt	zu 'ein/ausklinken'
lägen	Konjunktiv von 'liegen'
Laib	Laib Brot oder Käse
#Laie	
#least	
Leere	Nichts
leeren	Form von 'leer' (ohne Inhalt)
lehren	unterrichten
#legen
Lehre	Ausbildung
Leib	Körper
#Leihe	
Lid	Augenlid
Lied	Musikstück
#liest	
Maar	Mulde vulkanischen Ursprungs
Mahl	Speise
#Mahr	
Mal	Hautfleck
#Mark	
#Markt	
#Mathe	
#Matte	
Mediation	Verfahren zur Konfliktlösung
Meditation	spirituelle Übung
mich	Akkusativ
Miene	Gesichtsausdruck
Mine	Bergwerk/Schreibgerät
#mir	
mir	Dativ
#mit	
#Motte	
#Motto	
Nachnahme	Versandart
Nachname	Familienname
#oll	
#Patenten	
#Patienten	
Rede	Ansprache
Reede	Ankerplatz
reißt	Form von 'reißen' (ruckhaft an etwas ziehen)
reist	From von 'reisen' (eine Reise unternehmen)
Reinfall	Flop
Rezension	Buch-/Film-/Produktkritik
Rezession	Konjunkturrückgang
Rheinfall	Wasserfall
Route	Strecke
Ruhm	hohe Anerkennung
Rum	alkoholisches Getränk
Rute	dünner Zweig
#Sand	
#scherzhaft	
#schmerzhaft	
#sehr	
#seht
seid	Verbform: 'seid ihr angekommen?'
seit	Präposition: 'seit wann?'
#sich
Siegel	Stempel
#sieht	
Sigel	Zeichen (Fachsprache)
Sohle	Schuhe/Bergbau
Sole	wässrige Salzlösung
#soll	
späht	Form von 'spähen'
#spät	
#staatlich	
#staatliche	
#staatlichen	
#staatlicher	
#staatliches	
Ställe	Plural von 'Stall'
Städte	Plural von 'Stadt'
Stätte	ein besonderer Ort
#Stand	
#stattlich	
#stattliche	
#stattlichen	
#stattlicher	
#stattliches	
Stele	hoher, freistehender Pfeiler
Stelle	Ort
#Stich	
Stiel	Stängel
Stil	Art und Weise
#Strand	
#Strich	
strickt	Form von 'stricken'
strikt	streng
#such	
Uhrzeit	Zeit auf der Uhr
unternehmen	Verb
Unternehmen	Nomen: Firma
#um
#und	
#uns	
Urzeit	Vorzeit
vage	ungenau
Vasen	Plural von 'Vase'
verwaist	verlassen
verweist	hinweisen
viel	eine große Menge
viele	eine große Menge
vielen	eine große Menge
Villen	Plural von 'Villa'
Waagen	Plural von 'Waage'
wage	Form von 'wagen'
Wagen	Auto
Waise	elternloses Kind
Wal	Säugetier, das im Wasser lebt
Wahl	Abstimmung
Wälle	Plural von 'Wall'
#war
#wär	
ward	literarisch für 'wurde'
#waren	
#warnen	
wart	Vergangenheit von 'sein'
#was	
Wasen	Name
weiht	Form von 'weihen'
Weise	Art und Weise
weißt	Form von 'wissen' oder 'weißen' (weiß streichen)
weist	Form von '(hin)weisen'
weit	breit, lang
Welle	Wasserwoge
#wer	
#wie	
Willen	Wollen
#wir	
#wird	
#Würste	
#Wüste	
#Zeile	
#Zeilen	
#Ziele	
#Zielen	
zischen	ein Geräusch machen
Zunahme	das Zunehmen
Zuname	Nachname
#zwischen	
