meist/ADV.*=größtenteils;überwiegend;mehrheitlich;vorwiegend;vornehmlich
#also/ADV.*=folglich;demzufolge;somit;deswegen;dementsprechend // good synonyms for some of its meanings require multiword suggestions like "genauer gesagt"
nun/ADV.*=jetzt;soeben;indessen;inzwischen;jedoch
#schließlich/ADV.*=definitiv;letztlich;grundsätzlich;letztendlich;bekanntermaßen
#besonders/ADV:MOD=ausgesprochen;vornehmlich;bemerkenswert;außerordentlich;zutiefst
insbesondere/ADV:MOD=vornehmlich;speziell;vorwiegend;hauptsächlich;primär
#doch/ADV.*=dennoch;definitiv;aber;allerdings;jedoch
#möglich/ADJ.*=denkbar;machbar;zulässig;ausführbar;erreichbar
#weil/KON:UNT=da;nachdem;zumal
teilweise/ADJ.*=partiell;stellenweise;mitunter;manchmal;bisweilen
außerdem=zudem;obendrein;überdies;zusätzlich;ebenso
leider=bedauerlicherweise;ungünstigerweise;enttäuschenderweise
hervorragend/ADJ.*=brillant;exzellent;perfekt;fantastisch;traumhaft
beeindruckend/ADJ.*=bemerkenswert;erstaunlich;beachtlich;imposant;brillant
