# General replacement rules, used by org.languagetool.rules.el.ReplaceHomonymsRule
# Format: UTF-8, one entry per line in format: phrase=replacement
# 'phrase' is what the text is searched for. 'replacement' is the suggestion shown to the user.
# 'phrase' is searched for case-insensitively.
# Both 'phrase' and 'replacement' can contain more than one value when separated by '|'.
# Example:
# incorrect=suggestion one|suggestion two

# Following phrases are to be fixed with an xml rule 
# μεγάλη πήρα=μεγάλη πείρα   
# σύκο επάνω=σήκω επάνω 
# υπόγειο μετρώ=υπόγειο μετρό 
# μοναδικά ήδη=μοναδικά είδη 
# διαφορετικά ήδη=διαφορετικά είδη 
# καλή τοίχοι=καλή τύχη
# επαγγελματική κλήση=επαγγελματική κλίση
# κρητική επιτροπή=κριτική επιτροπή
# χημικό διάλειμμα=χημικό διάλυμα

εύκρατο κλήμα=εύκρατο κλίμα
μεσογειακό κλήμα=μεσογειακό κλίμα
πολικό κλήμα=πολικό κλίμα 
ηπειρωτικό κλήμα=ηπειρωτικό κλίμα
κλήμα τούνδρας=κλίμα τούνδρας
κλήμα στέπας=κλίμα στέπας
ψυχρό κλήμα=ψυχρό κλίμα 
σινικό κλήμα=Σινικό κλίμα
καλή τείχη=καλή τύχη 
ανδρικό φίλο|ανδρικό φύλλο=ανδρικό φύλο
γυναικείο φίλο|γυναικείο φύλλο=γυναικείο φύλο 
θαλάσσια δίνει=θαλάσσια δίνη
μισώ λεπτό=μισό λεπτό 
θυμαρίσιο μέλη=θυμαρίσιο μέλι
Ελληνορωμαϊκή πάλι=Ελληνορωμαϊκή πάλη
ψιλός άνδρας=ψηλός άνδρας 
ψιλή γυναίκα=ψηλή γυναίκα 
τεχνητό κόμμα=τεχνητό κώμα 
γάλος πρόεδρος=Γάλλος πρόεδρος 
γάλος πρέσβης=Γάλλος πρέσβης 
σταθμός μετρώ=σταθμός μετρό 
χρωστούμενο νίκη=χρωστούμενο νοίκι 
ακριβό νίκη=ακριβό νοίκι 
ανεπανάληπτη νοίκι=ανεπανάληπτη νίκη
συντριπτική νοίκι=συντριπτική νίκη 
τρομερή νοίκι=τρομερή νίκη
ανεπανάληπτη ήτα=ανεπανάληπτη ήττα 
συντριπτική ήτα=συντριπτική ήττα 
αναπάντεχη ήτα=αναπάντεχη ήττα 
τρομερή ήτα=τρομερή ήττα 
ποντιακή λίρα=Ποντιακή λύρα 
κρητική λίρα=Κρητική λύρα 
κλίνω μάτι=κλείνω μάτι
αίτημα φαγητά=έτοιμα φαγητά 
έτοιμα πρόσληψης=αίτημα πρόσληψης 
έτοιμα ακρόασης=αίτημα ακρόασης 
λυτός βίος=λιτός βίος
λυτός άνθρωπος=λιτός άνθρωπος
αβάσταχτη λίπη|αβάσταχτη λείπει=αβάσταχτη λύπη 
ψηλό γαζί=ψιλό γαζί 
ψηλή βροχή=ψιλή βροχή 
ψηλή κυριότητα=ψιλή κυριότητα
ψηλά γράμματα=ψιλά γράμματα 
