# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
confirm; conform; 1000                  # p=0.998, r=0.701, 1000+997, 3grams, 2017-03-09
delegate; delicate; 10000               # p=0.996, r=0.443, 999+1000, 3grams, 2017-03-28
fix; fox; 1000000                       # p=0.998, r=0.255, 998+989, 3grams, 2017-03-09
list; lost; 10000                       # p=0.998, r=0.461, 993+968, 3grams, 2017-03-03
make; male; 100000                      # p=0.996, r=0.408, 991+938, 3grams, 2017-03-09
sing; using; 1000000                    # p=0.995, r=0.281, 992+989, 3grams, 2017-03-09
site; size; 1000                        # p=0.998, r=0.672, 1000+979, 3grams, 2017-03-03
us; use; 100000                         # p=0.998, r=0.256, 988+965, 3grams, 2017-03-03
which; wish; 1000000                    # p=0.994, r=0.539, 997+989, 3grams, 2017-03-03
write; wrote; 1000000                   # p=0.997, r=0.367, 991+996, 3grams, 2017-03-09
abut -> about; 100000000;               # p=0.978, r=0.642, f0.5=0.885, s=0.670, 88+1996, 3grams, 2020-09-11, fp=29, fn=715, tp=1281, tn=59

# Auto-generated confusion pairs, 2017-03-28:
# Result of org.languagetool.dev.bigdata.AllConfusionRulesEvaluator run
# on the result of org.languagetool.dev.wordsimilarity.SimilarWordFinder with MAX_DIST = 1
# and then taking only the lowest score (1.0), i.e. characters that are next to each other
# on an English keyboard. Re-indented with org.languagetool.dev.bigdata.ConfusionFileIndenter
abated; abates; 1000000                 # p=1.000, r=0.342, 798+77
abated; abates; 100000                  # p=0.997, r=0.378, 798+77
abated; abates; 10000                   # p=0.992, r=0.423, 798+77
abates; agates; 1000000                 # p=1.000, r=0.192, 77+116
abates; agates; 100000                  # p=1.000, r=0.233, 77+116
abates; agates; 10000                   # p=1.000, r=0.285, 77+116
abates; agates; 1000                    # p=1.000, r=0.373, 77+116
abates; agates; 100                     # p=1.000, r=0.497, 77+116
abates; agates; 10                      # p=0.992, r=0.622, 77+116
abbreviated; abbreviates; 1000000       # p=0.991, r=0.552, 1000+152
abed; aged; 1000000                     # p=0.995, r=0.384, 1000+991
abed; aged; 100000                      # p=0.991, r=0.420, 1000+991
abide; abode; 1000000                   # p=0.999, r=0.787, 999+1000
abide; abode; 100000                    # p=0.998, r=0.814, 999+1000
abide; abode; 10000                     # p=0.998, r=0.837, 999+1000
abide; abode; 1000                      # p=0.997, r=0.858, 999+1000
abide; abode; 100                       # p=0.997, r=0.882, 999+1000
abide; abode; 10                        # p=0.995, r=0.905, 999+1000
abides; abodes; 1000000                 # p=1.000, r=0.324, 562+360
abides; abodes; 100000                  # p=1.000, r=0.392, 562+360
abides; abodes; 10000                   # p=1.000, r=0.441, 562+360
abides; abodes; 1000                    # p=1.000, r=0.527, 562+360
abides; abodes; 100                     # p=0.998, r=0.665, 562+360
abides; abodes; 10                      # p=0.991, r=0.740, 562+360
abode; anode; 1000000                   # p=0.998, r=0.264, 1000+999
abode; anode; 100000                    # p=0.997, r=0.350, 1000+999
abode; anode; 10000                     # p=0.997, r=0.467, 1000+999
abode; anode; 1000                      # p=0.993, r=0.581, 1000+999
abode; anode; 100                       # p=0.991, r=0.680, 1000+999
abodes; anodes; 100000                  # p=0.993, r=0.175, 360+415
abodes; anodes; 10000                   # p=0.995, r=0.272, 360+415
abraded; abrades; 1000000               # p=1.000, r=0.370, 194+22
abraded; abrades; 100000                # p=0.991, r=0.486, 194+22
abraded; abrades; 10000                 # p=0.991, r=0.532, 194+22
abridged; abridges; 1000000             # p=1.000, r=0.689, 999+36
abridged; abridges; 100000              # p=1.000, r=0.745, 999+36
abridged; abridges; 10000               # p=0.999, r=0.772, 999+36
abridged; abridges; 1000                # p=0.998, r=0.808, 999+36
abridged; abridges; 100                 # p=0.997, r=0.855, 999+36
abridged; abridges; 10                  # p=0.993, r=0.905, 999+36
abrogated; abrogates; 1000000           # p=0.994, r=0.495, 930+58
abrogated; abrogates; 100000            # p=0.994, r=0.525, 930+58
abrogated; abrogates; 10000             # p=0.995, r=0.554, 930+58
abrogated; abrogates; 1000              # p=0.993, r=0.592, 930+58
abscessed; abscesses; 1000000           # p=1.000, r=0.601, 45+596
abscessed; abscesses; 100000            # p=0.998, r=0.696, 45+596
abscessed; abscesses; 10000             # p=0.996, r=0.799, 45+596
abscessed; abscesses; 1000              # p=0.995, r=0.850, 45+596
abscessed; abscesses; 100               # p=0.995, r=0.897, 45+596
abscessed; abscesses; 10                # p=0.992, r=0.939, 45+596
absented; absentee; 1000000             # p=0.996, r=0.616, 142+1000
absented; absentee; 100000              # p=0.996, r=0.687, 142+1000
absented; absentee; 10000               # p=0.996, r=0.738, 142+1000
absented; absentee; 1000                # p=0.997, r=0.790, 142+1000
absented; absentee; 100                 # p=0.997, r=0.832, 142+1000
absented; absentee; 10                  # p=0.995, r=0.882, 142+1000
absented; absentee; 10                  # p=0.994, r=0.907, 142+1000
absolved; absolves; 1000000             # p=0.998, r=0.433, 977+149
absolved; absolves; 100000              # p=0.996, r=0.459, 977+149
absolved; absolves; 10000               # p=0.996, r=0.494, 977+149
absolved; absolves; 1000                # p=0.995, r=0.520, 977+149
accentuated; accentuates; 1000000       # p=0.998, r=0.426, 1000+336
accentuated; accentuates; 100000        # p=0.997, r=0.468, 1000+336
accentuated; accentuates; 10000         # p=0.996, r=0.499, 1000+336
accommodated; accommodates; 1000000     # p=1.000, r=0.277, 1000+1000
accommodated; accommodates; 100000      # p=1.000, r=0.286, 1000+1000
accommodated; accommodates; 10000       # p=0.998, r=0.296, 1000+1000
accrued; accrues; 1000000               # p=0.992, r=0.295, 1000+215
accrued; accrues; 100000                # p=0.993, r=0.350, 1000+215
ache; acne; 1000000                     # p=0.998, r=0.254, 1000+1000
ache; acne; 100000                      # p=0.994, r=0.320, 1000+1000
ached; aches; 1000000                   # p=1.000, r=0.362, 64+687
ached; aches; 100000                    # p=0.997, r=0.398, 64+687
ached; aches; 10000                     # p=0.994, r=0.473, 64+687
acidified; acidifies; 1000000           # p=0.990, r=0.471, 198+23
acidity; avidity; 1000000               # p=1.000, r=0.206, 1000+127
acidity; avidity; 100000                # p=0.994, r=0.315, 1000+127
acidly; avidly; 1000000                 # p=1.000, r=0.372, 45+594
acidly; avidly; 100000                  # p=1.000, r=0.448, 45+594
acidly; avidly; 10000                   # p=1.000, r=0.531, 45+594
acidly; avidly; 1000                    # p=1.000, r=0.606, 45+594
acidly; avidly; 100                     # p=1.000, r=0.685, 45+594
acidly; avidly; 10                      # p=0.996, r=0.782, 45+594
acidly; avidly; 10                      # p=0.993, r=0.859, 45+594
acknowledged; acknowledges; 1000000     # p=0.992, r=0.262, 1000+1000
acme; acne; 1000000                     # p=0.998, r=0.221, 999+1000
acme; acne; 100000                      # p=0.996, r=0.264, 999+1000
acme; acne; 10000                       # p=0.994, r=0.320, 999+1000
acorn; adorn; 1000000                   # p=0.999, r=0.356, 1000+1000
acorn; adorn; 100000                    # p=0.999, r=0.421, 1000+1000
acorn; adorn; 10000                     # p=0.999, r=0.468, 1000+1000
acorn; adorn; 1000                      # p=0.998, r=0.544, 1000+1000
acorn; adorn; 100                       # p=0.990, r=0.612, 1000+1000
acorns; adorns; 1000000                 # p=0.996, r=0.445, 999+818
acorns; adorns; 100000                  # p=0.997, r=0.531, 999+818
acorns; adorns; 10000                   # p=0.997, r=0.617, 999+818
acorns; adorns; 1000                    # p=0.998, r=0.728, 999+818
acorns; adorns; 100                     # p=0.997, r=0.797, 999+818
acorns; adorns; 10                      # p=0.994, r=0.890, 999+818
acorns; adorns; 10                      # p=0.992, r=0.936, 999+818
acorn; scorn; 1000000                   # p=0.993, r=0.221, 1000+1000
acorn; scorn; 100000                    # p=0.995, r=0.289, 1000+1000
acorn; scorn; 10000                     # p=0.996, r=0.345, 1000+1000
acorn; scorn; 1000                      # p=0.994, r=0.388, 1000+1000
acorns; scorns; 1000000                 # p=1.000, r=0.341, 999+192
acorns; scorns; 100000                  # p=1.000, r=0.437, 999+192
acorns; scorns; 10000                   # p=0.998, r=0.540, 999+192
acorns; scorns; 1000                    # p=0.997, r=0.644, 999+192
acorns; scorns; 100                     # p=0.994, r=0.719, 999+192
acorns; scorns; 10                      # p=0.993, r=0.816, 999+192
acorns; scorns; 10                      # p=0.992, r=0.871, 999+192
acquiesced; acquiesces; 1000000         # p=1.000, r=0.111, 895+169
actualized; actualizes; 1000000         # p=1.000, r=0.461, 247+20
actualized; actualizes; 100000          # p=1.000, r=0.502, 247+20
actualized; actualizes; 10000           # p=1.000, r=0.577, 247+20
actualized; actualizes; 1000            # p=1.000, r=0.633, 247+20
actuated; actuates; 1000000             # p=0.998, r=0.461, 1000+85
actuated; actuates; 100000              # p=0.998, r=0.511, 1000+85
actuated; actuates; 10000               # p=0.998, r=0.570, 1000+85
actuated; actuates; 1000                # p=0.997, r=0.662, 1000+85
addends; addenda; 10000                 # p=0.992, r=0.229, 39+497
addends; addenda; 1000                  # p=0.995, r=0.338, 39+497
addressed; addressee; 1000000           # p=1.000, r=0.559, 1000+550
addressed; addressee; 100000            # p=1.000, r=0.630, 1000+550
addressed; addressee; 10000             # p=0.998, r=0.699, 1000+550
addressed; addressee; 1000              # p=0.998, r=0.792, 1000+550
addressed; addressee; 100               # p=0.995, r=0.855, 1000+550
addressed; addresses; 1000000           # p=1.000, r=0.458, 1000+1000
addressed; addresses; 100000            # p=0.999, r=0.513, 1000+1000
addressed; addresses; 10000             # p=0.994, r=0.558, 1000+1000
