# Short descriptions of words. Used e.g. by ConfusionProbabilityRule.
# Format: word <tab> short_description
# Keep descriptions shorter than 40 characters.
# Use '#' as comment marker.
#able	
abstruse	difficult to understand
accede	give in, bow
accept	to agree, to endure
accessed	got, retrieved
access	obtain, retrieve, right to enter
#acclamation	
#acclimation	
acts	third person singular of 'act'
actual	taking place in reality, literal, real
ad	advertising
adapted	made fit
adapters	devices that make pieces compatible
adapting	making fit
addition	adding one thing to another
additions	adding one thing to another
add	make an addition
adds	makes an addition
#adolescence	
#adolescents	
adopted	followed, took over
adopters	persons who adopt a child
adopting	follow, take over
ads	advertisements
adverse	harmful
advice	noun
advise	verb
affect	experience of emotion
affects	experiences of emotion
affluence	richness
ail	rare name for garlic
aisle	long narrow passage
aisles	long narrow passages
ale	a type of beer
alliterate	exhibit alliteration
allowed	permitted
allude	make a disguised reference to
alludes	makes a disguised reference to
allusion	passing reference
allusions	passing references
aloud	using the voice
altar	e.g. table for religious purposes
altars	e.g. tables for religious purposes
alter	modify
alters	modifies
alumni	plural
alumnus	singular
#and	
anecdote	short story
angel	spiritual being
angels	spiritual being
angle	inclination measured in degrees
angles	inclination measured in degrees
anti	against
antidote	substance which can counteract poisoning
ants	insects
apatite	a common complex mineral
appendices	plural
appendix	singular
appetite	a feeling of craving
appraise	evaluate, value
apprise	advise, notify
arc	electric discharge
ark	a boat built by Noah
arrant	complete, thorough
artesian	rising to surface under pressure
artisanal	made by an artisan
#as	
ascent	rise, climb
ash	remains when something is burned
aspect	a distinct feature
aspects	distinct features
assent	agreement
assessed	evaluated
assess	evaluate
#at	
ate	past of 'to eat'
auntie	aunt
aunts	the sisters of someone's father or mother
aural	relating to the ears
Australia	the continent
Austria	country in Europe
averse	strongly disliking
#avid	
#avoid	
#aw	
#awe	
axes	plural
axis	singular
ax	tool to split wood
bacteria	plural
bacterium	singular
#bade	
bad	opposite of 'good'
bail	release after a security has been paid
baize	coarse woollen/cotton cloth
#bale	
bale	a large bundle
balled	formed into a ball
ballet	concert dance
ballets	concert dances
ballots	votes
ballot	vote
bard	a lyric poet
barely	hardly, just
bare	naked
barley	cereal grain
baron	a nobleman
barred	prevented from entering
barren	bare, bleak
basal	elementary
#based	
base	foundation, groundwork
basil	culinary herb
bass	lowest part of the musical range
#baste	
baud	data transmission rate
#bawdily	
bawd	prostitute
bawled	shouted loudly
#bayed	
bays	indentations of the shoreline
bazaar	a market
#be	
bean	large plant seed
bear	animal
beau	dandy
beaus	boyfriends
bedding	bed clothing
bed	place to sleep
bee	insect
bees	insects
#been	
been	past participle of 'be'
begin	start
being	living thing
belief	noun
beliefs	plural noun
believes	third person singular verb
believe	verb
bellow	very loud utterance
below	beneath, at a lower place
benefactor	person who helps people
beneficiary	recipient of benefits
berths	ties up
berth	tie up
besot	make dull
besought	pressed, conjured
#best	
