yon	yon	DT
isn	be	VBZ
aren	be	VBP
X-rated	X-rated	JJ
strange-looking	strange-looking	JJ
long-anticipated	long-anticipated	JJ
much-anticipated	much-anticipated	JJ
anthropocentrically	anthropocentrically	RB
antropomorphically	antropomorphically	RB
antheap	antheap	NN
antenatally	antenatally	RB
ant-bear	ant-bear	NN
ant-eater	ant-eater	NN
angry-looking	angry-looking	JJ
zoot	zoot	JJ
zitty	zitty	JJ
non-linguistic	non-linguistic	JJ
non-literary	non-literary	JJ
non-legal	non-legal	JJ
non-lethal	non-lethal	JJ
non-functional	non-functional	JJ
non-human	non-human	JJ
non-identical	non-identical	JJ
non-industrial	non-industrial	JJ
hypo-allergenic	hypo-allergenic	JJ
hypoglycaemic	hypoglycaemic	JJ
heat-resistant	heat-resistant	JJ
facto	facto	FW
extra-curricular	extra-curricular	JJ
expressionistic	expressionistic	JJ
under-age	under-age	JJ
coffee-house	coffee-house	NN
coffee-houses	coffee-house	NNS
coffee-cup	coffee-cup	NN
coffee-cups	coffee-cups	NN
codename	codename	NN
cliché	cliché	NN
clichés	cliché	NNS
clichéd	clichéd	JJ
clasp-knife	clasp-knife	NN
clasp-knives	clasp-knife	NNS
candlelit	candlelit	JJ
canapé	canapé	NN
canapés	canapé	NNS
camera-ready	camera-ready	JJ
café	café	NN
cafés	café	NNS
bitwise	bitwise	RB
bitwise	bitwise	JJ
bitter-sweet	bitter-sweet	JJ
bitter-sweetly	bitter-sweetly	RB
bitter-sweetness	bitter-sweetness	NN:UN
aeroacoustic	aeroacoustic	JJ
Stratford-upon-Avon	Stratford-upon-Avon	NNP
Sri	Sri	NNP
Shevardnadze	Shevardnadze	NNP
Réunion	Réunion	NNP
Rubik	Rubik	NNP
Renaults	Renault	NNPS
Paramecia	Paramecium	NNS
Paramecium	Paramecium	NN
Packard	Packard	NNP
Matisse	Matisse	NNP
Marmite	Marmite	NNP
Fortran	Fortran	NNP
Figaro	Figaro	NNP
Eustachian	Eustachian	JJ
Duracell	Duracell	NNP
Dreyfuss	Dreyfuss	NNP
Druidic	Druidic	JJ
Druidical	Druidical	JJ
reorganise	reorganise	VBP
reorganise	reorganise	VB
reorganised	reorganise	VBN
reorganised	reorganise	VBD
reorganisers	reorganiser	NNS
reorganises	reorganise	VBZ
reorganising	reorganise	VBG
reimplement	reimplement	VBP
reimplement	reimplement	VB
reimplementation	reimplementation	NN
reimplemented	reimplemented	JJ
reimplemented	reimplement	VBN
reimplemented	reimplement	VBD
reimplementing	reimplement	VBG
reimplements	reimplement	VBZ
reformat	reformat	VBP
reformat	reformat	VB
reformat	reformat	NN
reformats	reformat	VBZ
reformats	reformat	NNS
reformatted	reformat	VBN
reformatted	reformat	VBD
reformatting	reformat	VBG
refreshable	refreshable	JJ
singer-songwriter	singer-songwriter	NN
spatio-temporal	spatio-temporal	JJ
socio-political	socio-political	JJ
stir-fried	stir-fried	JJ
stir-fry	stir-fry	VBP
stir-fry	stir-fry	VB
stir-fried	stir-fry	VBD
stir-fried	stir-fry	VBN
stir-frying	stir-fry	VBN
stir-fry	stir-fry	JJ
asylum-seeker	asylum-seeker	NN
asylum-seekers	asylum-seeker	NNS
annualise	annualise	VBP
annualise	annualise	VB
annualised	annualise	VBN
annualised	annualise	VBD
annualises	annualise	VBZ
annualising	annualise	VBG
annualize	annualize	VBP
annualize	annualize	VB
annualized	annualize	VBN
annualized	annualize	VBD
annualizes	annualize	VBZ
annualizing	annualize	VBG
ah	ah	UH
aero-engines	aero-engine	NNS
adventist	adventist	NN
adventists	adventist	NNS
all-clear	all-clear	JJ
angelic	angelic	JJ
actioned	action	VBN
actioned	action	VBD
loadable	loadable	JJ
LanguageTool	LanguageTool	NNP
ipso	ipso	FW
intergenerationally	intergenerationally	RB
interconnectivity	interconnectivity	NN:UN
inter-personal	inter-personal	JJ
initialise	initialise	VBP
initialise	initialise	VB
initialised	initialise	VBN
initialised	initialise	VBD
initialiser	initialiser	NN
initialisers	initialiser	NNS
initialises	initialise	VBZ
initialising	initialise	VBG
ingénue	ingénue	NN
infinitum	infinitum	FW
infra-red	infra-red	JJ
non-aligned	non-aligned	JJ
carboniferous	carboniferous	JJ
co-operative	co-operative	JJ
co-operative	co-operative	NN
co-operativeness	co-operativeness	NN:UN
co-operatives	co-operative	NNS
twentieth-century	twentieth-century	JJ
inner-city	inner-city	JJ
inwards	inwards	RB
inwards	inwards	NNS
eighteenth-century	eighteenth-century	JJ
take-off	take-off	NN
take-offs	take-off	NNS
in-depth	in-depth	JJ
half-way	half-way	JJ
break-up	break-up	NN
break-ups	break-up	NNS
semi-finals	semi-final	NNS
non-existent	non-existent	JJ
object-oriented	object-oriented	JJ
pre-tax	pre-tax	JJ
dining-room	dining-room	NN
sub-committee	sub-committee	NN
nineteenth-century	nineteenth-century	JJ
state-owned	state-owned	JJ
co-ordinate	co-ordinate	VBP
co-ordinate	co-ordinate	VB
co-ordinated	co-ordinate	VBN
co-ordinated	co-ordinate	VBD
co-ordinates	co-ordinate	VBZ
co-ordinating	co-ordinate	VBG
co-ordination	co-ordination	NN:UN
co-operate	co-operate	VBP
co-operate	co-operate	VB
co-operated	co-operated	VBD
co-operated	co-operated	VBN
co-operates	co-operate	VBZ
co-operating	co-operating	VBG
co-operation	co-operation	NN:UN
hey	hey	UH
video-taped	video-taped	JJ
decision-making	decision-making	NN:UN
propos	propos	FW
Abuja	Abuja	NNP
ARPA	ARPA	NNP
Aaronvitch	Aaronvitch	NNP
Ababa	Ababa	NNP
Abelson	Abelson	NNP
Abelson	Abelson	NNP
Aberconwy	Aberconwy	NNP
Abu	Abu	NNP
Acton	Acton	NNP
Afghanis	Afghani	NNPS
Airbus	Airbus	NNP
Al-Haili	Al-Haili	NNP
Al-Jazeera	Al-Jazeera	NNP
Al-Qaeda	Al-Qaeda	NNP
Al-Sharif	Al-Sharif	NNP
Al-Zawahiri	Al-Zawahiri	NNP
Albans	Albans	NNP
Allendale	Allendale	NNP
Allstate	Allstate	NNP
Americanise	Americanise	VBP
Americanise	Americanise	VB
Americanised	Americanise	VBN
Americanised	Americanise	VBD
Americanises	Americanise	VBZ
Americanising	Americanise	VBG
Americas	America	NNPS
Amtrak	Amtrak	NNP
Anglicisation	Anglicisation	NN:U
Anglicisations	Anglicisation	NNS
Anglicise	Anglicise	VBP
Anglicise	Anglicise	VB
Anglicised	Anglicise	VBN
Anglicised	Anglicise	VBD
Anglicises	Anglicise	VBZ
Anglicising	Anglicise	VBG
Anglicize	Anglicize	VBP
Anglicize	Anglicize	VB
Anglicized	Anglicize	VBN
Anglicized	Anglicize	VBD
Anglicizes	Anglicize	VBZ
Anglicizing	Anglicize	VBG
Arpanet	Arpanet	NNP
Ashgabat	Ashgabat	NNP
Asimov	Asimov	NNP
Asunción	Asunción	NNS
Atari	Atari	NNP
Ayers	Ayers	NNP
BBQ	BBQ	NN
BMW	BMW	NNP
Bacchanalian	Bacchanalian	JJ
Backus	Backus	NNP
Balearic	Balearic	JJ
Bartók	Bartók	NNP
Bastille	Bastille	NNP
Bator	Bator	NNP
Bayesian	Bayesian	JJ
Beauchamps	Beauchamps	NNP
Beckham	Beckham	NNP
Begawan	Begawan	NNP
Berkowitz	Berkowitz	NNP
Berlitz	Berlitz	NNP
Bishkek	Bishkek	NNP
Boeing	Boeing	NNP
Bogotá	Bogotá	NNP
Bolshoi	Bolshoi	NNP
Britannica	Britannica	NNP
Burkina	Burkina	NNP
CPUs	CPU	NNS
Capote	Capote	NNP
Catalina	Catalina	NNP
Cessna	Cessna	NNP
Chancellorship	Chancellorship	NN
Chancellorships	Chancellorship	NNS
Christianise	Christianise	VBP
Christianise	Christianise	VB
Christianised	Christianise	VBN
Christianised	Christianise	VBD
Christianises	Christianise	VBZ
Christianising	Christianise	VBG
Christianize	Christianize	VBP
Christianize	Christianize	VB
Christianized	Christianize	VBN
Christianized	Christianize	VBD
Christianizes	Christianize	VBZ
Christianizing	Christianize	VBG
Cobol	Cobol	NNP
Colgate	Colgate	NNP
Comdex	Comdex	NNP
Compaq	Compaq	NNP
CompuServe	CompuServe	NNP
Comte	Comte	NNP
Concepción	Concepción	NNP
Copperfield	Copperfield	NNP
Cray	Cray	NNP
Creutzfeldt	Creutzfeldt	NNP
Creutzfeldt-Jakob	Creutzfeldt-Jakob	NNP
DARPA	DARPA	NNP
DJs	DJ	NNS
Daimler	Daimler	NNP
Dhabi	Dhabi	NNP
Dhiri	Dhiri	NNP
Dijkstra	Dijkstra	NNP
Dvorák	Dvorák	NNP
Düsseldorf	Düsseldorf	NNP
Easthampton	Easthampton	NNP
Eastwood	Eastwood	NNP
Ecole	Ecole	NNP
Elysée	Elysée	NNP
Emacs	Emacs	NNP
Enron	Enron	NNP
English-speaker	English-speaker	NN
English-speaking	English-speaking	JJ
Eriksson	Eriksson	NNP
Esposito	Esposito	NNP
Esterházy	Esterházy	NNP
Ethernet	Ethernet	NNP
Eurocentric	Eurocentric	JJ
Europeanise	Europeanise	VBP
Europeanise	Europeanise	VB
Europeanised	Europeanise	VBN
Europeanised	Europeanise	VBD
Europeanises	Europeanise	VBZ
Europeanising	Europeanise	VBG
Euroscepticism	Euroscepticism	NN:UN
Exxon	Exxon	NNP
Eyre	Eyre	NNP
Fabergé	Fabergé	NNP
Fibonacci	Fibonacci	NNP
Fifa	Fifa	NNP
Fledermaus	Fledermaus	NNP
François	François	NNP
Françoise	Françoise	NNP
Fredrickson	Fredrickson	NNP
Fujitsu	Fujitsu	NNP
Gaelic-speaking	Gaelic-speaking	JJ
Garbo	Garbo	NNP
Gantt	Gantt	NNP
Garfunkel	Garfunkel	NNP
Gatsby	Gatsby	NNP
Gatwick	Gatwick	NNP
God-fearing	God-fearing	JJ
God-forsaken	God-forsaken	JJ
Gothicise	Gothicise	VBP
Gothicise	Gothicise	VB
Gothicised	Gothicise	VBN
Gothicised	Gothicise	VBD
Gothicises	Gothicise	VBZ
Gothicising	Gothicise	VBG
Gothicize	Gothicize	VBP
Gothicize	Gothicize	VB
Gothicized	Gothicize	VBN
Gothicized	Gothicize	VBD
Gothicizes	Gothicize	VBZ
Gothicizing	Gothicize	VBG
Grünewald	Grünewald	NNP
Guatamala	Guatamala	NNP
Gucci	Gucci	NNP
Guenther	Guenther	NNP
Gutierrez	Gutierrez	NNP
Gödel	Gödel	NNP
Göteborg	Göteborg	NNP
Heinz	Heinz	NNP
Hellenisations	Hellenisation	NNS
Hellenise	Hellenise	VBP
Hellenise	Hellenise	VB
Hellenised	Hellenise	VBN
Hellenised	Hellenise	VBD
Hellenises	Hellenise	VBZ
Hellenising	Hellenise	VBG
Hellenize	Hellenize	VBP
Hellenize	Hellenize	VB
Hellenized	Hellenize	VBN
Hellenized	Hellenize	VBD
Hellenizes	Hellenize	VBZ
Hellenizing	Hellenize	VBG
Hitachi	Hitachi	NNP
Hyundai	Hyundai	NNP
Héloise	Héloise	NNP
Hussain	Hussain	NNP
IBM	IBM	NNP
ISBN	ISBN	NNP
IEEE	IEEE	NNP
IMAP	IMAP	NNP
Ikea	Ikea	NNP
Jacksons	Jackson	NNPS
Janeiro	Janeiro	NNP
JavaScript	JavaScript	NNP
Jazeera	Jazeera	NNP
Jekyll	Jekyll	NNP
Jimenez	Jimenez	NNP
Josef	Josef	NNP
Jovanovich	Jovanovich	NNP
José	José	NNP
Kafkaesque	Kafkaesque	JJ
Kasprowicz	Kasprowicz	NNP
Kofi	Kofi	NNP
Kosovo	Kosovo	NNP
Krugman	Krugman	NNP
Kremlin	Kremlin	NNP
Kuala	Kuala	NNP
Kyrgyzstan	Kyrgyzstan	NNP
LEDs	LED	NNS
LaTeX	LaTeX	NNP
Lamborghini	Lamborghini	NNP
Lanka	Lanka	NNP
Lilliputians	Lilliputian	NNPS
Lipschitz	Lipschitz	NNP
Lufthansa	Lufthansa	NNP
Mallarmé	Mallarmé	NNP
Mandelbrot	Mandelbrot	NNP
Mardi	Mardi	NNP
Mandela	Mandela	NNP
Markov	Markov	NNP
Marrakesh	Marrakesh	NNP
Martini	Martini	NNP
Martinis	Martini	NNPS
Mathematica	Mathematica	NNP
Mathieu	Mathieu	NNP
Matlab	Matlab	NNP
Matsushita	Matsushita	NNP
Mattel	Mattel	NNP
Maxtor	Maxtor	NNP
Matthau	Matthau	NNP
Mercedes-Benz	Mercedes-Benz	NNP
Michaelangelo	Michaelangelo	NNP
Mikhail	Mikhail	NNP
Minsky	Minsky	NNP
Mitsubishi	Mitsubishi	NNP
Mogadishu	Mogadishu	NNP
Monash	Monash	NNP
Mondeo	Mondeo	NNP
Mozilla	Mozilla	NNP
Motorola	Motorola	NNP
Mumbai	Mumbai	NNP
Münchhausen	Münchhausen	NNP
Möbius	Möbius	NNP
Nokia	Nokia	NNP
Nintendo	Nintendo	NNP
Newsweek	Newsweek	NNP
OpenOffice	OpenOffice	NNP
Oprah	Oprah	NNP
Orwellian	Orwellian	JJ
Osama	Osama	NNP
Oxordshire	Oxordshire	NNP
Padrewski	Padrewski	NNP
Palmolive	Palmolive	NNP
Palmyra	Palmyra	NNP
Panasonic	Panasonic	NNP
Palo	Palo	NNP
Pharisaical	Pharisaical	JJ
Puerto	Puerto	NNP
Provençal	Provençal	JJ
Rachmaninov	Rachmaninov	NNP
Raikkonen	Raikkonen	NNP
Rutgers	Rutgers	NNP
Samsonite	Samsonite	NNP
Samsung	Samsung	NNP
Schiller	Schiller	NNP
Schwartzkopf	Schwartzkopf	NNP
Schwarzenegger	Schwarzenegger	NNP
Seagate	Seagate	NNP
Tehran	Tehran	NNP
Telefunken	Telefunken	NNP
Toyota	Toyota	NNP
Turmenistan	Turmenistan	NNP
Ulan	Ulan	NNP
Unicode	Unicode	NNP
Unisys	Unisys	NNP
Vader	Vader	NNP
Valenzuela	Valenzuela	NNP
Vanautu	Vanautu	NNP
Vegas	Vegas	NNP
Velásquez	Velásquez	NNP
Viagra	Viagra	NNP
Volker	Volker	NNP
Volvo	Volvo	NNP
Viterbi	Viterbi	NNP
Vivaldi	Vivaldi	NNP
X-ray	X-ray	NN
X-rays	X-ray	NNS
Yamaha	Yamaha	NNP
Zawahiri	Zawahiri	NNP
abdominally	abdominally	RB
aberrantly	aberrantly	RB
ablatively	ablatively	RB
absent-mindedly	absent-mindedly	RB
absent-mindednesses	absent-mindedness	NNS
acceleratingly	acceleratingly	RB
acceptingly	acceptingly	RB
accessors	accessor	NNS
acclimatise	acclimatise	VBP
acclimatise	acclimatise	VB
acclimatised	acclimatise	VBN
acclimatised	acclimatise	VBD
acclimatises	acclimatise	VBZ
acclimatising	acclimatise	VBG
actualise	actualise	VBP
actualise	actualise	VB
actualised	actualise	VBN
actualised	actualise	VBD
actualises	actualise	VBZ
actualising	actualise	VBG
acyclically	acyclically	RB
add-ons	add-on	NNS
adrenally	adrenally	RB
adultly	adultly	RB
after-care	after-care	NN
after-cares	after-care	NNS
after-effect	after-effect	NN
after-effects	after-effect	NNS
after-image	after-image	NN
after-images	after-image	NNS
after-taste	after-taste	NN
after-tastes	after-taste	NNS
age-long	age-long	JJ
agelessly	agelessly	RB
aggrandise	aggrandise	VBP
aggrandise	aggrandise	VB
aggrandised	aggrandise	VBN
aggrandised	aggrandise	VBD
aggrandises	aggrandise	VBZ
aggrandising	aggrandise	VBG
aggregatively	aggregatively	RB
agonisedly	agonisedly	RB
agoniser	agoniser	NN
agonisers	agoniser	NNS
agonizer	agonizer	NN
agonizers	agonizer	NNS
aide-mémoire	aide-mémoire	NN
aircraft-carrier	aircraft-carrier	NN
aircraft-carriers	aircraft-carrier	NNS
al-Haili	al-Haili	NNP
al-Jazeera	al-Jazeera	NNP
al-Qaeda	al-Qaeda	NNP
al-Sharif	al-Sharif	NN
al-Zawahiri	al-Zawahiri	NNP
alkalise	alkalise	VBP
alkalise	alkalise	VB
alkalised	alkalise	VBN
alkalised	alkalise	VBD
alkalises	alkalise	VBZ
alkalising	alkalise	VBG
all-pervading	all-pervading	JJ
allergically	allergically	RB
alphabetisations	alphabetisation	NNS
alphabetise	alphabetise	VBP
alphabetise	alphabetise	VB
alphabetised	alphabetise	VBN
alphabetised	alphabetise	VBD
alphabetisers	alphabetiser	NNS
alphabetises	alphabetise	VBZ
alphabetising	alphabetise	VBG
anaemically	anaemically	RB
anaesthetically	anaesthetically	RB
anaesthetisation	anaesthetisation	NN
anaesthetisations	anaesthetisation	NNS
anaesthetise	anaesthetise	VBP
anaesthetise	anaesthetise	VB
anaesthetised	anaesthetise	VBN
anaesthetised	anaesthetise	VBD
anaesthetiser	anaesthetiser	NN
anaesthetisers	anaesthetiser	NNS
anaesthetises	anaesthetise	VBZ
anaesthetising	anaesthetise	VBG
anaesthetization	anaesthetization	NN
anaesthetizations	anaesthetization	NNS
anaesthetizer	anaesthetizer	NN
anaesthetizers	anaesthetizer	NNS
analogise	analogise	VBP
analogise	analogise	VB
analogised	analogise	VBN
analogised	analogise	VBD
analogises	analogise	VBZ
analogising	analogise	VBG
anaphorically	anaphorically	RB
anathematise	anathematise	VBP
anathematise	anathematise	VB
anathematised	anathematise	VBN
anathematised	anathematise	VBD
anathematises	anathematise	VBZ
anathematising	anathematise	VBG
animalise	animalise	VBP
animalise	animalise	VB
