# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three tab-separated fields: fullform baseform postags
ACS	ACS	NPCSO00
Benfica	Benfica	NPMSO00
Betsaida	Betsaida	NPFSG00
Bonnie	Bonnie	NPCNSP0
Capone	Capone	NPCNSP0
Cecopi	Cecopi	NPMSO00
Concord	Concord	NPCSG00
Cuisenaire	Cuisenaire	NPCNSP0
DANA	DANA	NCFN000
Dalloway	Dalloway	NPCNSP0
Euromillones	Euromillones	NPMNO00
F-Droid	F-Droid	NPCNO00
Finkielkraut	Finkielkraut	NPCNSP0
ForoCoches	ForoCoches	NPCNO00
Galbraith	Galbraith	NPCNSP0
Gautier	Gautier	NPCNSP0
Guadalaviar	Guadalaviar	NPMSG00
Guadiaro	Guadiaro	NPMSG00
Inchaurrondo	Inchaurrondo	NPCSG00
Intxaurrondo	Intxaurrondo	NPCSG00
Iona	Iona	NPFSG00
Joker	Joker	NPMSSP0
Kinder	Kinder	NPCNSP0
Koplowitz	Koplowitz	NPCNSP0
Kärcher	Kärcher	NPCNO00
Leibovitz	Leibovitz	NPCNSP0
Luger	Luger	NPCNO00
Mauser	Mauser	NPCNO00
McCloskey	McCloskey	NPCNSP0
Middlesex	Middlesex	NPCSG00
PKK	PKK	NPMSO00
Parabellum	Parabellum	NPCNO00
Pisidia	Pisidia	NPFSG00
Potemkin	Potemkin	NPMSO00
Sepblac	Sepblac	NPMSO00
Szczęsny	Szczęsny	NPCNSP0
Utrillo	Utrillo	NPCNSP0
Vance	Vance	NPCNSP0
Venn	Venn	NPCNSP0
acceleracionismo	acceleracionismo	NCMS000
acceleracionismos	acceleracionismo	NCMP000
acceleracionista	acceleracionista	AQ0CS0
acceleracionistas	acceleracionista	AQ0CP0
barriguita	barriguita	NCFS000
barriguitas	barriguita	NCFP000
bioalfabetizaciones	bioalfabetización	NCFP000
bioalfabetización	bioalfabetización	NCFS000
chiita	chiita	AQ0CS0
chiitas	chiita	AQ0CP0
chivatazo	chivatazo	NCMS000
chivatazos	chivatazo	NCMP000
desafiliaciones	desafiliación	NCFP000
desafiliación	desafiliación	NCFS000
descomenta	descomentar	VMIP3S0
descomenta	descomentar	VMM02S0
descomentaba	descomentar	VMII1S0
descomentaba	descomentar	VMII3S0
descomentabais	descomentar	VMII2P0
descomentaban	descomentar	VMII3P0
descomentabas	descomentar	VMII2S0
descomentad	descomentar	VMM02P0
descomentada	descomentar	VMP00SF
descomentadas	descomentar	VMP00PF
descomentadla	descomentar	VMM02P0:PP3FSA00
descomentadlas	descomentar	VMM02P0:PP3FPA00
descomentadle	descomentar	VMM02P0:PP3CSD00
descomentadles	descomentar	VMM02P0:PP3CPD00
descomentadlo	descomentar	VMM02P0:PP3MSA00
descomentadlos	descomentar	VMM02P0:PP3MPA00
descomentadme	descomentar	VMM02P0:PP1CS000
descomentadnos	descomentar	VMM02P0:PP1CP000
descomentado	descomentar	VMP00SM
descomentados	descomentar	VMP00PM
descomentala	descomentar	VMM02V0:PP3FSA00
descomentalas	descomentar	VMM02V0:PP3FPA00
descomentale	descomentar	VMM02V0:PP3CSD00
descomentales	descomentar	VMM02V0:PP3CPD00
descomentalo	descomentar	VMM02V0:PP3MSA00
descomentalos	descomentar	VMM02V0:PP3MPA00
descomentame	descomentar	VMM02V0:PP1CS000
descomentamos	descomentar	VMIP1P0
descomentamos	descomentar	VMIS1P0
descomentan	descomentar	VMIP3P0
descomentando	descomentar	VMG0000
descomentanos	descomentar	VMM02V0:PP1CP000
descomentaos	descomentar	VMM02P0:PP2CP000
descomentaos	descomentar	VMM02V0:PP2CP000
descomentar	descomentar	VMN0000
descomentara	descomentar	VMSI1S0
descomentara	descomentar	VMSI3S0
descomentarais	descomentar	VMSI2P0
descomentaran	descomentar	VMSI3P0
descomentaras	descomentar	VMSI2S0
descomentare	descomentar	VMSF1S0
descomentare	descomentar	VMSF3S0
descomentareis	descomentar	VMSF2P0
descomentaremos	descomentar	VMIF1P0
descomentaren	descomentar	VMSF3P0
descomentares	descomentar	VMSF2S0
