alto cargo	NCCSO00
La Poste	NPCSO00
Santa Cruz	NPCSO00
Mar del Plata	NPCSO00
il prete rosso	NCMS000
Red Bull	NPCNO00
Johann Sebastian	NPMSSP0
La Salle	NPCNO00
cargue y descargue	NCMN000
ida y vuelta	NCCN000
paz y salvo	NCMN000
pop-up	AQ0CN0
pop up	AQ0CN0
New Deal	NCMS000
del mismo modo	LOC_ADV
ultima ratio	NCFS000
## to avoid undesired suggestions in other rules
corona virus	NCMN000
salva conducto	NCMS000
pilla-pilla	NCMS000
taca-taca	NCMS000
salva conductos	NCMP000
salvo conducto	NCMS000
salvo conductos	NCMP000
tele trabajo	NCMS000
tele trabajos	NCMP000
##
de la Puente	NPCNSP0
Carmina Burana	NCCN000
El Abra	NPCSG00
Quintana Roo	NPCSG00
Nuevo León	NPMSG00
tira y afloja	NCMN000
Santa Claus	NPMNSP0
ceda el paso	NCMN000
Nueva York	NPFSG00
euro-zona	NCFS000
taca-taca	NCMS000
el más allá	NCMS000
boca a boca	NCMS000
piedra-papel-tijera	NCMS000
un boca sucia	NCMS000
La Haya	NPFSG00
punto y coma	NCMN000
Mato Grosso	NPMSG00
largo y tendido	LOC_ADV
Santo Domingo	NPMSG00
del todo	LOC_ADV
piruvato deshidrogenasa	NCFS000
CIA World Factbook	NPMSO00
CIA Factbook	NPMSO00
Luz de Gas	NPCSO00
ADN polimerasa	NCFS000
ADN polimerasas	NCFP000
María del Carmen	NPFSSP0
Royal Society	NPFSO00
Royal Academy	NPFSO00
Homo sapiens	NCMN000
Homo habilis	NCMN000
Homo erectus	NCMN000
Homo antecessor	NCMN000
Homo rudolfensis	NCMN000
Homo ergaster	NCMN000
Homo heidelbergensis	NCMN000
Homo neanderthalensis	NCMN000
Homo rhodesiensis	NCMN000
Homo sapiens idaltu	NCMN000
Homo sapiens sapiens	NCMN000
a anequín	LOC_ADV
a asentadillas	LOC_ADV
a barlovento	LOC_ADV
a barrisco	LOC_ADV
a base de	LOC_PREP
a base de bien	LOC_ADV
a boca de cañón	LOC_ADV
a bocajarro	LOC_ADV
a bombo y platillo	LOC_ADV
a borbollones	LOC_ADV
a borbotones	LOC_ADV
a bordo	LOC_ADV
a bote pronto	LOC_ADV
a brazo partido	LOC_ADV
a bruces	LOC_ADV
a buen recaudo	LOC_ADV
a buen seguro	LOC_ADV
a buen tino	LOC_ADV
a buena cuenta	LOC_ADV
a buena fe	LOC_ADV
a buena luz	LOC_ADV
a buena vista	LOC_ADV
a buenas horas	LOC_ADV
a buenas noches	LOC_ADV
a bulto	LOC_ADV
a cada instante	LOC_ADV
a cada momento	LOC_ADV
a cada paso	LOC_ADV
a cada rato	LOC_ADV
a cada trique	LOC_ADV
a cada triquitraque	LOC_ADV
a caja y espiga	LOC_ADV
a cal y canto	LOC_ADV
a caliche	LOC_ADV
a cambio	LOC_ADV
a cambio de	LOC_PREP
a campo raso	LOC_ADV
a campo traviesa	LOC_ADV
a capela	LOC_ADJ
a cappella	LOC_ADJ
a cara de perro	LOC_ADV
a cara descubierta	LOC_ADV
a carcajada limpia	LOC_ADV
a cargo de	LOC_PREP
a carretadas	LOC_ADV
a carta cabal	LOC_ADV
a casquete quitado	LOC_ADV
a causa de	LOC_PREP
a causa de que	LOC_CS
a centenares	LOC_ADV
a cepillo	LOC_ADV
a cerca de	LOC_PREP
a cercen	LOC_ADV
a cercén	LOC_ADV
a chorros	LOC_ADV
a cielo descubierto	LOC_ADV
a ciencia cierta	LOC_ADV
a codazo limpio	LOC_ADV
a comisión	LOC_ADV
a como de lugar	LOC_ADV
a condición de	LOC_PREP
a condición de que	LOC_CS
a consecuencia de	LOC_PREP
a continuación de	LOC_PREP
a contra reloj	LOC_ADV
a contrahílo	LOC_ADV
a contralecho	LOC_ADV
a contramano	LOC_ADV
a contrapelo	LOC_ADV
a contrapié	LOC_ADV
a corazón abierto	LOC_ADV
a cordel	LOC_ADV
a coro	LOC_ADV
a costillas	LOC_ADV
a coxcojilla	LOC_ADV
a cruz y escuadra	LOC_ADV
a cuatro patas	LOC_ADV
a cuatro pies	LOC_ADV
a cubos	LOC_ADV
a cuenta de	LOC_PREP
a cuerpo de rey	LOC_ADV
a cuerpo descubierto	LOC_ADV
a cuál más	LOC_ADV
a cántaros	LOC_ADV
a D. g.	Y
a dentelladas	LOC_ADV
a dentro	LOC_ADV
a desmano	LOC_ADV
a despecho	LOC_ADV
a despecho de	LOC_PREP
a destajo	LOC_ADV
a destiempo	LOC_ADV
a diario	LOC_ADV
a dicho efecto	LOC_ADV
a diferencia de	LOC_PREP
a disgusto	LOC_ADV
a distinción de	LOC_PREP
a dos dedos de	LOC_PREP
a dos haces	LOC_ADV
a dos manos	LOC_ADV
a duras penas	LOC_ADV
a dúo	LOC_ADV
a efecto de que	LOC_CS
a efectos de	LOC_PREP
a empellones	LOC_ADV
a escape	LOC_ADV
a escondidas	LOC_ADV
a escondidillas	LOC_ADV
a escote	LOC_ADV
a escuadra	LOC_ADV
a escusa	LOC_ADV
a escusas	LOC_ADV
a eso de	LOC_PREP
a espaldas de	LOC_PREP
a espeta perro	LOC_ADV
a espinapez	LOC_ADV
a espuertas	LOC_ADV
a este lado de	LOC_PREP
a excepción de	LOC_PREP
a expensas	LOC_ADV
a expensas de	LOC_PREP
a fanegadas	LOC_ADV
a favor de	LOC_PREP
a fin de	LOC_PREP
a fin de cuentas	LOC_ADV
a fin de que	LOC_CS
a fines de	LOC_PREP
a flor de agua	LOC_ADV
a flor de piel	LOC_ADV
a flote	LOC_ADV
a fortiori	LOC_ADV
a fuego lento	LOC_ADV
a fuerza de	LOC_PREP
a fuerza de que	LOC_CS
a gachas	LOC_ADV
a gatas	LOC_ADV
a gogó	LOC_ADV
a grandes rasgos	LOC_ADV
a granel	LOC_ADV
a graves penas	LOC_ADV
a guisa de	LOC_PREP
a hito	LOC_ADV
a horcajadas	LOC_ADV
a hurtadillas	LOC_ADV
a jarros	LOC_ADV
a jornal	LOC_ADV
a junta continua	LOC_ADV
a juzgar como	LOC_ADV
a juzgar por	LOC_PREP
a la bartola	LOC_ADV
a la buena ventura	LOC_ADV
a la busca de	LOC_PREP
a la chita callando	LOC_ADV
a la cola	LOC_ADV
a la espera de	LOC_PREP
a la funerala	LOC_ADV
a la inversa	LOC_ADV
a la manera de	LOC_PREP
a la mano de Dios	LOC_ADV
a la mitad de	LOC_PREP
a la morisma	LOC_ADV
a la mujeriega	LOC_ADV
a la papillote	LOC_ADV
a la par	LOC_ADV
a la parrilla	LOC_ADV
a la pata coja	LOC_ADV
a la pata llana	LOC_ADV
a la paz de Dios	LOC_ADV
a la pendura	LOC_ADV
a la perfección	LOC_ADV
a la postre	LOC_ADV
a la primera de cambio	LOC_ADV
a la ronza	LOC_ADV
a la siga de	LOC_PREP
a la sirga	LOC_ADV
a la sopa boba	LOC_ADV
a la tentaruja	LOC_ADV
a la tirolesa	LOC_ADV
a la usanza de	LOC_PREP
a la vez	LOC_ADV
a la vez que	LOC_CS
a la vuelta de	LOC_PREP
a la zona de	LOC_PREP
a largas marchas	LOC_ADV
a las calladas	LOC_ADV
a las mil maravillas	LOC_ADV
a las primeras de cambio	LOC_ADV
a las puertas de la muerte	LOC_ADV
a las veces	LOC_ADV
a lata por canal	LOC_ADV
a legua	LOC_ADV
a leguas	LOC_ADV
a libre plática	LOC_ADV
a lo ancho de	LOC_PREP
a lo bestia	LOC_ADV
a lo discreto	LOC_ADV
a lo garçon	LOC_ADV
a lo grande	LOC_ADV
a lo largo y a lo ancho	LOC_ADV
a lo largo y ancho de	LOC_PREP
a lo lejos	LOC_ADV
a lo loco	LOC_ADV
a lo moderno	LOC_ADV
a lo más	LOC_ADV
a lo que parece	LOC_ADV
a lo que salga	LOC_ADV
a lo sumo	LOC_ADV
a lo tonto	LOC_ADV
a lomo	LOC_ADV
a lomos	LOC_ADV
a los cuatro vientos	LOC_ADV
a los piques	LOC_ADV
a lumbre de pajas	LOC_ADV
a lumbre mansa	LOC_ADV
a lápiz	LOC_ADV
a línea tirada	LOC_ADV
a machamartillo	LOC_ADV
a machote	LOC_ADV
a mal dar	LOC_ADV
a malas penas	LOC_ADV
a manadas	LOC_ADV
a manera de	LOC_PREP
a mano airada	LOC_ADV
a mano armada	LOC_ADV
a manos llenas	LOC_ADV
a mansalva	LOC_ADV
a mares	LOC_ADV
a mata caballo	LOC_ADV
a matacaballo	LOC_ADV
a mayor abundamiento	LOC_ADV
a mazo y escoplo	LOC_ADV
a media ladera	LOC_ADV
a media madera	LOC_ADV
a media margen	LOC_ADV
a media rienda	LOC_ADV
a media rodilla	LOC_ADV
a media voz	LOC_ADV
a mediados de	LOC_PREP
a medias palabras	LOC_ADV
a medida que	LOC_CS
a medio hacer	LOC_ADV
a medio plazo	LOC_ADV
a mediodía	LOC_ADV
a medios pelos	LOC_ADV
a menos que	LOC_CS
a menudo	LOC_ADV
a mesa puesta	LOC_ADV
a millaradas	LOC_ADV
a mis anchas	LOC_ADV
a mitad de	LOC_PREP
a modo de	LOC_PREP
a montón	LOC_ADV
a mucha honra	LOC_ADV
a muerte	LOC_ADV
a muerte o vida	LOC_ADV
a mujeriega	LOC_ADV
a más andar	LOC_ADV
a más correr	LOC_ADV
a más ganar	LOC_ADV
a más mejor	LOC_ADV
a más no poder	LOC_ADV
a más tardar	LOC_ADV
a más ver	LOC_ADV
a más y mejor	LOC_ADV
a nado	LOC_ADV
a no ser que	LOC_CS
a nombre de	LOC_PREP
a ojo de buen cubero	LOC_ADV
a ojos vistas	LOC_ADV
a pan y cuchillo	LOC_ADV
a partir de	LOC_PREP
a pasatoro	LOC_ADV
a paseo	LOC_ADV
a paso de tortuga	LOC_ADV
a paso largo	LOC_ADV
a pasto	LOC_ADV
a pesar de	LOC_PREP
a pesar de que	LOC_CS
a pesar de todo	LOC_ADV
a peso de oro	LOC_ADV
a petición de	LOC_PREP
a peón	LOC_ADV
a pica suelta	LOC_ADV
a pico	LOC_ADV
a pico de jarro	LOC_ADV
a pie firme	LOC_ADV
a pie llano	LOC_ADV
a pierna suelta	LOC_ADV
a pipiricojo	LOC_ADV
a pique de maceta	LOC_ADV
a plazo fijo	LOC_ADV
a plazos	LOC_ADV
a plomo	LOC_ADV
a poco que	LOC_CS
a poco rato	LOC_ADV
