# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
XL	XL	AO0CN0
laptop	laptop	NCMS000
laptops	laptop	NCMP000
neopanamax	neopanamax	NCMP000
neopanamax	neopanamax	NCMS000
némesis	némesis	NCFP000
némesis	némesis	NCFS000
outsourcing	outsourcing	NCMN000
panamax	panamax	NCMP000
panamax	panamax	NCMS000
remarketing	remarketing	NCMP000
