# Similar words: verb without accent, noun/adjective with accent; POS tag of the noun/adjective. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
#alfeizar;alféizar;NCMS000
#amago;ámago;NCMS000
#asaros;ásaros;NCMP000
#barbaros;bárbaros;NCMP000
#cantaros;cántaros;NCMP000
#capo;capó;NCMS000
#cataros;cátaros;NCMP000
#cesar;césar;NCMS000
#como;cómo;NCMS000
#dolar;dólar;NCMS000
#gallaros;gállaros;NCMP000
#haber;háber;NCMS000
#lazaros;lázaros;NCMP000
#limite;límite;AQ0CN0
#papa;papá;NCMS000
#paparos;páparos;NCMP000
#papas;papás;NCMP000
#para;pará;NCMS000
#paras;parás;NCMP000
#picaros;pícaros;NCMP000
#pulsar;púlsar;NCMS000
#revolver;revólver;NCMS000
#supera;súpera;AQ0FS0
#superas;súperas;AQ0FP0
#supero;súpero;AQ0MS0
#tender;ténder;NCMS000
ababan;ababán;NCMS000
abonare;abonaré;NCMS000
abonares;abonarés;NCMP000
acaro;ácaro;NCMS000
acibares;acíbares;NCMP000
acida;ácida;AQ0FS0
acidas;ácidas;AQ0FP0
acido;ácido;AQ0MS0
acido;ácido;NCMS000
acidula;acídula;AQ0FS0
acidulas;acídulas;AQ0FP0
acidulo;acídulo;AQ0MS0
acolito;acólito;NCMS000
acoro;ácoro;NCMS000
acumulo;acúmulo;NCMS000
adan;adán;NCMS000
ademan;ademán;NCMS000
adminiculo;adminículo;NCMS000
adultera;adúltera;AQ0FS0
adultera;adúltera;NCFS000
adulteras;adúlteras;AQ0FP0
adulteras;adúlteras;NCFP000
adultero;adúltero;AQ0MS0
adultero;adúltero;NCMS000
afila;áfila;AQ0FS0
afilas;áfilas;AQ0FP0
afilo;áfilo;AQ0MS0
alabe;álabe;NCMS000
alabes;álabes;NCMP000
alaga;álaga;NCFS000
alagas;álagas;NCFP000
albardan;albardán;NCMS000
alborea;alboreá;NCFS000
alboreas;alboreás;NCFP000
alfeizares;alféizares;NCMP000
aligera;alígera;AQ0FS0
aligeras;alígeras;AQ0FP0
aligero;alígero;AQ0MS0
aljofares;aljófares;NCMP000
almadia;almadía;NCFS000
almadias;almadías;NCFP000
almibares;almíbares;NCMP000
aman;amán;NCMS000
ambares;ámbares;AQ0CP0
ambares;ámbares;NCMP000
amen;amén;NCMS000
ancora;áncora;NCFS000
ancoras;áncoras;NCFP000
anden;andén;NCMS000
anima;ánima;NCFS000
animas;ánimas;NCFP000
animo;ánimo;NCMS000
anulo;ánulo;NCMS000
apoca;ápoca;NCFS000
apocas;ápocas;NCFP000
apocopa;apócopa;NCFS000
apocopas;apócopas;NCFP000
apocope;apócope;NCFS000
apocopes;apócopes;NCFP000
apoda;ápoda;AQ0FS0
apodas;ápodas;AQ0FP0
apostata;apóstata;NCCS000
apostatas;apóstatas;NCCP000
apostrofe;apóstrofe;NCMS000
apostrofes;apóstrofes;NCMP000
apostrofo;apóstrofo;NCMS000
aran;arán;NCMS000
arbitra;árbitra;AQ0FS0
arbitra;árbitra;NCFS000
arbitras;árbitras;AQ0FP0
arbitras;árbitras;NCFP000
arbitro;árbitro;AQ0MS0
arbitro;árbitro;NCMS000
arboles;árboles;NCMP000
articulo;artículo;NCMS000
astrologa;astróloga;AQ0FS0
astrologa;astróloga;NCFS000
astrologas;astrólogas;AQ0FP0
astrologas;astrólogas;NCFP000
astrologo;astrólogo;AQ0MS0
astrologo;astrólogo;NCMS000
autentica;auténtica;AQ0FS0
autenticas;auténticas;AQ0FP0
autentico;auténtico;AQ0MS0
autocritica;autocrítica;AQ0FS0
autocritica;autocrítica;NCFS000
autocriticas;autocríticas;AQ0FP0
autocriticas;autocríticas;NCFP000
autocritico;autocrítico;AQ0MS0
azoe;ázoe;NCMS000
azoes;ázoes;NCMP000
azucares;azúcares;NCCP000
balamos;bálamos;NCMP000
barbara;bárbara;AQ0FS0
barbara;bárbara;NCFS000
barbaras;bárbaras;AQ0FP0
barbaras;bárbaras;NCFP000
barrabas;barrabás;NCMN000
bascula;báscula;NCFS000
basculas;básculas;NCFP000
batan;batán;NCMS000
beatifica;beatífica;AQ0FS0
beatificas;beatíficas;AQ0FP0
beatifico;beatífico;AQ0MS0
bollen;bollén;NCMS000
borren;borrén;NCMS000
brotanos;brótanos;NCMP000
bufalo;búfalo;NCMS000
bufalos;búfalos;NCMP000
bufe;bufé;NCMS000
bufes;bufés;NCMP000
buzanos;búzanos;NCMP000
cabriole;cabriolé;NCMS000
cabrioles;cabriolés;NCMP000
cadmia;cadmía;NCFS000
cadmias;cadmías;NCFP000
calamos;cálamos;NCMP000
calan;calán;NCMS000
calaos;cálaos;NCMP000
calculo;cálculo;NCMS000
calo;caló;NCMS000
calorifuga;calorífuga;AQ0FS0
calorifugas;calorífugas;AQ0FP0
calorifugo;calorífugo;AQ0MS0
canceres;cánceres;NCMP000
candanos;cándanos;NCMP000
candara;cándara;NCFS000
candaras;cándaras;NCFP000
cantara;cántara;NCFS000
cantaras;cántaras;NCFP000
capitula;capítula;NCFS000
capitulas;capítulas;NCFP000
capitulo;capítulo;NCMS000
capsula;cápsula;NCFS000
capsulas;cápsulas;NCFP000
cardan;cardán;NCMS000
carnea;cárnea;AQ0FS0
carneas;cárneas;AQ0FP0
carneo;cárneo;AQ0MS0
casaron;casarón;NCMS000
cascara;cáscara;NCFS000
cascaras;cáscaras;NCFP000
cascaron;cascarón;NCMS000
catalogo;catálogo;NCMS000
catan;catán;NCMS000
catara;cátara;NCFS000
cataras;cátaras;NCFP000
cavan;caván;NCMS000
celan;celán;NCMS000
celebre;célebre;AQ0CS0
celebres;célebres;AQ0CP0
centrifuga;centrífuga;AQ0FS0
centrifuga;centrífuga;NCFS000
centrifugas;centrífugas;AQ0FP0
centrifugas;centrífugas;NCFP000
centrifugo;centrífugo;AQ0MS0
cercena;cércena;AQ0FS0
cercenas;cércenas;AQ0FP0
cerceno;cérceno;AQ0MS0
cesares;césares;NCMP000
chalan;chalán;AQ0MS0
chalan;chalán;NCMS000
chale;chalé;NCMS000
chapo;chapó;NCMS000
ciclan;ciclán;AQ0MS0
ciclan;ciclán;NCMS000
cinquen;cinquén;NCMS000
circulo;círculo;NCMS000
citaron;citarón;NCMS000
clarifica;clarífica;AQ0FS0
clarificas;claríficas;AQ0FP0
clarifico;clarífico;AQ0MS0
clausula;cláusula;NCFS000
clausulas;cláusulas;NCFP000
clise;clisé;NCMS000
clises;clisés;NCMP000
coagulo;coágulo;NCMS000
computo;cómputo;NCMS000
consolida;consólida;NCFS000
consolidas;consólidas;NCFP000
contraordenes;contraórdenes;NCFP000
copula;cópula;NCFS000
copulas;cópulas;NCFP000
cornea;córnea;AQ0FS0
cornea;córnea;NCFS000
corneas;córneas;AQ0FP0
corneas;córneas;NCFP000
corneo;córneo;AQ0MS0
cria;cría;NCFS000
cria;cría;NCFS000
crialo;críalo;NCMS000
crialos;críalos;NCMP000
crias;crías;NCFP000
crias;crías;NCFP000
crio;crío;NCMS000
critica;crítica;AQ0FS0
critica;crítica;NCFS000
critica;crítica;NCFS000
criticas;críticas;AQ0FP0
