# Similar words: verb without accent, noun with accent; POS tag of the noun. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
#alfeizar;alféizar;NCMS000
#amago;ámago;NCMS000
#asaros;ásaros;NCMP000
#barbaros;bárbaros;NCMP000
#cantaros;cántaros;NCMP000
#capo;capó;NCMS000
#cataros;cátaros;NCMP000
#cesar;césar;NCMS000
#como;cómo;NCMS000
#dolar;dólar;NCMS000
#gallaros;gállaros;NCMP000
#haber;háber;NCMS000
#lazaros;lázaros;NCMP000
#paparos;páparos;NCMP000
#picaros;pícaros;NCMP000
#pulsar;púlsar;NCMS000
#revolver;revólver;NCMS000
#tender;ténder;NCMS000
ababan;ababán;NCMS000
abonare;abonaré;NCMS000
abonares;abonarés;NCMP000
acaro;ácaro;NCMS000
acibares;acíbares;NCMP000
acido;ácido;NCMS000
acolito;acólito;NCMS000
acoro;ácoro;NCMS000
acumulo;acúmulo;NCMS000
adan;adán;NCMS000
ademan;ademán;NCMS000
adminiculo;adminículo;NCMS000
adultera;adúltera;NCFS000
adulteras;adúlteras;NCFP000
adultero;adúltero;NCMS000
alabe;álabe;NCMS000
alabes;álabes;NCMP000
alaga;álaga;NCFS000
alagas;álagas;NCFP000
albardan;albardán;NCMS000
alborea;alboreá;NCFS000
alboreas;alboreás;NCFP000
alfeizares;alféizares;NCMP000
aljofares;aljófares;NCMP000
almadia;almadía;NCFS000
almadias;almadías;NCFP000
almibares;almíbares;NCMP000
aman;amán;NCMS000
ambares;ámbares;NCMP000
amen;amén;NCMS000
ancora;áncora;NCFS000
ancoras;áncoras;NCFP000
anden;andén;NCMS000
anima;ánima;NCFS000
animas;ánimas;NCFP000
animo;ánimo;NCMS000
anulo;ánulo;NCMS000
apoca;ápoca;NCFS000
apocas;ápocas;NCFP000
apocopa;apócopa;NCFS000
apocopas;apócopas;NCFP000
apocope;apócope;NCFS000
apocopes;apócopes;NCFP000
apodo;ápodo;NCMS000
apostata;apóstata;NCCS000
apostatas;apóstatas;NCCP000
apostrofe;apóstrofe;NCMS000
apostrofes;apóstrofes;NCMP000
apostrofo;apóstrofo;NCMS000
aran;arán;NCMS000
arbitra;árbitra;NCFS000
arbitras;árbitras;NCFP000
arbitro;árbitro;NCMS000
arboles;árboles;NCMP000
articulo;artículo;NCMS000
astrologa;astróloga;NCFS000
astrologas;astrólogas;NCFP000
astrologo;astrólogo;NCMS000
autocritica;autocrítica;NCFS000
autocriticas;autocríticas;NCFP000
azoe;ázoe;NCMS000
azoes;ázoes;NCMP000
azucares;azúcares;NCCP000
baga;bagá;NCMS000
bagas;bagás;NCMP000
baja;bajá;NCMS000
bajas;bajás;NCMP000
balamos;bálamos;NCMP000
balanos;bálanos;NCMP000
baldes;baldés;NCMN000
barbara;bárbara;NCFS000
barbaras;bárbaras;NCFP000
barrabas;barrabás;NCMN000
bascula;báscula;NCFS000
basculas;básculas;NCFP000
batan;batán;NCMS000
bebe;bebé;NCCS000
bebes;bebés;NCCP000
bollen;bollén;NCMS000
borren;borrén;NCMS000
brotanos;brótanos;NCMP000
bufalo;búfalo;NCMS000
bufalos;búfalos;NCMP000
bufe;bufé;NCMS000
bufes;bufés;NCMP000
buzanos;búzanos;NCMP000
cabriole;cabriolé;NCMS000
cabrioles;cabriolés;NCMP000
cache;caché;NCMS000
caches;cachés;NCMP000
cadmia;cadmía;NCFS000
cadmias;cadmías;NCFP000
calamos;cálamos;NCMP000
calan;calán;NCMS000
calaos;cálaos;NCMP000
calces;calcés;NCMS000
calculo;cálculo;NCMS000
cale;calé;NCMS000
cales;calés;NCMP000
calo;caló;NCMS000
camino;cámino;NCMS000
canceres;cánceres;NCMP000
candanos;cándanos;NCMP000
candara;cándara;NCFS000
candaras;cándaras;NCFP000
cantara;cántara;NCFS000
cantaras;cántaras;NCFP000
cantones;cantonés;NCMS000
capa;capá;NCMS000
capas;capás;NCMP000
capitula;capítula;NCFS000
capitulas;capítulas;NCFP000
capitulo;capítulo;NCMS000
capsula;cápsula;NCFS000
capsulas;cápsulas;NCFP000
cardan;cardán;NCMS000
casaron;casarón;NCMS000
cascara;cáscara;NCFS000
cascaras;cáscaras;NCFP000
cascaron;cascarón;NCMS000
catalogo;catálogo;NCMS000
catan;catán;NCMS000
catara;cátara;NCFS000
cataras;cátaras;NCFP000
cavan;caván;NCMS000
cede;cedé;NCMS000
cedes;cedés;NCMP000
celan;celán;NCMS000
centrifuga;centrífuga;NCFS000
centrifugas;centrífugas;NCFP000
cesares;césares;NCMP000
chalan;chalán;NCMS000
chale;chalé;NCMS000
chales;chalés;NCMP000
chapo;chapó;NCMS000
chascas;chascás;NCMN000
ciclan;ciclán;NCMS000
cinquen;cinquén;NCMS000
circulo;círculo;NCMS000
citara;cítara;NCFS000
citaras;cítaras;NCFP000
citaron;citarón;NCMS000
clausula;cláusula;NCFS000
clausulas;cláusulas;NCFP000
clise;clisé;NCMS000
clises;clisés;NCMP000
coagulo;coágulo;NCMS000
combes;combés;NCMS000
computo;cómputo;NCMS000
consolida;consólida;NCFS000
consolidas;consólidas;NCFP000
contraordenes;contraórdenes;NCFP000
copula;cópula;NCFS000
copulas;cópulas;NCFP000
cornea;córnea;NCFS000
corneas;córneas;NCFP000
cortes;cortés;NCFP000
crepe;crepé;NCMS000
crepes;crepés;NCMP000
cria;cría;NCFS000
cria;cría;NCFS000
crialo;críalo;NCMS000
crialos;críalos;NCMP000
crias;crías;NCFP000
crias;crías;NCFP000
crio;crío;NCMS000
critica;crítica;NCFS000
critica;crítica;NCFS000
criticas;críticas;NCFP000
criticas;críticas;NCFP000
critico;crítico;NCMS000
cronometro;cronómetro;NCMS000
cuadricula;cuadrícula;NCFS000
cuadriculas;cuadrículas;NCFP000
cuajaron;cuajarón;NCMS000
cuartan;cuartán;NCMS000
cuneo;cúneo;NCMS000
cupe;cupé;NCMS000
debito;débito;NCMS000
decimos;décimos;NCMP000
demasia;demasía;NCFS000
demasias;demasías;NCFP000
deposito;depósito;NCMS000
desanimo;desánimo;NCMS000
desordenes;desórdenes;NCMP000
diacono;diácono;NCMS000
diagnostico;diagnóstico;NCMS000
dialogo;diálogo;NCMS000
dictamos;díctamos;NCMP000
dolares;dólares;NCMP000
domestica;doméstica;NCFS000
domesticas;domésticas;NCFP000
domestico;doméstico;NCMS000
domine;dómine;NCMS000
domines;dómines;NCMP000
domino;dominó;NCMS000
domino;dómino;NCMS000
duplica;dúplica;NCFS000
duplicas;dúplicas;NCFP000
ejercito;ejército;NCMS000
embolo;émbolo;NCMS000
embroca;émbroca;NCFS000
embrocas;émbrocas;NCFP000
emula;émula;NCFS000
emulas;émulas;NCFP000
emulo;émulo;NCMS000
entrelinea;entrelínea;NCFS000
entrelineas;entrelíneas;NCFP000
epilogo;epílogo;NCMS000
epitome;epítome;NCMS000
epitomes;epítomes;NCMP000
equivoco;equívoco;NCMS000
escalamos;escálamos;NCMP000
especifico;específico;NCMS000
especulo;espéculo;NCMS000
espontanea;espontánea;NCFS000
espontaneas;espontáneas;NCFP000
espontaneo;espontáneo;NCMS000
esteres;ésteres;NCMP000
