#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Intel Core; Z m sp
home page;N f s
point presse; N m s
points presse; N m p
The American Weekly; Z e sp
Europe News Weekly; Z e sp
US Weekly; Z e sp
capture d'écran; N f s
Affective sciences; Z e sp
Cultural Perspectives; Z e sp
Super Finale; Z e sp
Fédéral Archives; Z e sp
Orchestral Version; Z e sp
Territorial Division Act; Z e sp
native digital;Z e sp
Global offensive;Z e sp
Call of Duty;Z e sp
purificateur d'air;N m s
World of Warcraft; Z e sp
motion design;N e sp
gang blood;N e sp
green zone;N f sp
login page;N f s
pale rider;N m sp
Girl's Generation;Z e sp
L'École d'Appelle;Z e sp
Celle Saint Cloud;Z e sp
Champ de Mars;Z e sp
pop star;N f sp
bow window;N m s
bow windows;N m p
machine à café;N f s
Raspberry Pi;N m sp
top coat;N e sp
petit déj;N m s
Bite Force Quotient;N m sp
petit déj';N m s
chiffres marché;N m p
panier surprise;N m s
paniers surprises;N m p
mise bas;N f s
mises bas;N f p
pass culture;N m sp
Lions Clubs Internation;Z e sp
Pan America;Z e sp
data mining;N m sp
data layer;N m sp
business guide;N e sp
phone box;N e sp
Land Rover;N f sp
single malt;N m sp
skate parks;N m p
skate park;N m s
moules frites;N m sp
UN News;Z e sp
Pure One;Z e sp
club master;N m s
Software Factory;N f s
data center;N m s
pile ou face;N m sp
point de vue;N m s
points de vue;N m p
Bonneville la Louvet;Z e sp
Mau Mau;Z e sp
LL. AA.;T e p
LL. AA. II.;T e p
LL. AA. RR.;T e p
MYTF1 News;Z e sp
DZair Infos;Z e sp
DJ Events;Z e sp
LL. EE.;T e p
LL. ÉÉm.;T e p
LL. EExc.;T e p
LL. GG.;T e p
LL. MM.;T e p
LL. MM. II.;T e p
LL. MM. RR.;T e p
RR. PP.;T e p
R. P.;T e p
ski bus;N m sp
WP Themes;Z e sp
QR code;N m s
QR codes;N m p
X Games;Z e sp
Rage Against the Machine;Z e sp
food truck;N m s
food trucks; N m p
Gamers Assembly;Z e sp
Martinique Boat Show;Z e sp
NN.SS.;T e p
Joe le taxi; Z e sp
Motion Design;N m sp
Air Jordan;N m sp
Cocci'Malins;Z e sp
To Do List;N f sp
la Lys;Z e sp
digital learning;N m sp
maître de stage;N e s
maîtres de stage;N e p
chiffres marché;N m s
général Leclerc;Z e sp
Royal Air; N f sp
