# Replace rule for SpacesRule (see replace.txt)
# Licence: LGPL
abhaineann=a bhaineann
abhaint=a bhaint
abheith=a bheith
abhfuil=a bhfuil
abhí=a bhí
achinntiú=a chinntiú
achur=a chur
adhéanamh=a dhéanamh
adhéanann=a dhéanann
afháil=a fháil
afheabhsú=a fheabhsú
afhorbairt=a fhorbairt
agan=ag an
aghlacadh=a ghlacadh
agna=ag na
agusa=agus a
agusan=agus an
agusna=agus na
alán=a lán
aleanas=a leanas
ambeidh=a mbeidh
aonduine=aon duine
araghaidh=ar aghaidh
aran=ar an
arfad=ar fad
arfáil=ar fáil
arlíne=ar líne
asa=as a
asholáthar=a sholáthar
assin=as sin
athabhairt=a thabhairt
bhaineannle=bhaineann le
bhaintamach=bhaint amach
brioscáinphrátaí=brioscáin phrátaí
cadé=cad é
cadiad=cad iad
cadí=cad í
chomhmaith=chomh maith
chuigan=chuig an
chuna=chun a
chunna=chun na
churar=chur ar
churchun=chur chun
cursíos=cur síos
dechuid=de chuid
deréir=de réir
dtína=dtí na
duli=dul i
eilea=eile a
gobhfuil=go bhfuil
godriopásach=go driopásach
gombeadh=go mbeadh
gombeidh=go mbeidh
idtaobh=i dtaobh
igcomhar=i gcomhar
igcrích=i gcrích
imeasc=i measc
imo=i mo
inadhiaidh=ina dhiaidh
inaghaidh=in aghaidh
isé=is é
isea=is ea
isfearr=is fearr
isí=is í
isiad=is iad
lehaghaidh=le haghaidh
lehaon=le haon
leisan=leis an
leisna=leis na
leissin=leis sin
lelinn=le linn
lenan-áirítear=lena n-áirítear
maidirle=maidir le
maidirleis=maidir leis
másé=más é
meastú=meas tú
nabliana=na bliana
nachbhfuil=nach bhfuil
nadaoine=na daoine
nahÉireann=na hÉireann
níosmó=níos mó
nóa=nó a
sabhliain=sa bhliain
sanáireamh=san áireamh
seoa=seo a
seoagus=seo agus
sina=sin a
