atáid	bí	Verb:VI:PresInd:3P:Pl:Rel:CM
⁊	⁊	Conj:Coord
&	&	Conj:Coord
mnáibh	bean	Noun+Fem+Dat+Pl
ualaíbh	ualach	Noun+Masc+Dat+Pl
fata	fata	Noun:Masc:Com:Sg
fata	fata	Noun:Masc:Com:Sg:DefArt
fata	fata	Noun:Masc:Gen:Sg
fhata	fata	Noun:Masc:Com:Sg:Len
fhata	fata	Noun:Masc:Gen:Sg:DefArt
fhata	fata	Noun:Masc:Gen:Sg:Len
fhata	fata	Noun:Masc:Voc:Sg:Len
bhfata	fata	Noun:Masc:Com:Sg:Ecl
bhfata	fata	Noun:Masc:Gen:Sg:Ecl
fataí	fata	Noun:Masc:Com:Pl
fataí	fata	Noun:Masc:Com:Pl:DefArt
fataí	fata	Noun:Masc:Gen:Strong:Pl
fataí	fata	Noun:Masc:Voc:Pl
fataí	fata	Noun:Masc:Voc:Pl:DefArt
fhataí	fata	Noun:Masc:Com:Pl:Len
fhataí	fata	Noun:Masc:Gen:Strong:Pl:Len
fhataí	fata	Noun:Masc:Voc:Pl:Len
bhfataí	fata	Noun:Masc:Com:Pl:Ecl
bhfataí	fata	Noun:Masc:Gen:Strong:Pl:DefArt
bhfataí	fata	Noun:Masc:Gen:Strong:Pl:Ecl
marcachaibh	marcach	Noun+Masc+Dat+Pl
mharcachaibh	marcach	Noun+Masc+Dat+Pl+Len
maoraibh	maor	Noun+Masc+Dat+Pl
mhaoraibh	maor	Noun+Masc+Dat+Pl+Len
fearaibh	fear	Noun+Masc+Dat+Pl
fhearaibh	fear	Noun+Masc+Dat+Pl+Len
bhfearaibh	fear	Noun+Masc+Dat+Pl+Ecl
sléibhtibh	sliabh	Noun+Masc+Dat+Pl
