.i.	Abr
...	Punct:Fin
mar a déarfá	Cmc
ar ais	Adv:Dir
ar feadh	Prep:Cmpd
ar fud	Prep:Cmpd
ar lorg	Prep:Cmpd
ar nós	Prep:Cmpd
ar son	Prep:Cmpd
cé is moite	Conj:Subord
cés moite	Conj:Subord
cé is móite	Conj:Subord
cés móite	Conj:Subord
chun go	Conj:Subord
de bharr	Prep:Cmpd
d'ainneoin	Prep:Cmpd
dá bharr sin	Adv:Gn
de bharr	Prep:Cmpd
de chois	Prep:Cmpd
de dheasca	Prep:Cmpd
de dheascaibh	Prep:Cmpd
de dhíobháil	Prep:Cmpd
de thairbhe	Prep:Cmpd
faoi bhráid	Prep:Cmpd
faoi bhun	Prep:Cmpd
faoi choinne	Prep:Cmpd
fá choinne	CU:Prep:Cmpd
faoi dhéin	Prep:Cmpd
go ceann	Prep:Cmpd
go dtí	Prep:Cmpd
i bhfeighil	Prep:Cmpd
i bhfochair	Prep:Cmpd
i dtrátha	Prep:Cmpd
i dtuilleamaí	Prep:Cmpd
i dteannta	Prep:Cmpd
i gceann	Prep:Cmpd
i gcionn	Prep:Cmpd
i gcoinne	Prep:Cmpd
i gcóir	Prep:Cmpd
i gcosamar	Prep:Cmpd
i gcuideachta	Prep:Cmpd
i lár	Prep:Cmpd
i láthair	Prep:Cmpd
i mbun	Prep:Cmpd
i ndiaidh	Prep:Cmpd
i rith	Prep:Cmpd
in aghaidh	Prep:Cmpd
in aice	Prep:Cmpd
in airicis	Prep:Cmpd
in ann	Prep:Cmpd
in éadan	Prep:Cmpd
leagan amach	Noun:Masc:Com:Sg
le cois	Prep:Cmpd
le hais	Prep:Cmpd
le linn	Prep:Cmpd
le go	Conj:Subord
os coinne	Prep:Cmpd
ní ba	Subst:Noun:Sg:Part:Comp
ní b'	Subst:Noun:Sg:Part:Comp
os cionn	Prep:Cmpd
os comhair	Prep:Cmpd
tar éis	Prep:Cmpd
thar ceann	Prep:Cmpd
thar a bheith	Adv:Its
a lán	Subst:Noun:Sg
a thuilleadh	Adv:Gn
ó thuaidh	Adv:Dir
ó dheas	Adv:Dir
taobh amuigh	Adv:Loc
taobh istigh	Adv:Loc
