afháil=a fháil
godriopásach=go driopásach
inaghaidh=in aghaidh
nahÉireann=na hÉireann
bhaintamach=bhaint amach
bhaineannle=bhaineann le
lenan-áirítear=lena n-áirítear
cadé=cad é
chomhmaith=chomh maith
gobhfuil=go bhfuil
ambeidh=a mbeidh
asholáthar=a sholáthar
dechuid=de chuid
churchun=chur chun
arfad=ar fad
igcrích=i gcrích
agusan=agus an
chuigan=chuig an
afhorbairt=a fhorbairt
adhéanamh=a dhéanamh
chuna=chun a
nadaoine=na daoine
deréir=de réir
imo=i mo
másé=más é
cadiad=cad iad
achur=a chur
nóa=nó a
abhfuil=a bhfuil
arfáil=ar fáil
aran=ar an
isfearr=is fearr
abhaineann=a bhaineann
isiad=is iad
agusna=agus na
leisan=leis an
meastú=meas tú
gombeidh=go mbeidh
aonduine=aon duine
brioscáinphrátaí=brioscáin phrátaí
arlíne=ar líne
igcomhar=i gcomhar
gombeadh=go mbeadh
alán=a lán
assin=as sin
seoagus=seo agus
abheith=a bheith
achinntiú=a chinntiú
araghaidh=ar aghaidh
asa=as a
isí=is í
sina=sin a
agna=ag na
cursíos=cur síos
nabliana=na bliana
aleanas=a leanas
dtína=dtí na
níosmó=níos mó
adhéanann=a dhéanann
aghlacadh=a ghlacadh
sanáireamh=san áireamh
agusa=agus a
isé=is é
leissin=leis sin
isea=is ea
nachbhfuil=nach bhfuil
eilea=eile a
lelinn=le linn
lehaon=le haon
athabhairt=a thabhairt
maidirleis=maidir leis
seoa=seo a
afheabhsú=a fheabhsú
chunna=chun na
inadhiaidh=ina dhiaidh
idtaobh=i dtaobh
leisna=leis na
lehaghaidh=le haghaidh
sabhliain=sa bhliain
churar=chur ar
maidirle=maidir le
