# Postags to extend the binary postagger, generated from database.
#
# Dot not add entries here, but report them on the forum.
#
heenkomen	heenkomen	WKW:INF:ZNW:HET
knock-outbod	knock-outbod	ZNW:EKV:HET
Turks-Armeens	Turks-Armeens	BNW:STL:ONV
hydro-ureter	hydro-ureter	ZNW:EKV:DE_
kosten-batenverhouding	kosten-batenverhouding	ZNW:EKV:DE_
kosten-batenverhoudingen	kosten-batenverhouding	ZNW:MRV:DE_
kosten-batenverhoudinkje	kosten-batenverhouding	ZNW:EKV:VRK:HET
kosten-batenverhoudinkjes	kosten-batenverhouding	ZNW:MRV:VRK:DE_
biotransformatie	biotransformatie	ZNW:EKV:DE_
biotransformaties	biotransformatie	ZNW:MRV:DE_
voorjaarsbloeiend	voorjaarsbloeiend	BNW:STL:ONV
voorjaarsbloeiende	voorjaarsbloeiend	BNW:STL:VRB
valdempend	valdempend	BNW:STL:ONV
valdempende	valdempend	BNW:STL:VRB
dampdoorlatend	dampdoorlatend	BNW:STL:ONV
dampdoorlatende	dampdoorlatend	BNW:STL:VRB
niet-inachtneming	niet-inachtneming	ZNW:EKV:DE_
niet-inachtnemingen	niet-inachtneming	ZNW:MRV:DE_
niet-zelfstandige	niet-zelfstandige	ZNW:EKV:DE_
niet-zelfstandigen	niet-zelfstandige	ZNW:MRV:DE_
niet-beleidsartikel	niet-beleidsartikel	ZNW:EKV:HET
niet-beleidsartikelen	niet-beleidsartikel	ZNW:MRV:DE_
niet-beleidsartikeltje	niet-beleidsartikel	ZNW:EKV:VRK:HET
niet-beleidsartikeltjes	niet-beleidsartikel	ZNW:MRV:VRK:DE_
niet-beleidsartikels	niet-beleidsartikel	ZNW:MRV:DE_
passief-agressief	passief-agressief	BNW:STL:ONV
passief-agressieve	passief-agressief	BNW:STL:VRB
niet-gereguleerd	niet-gereguleerd	BNW:STL:ONV
niet-gereguleerde	niet-gereguleerd	BNW:STL:VRB
medisch-inhoudelijk	medisch-inhoudelijk	BNW:STL:ONV
medisch-inhoudelijke	medisch-inhoudelijk	BNW:STL:VRB
niet-toeristisch	niet-toeristisch	BNW:STL:ONV
niet-toeristische	niet-toeristisch	BNW:STL:VRB
zijlob	zijlob	ZNW:EKV:DE_
zijlobben	zijlob	ZNW:MRV:DE_
zijlobbetje	zijlob	ZNW:EKV:VRK:HET
zijlobbetjes	zijlob	ZNW:MRV:VRK:DE_
zijlobje	zijlob	ZNW:EKV:VRK:HET
zijlobjes	zijlob	ZNW:MRV:VRK:DE_
candida-infectie	candida-infectie	ZNW:EKV:DE_
candida-infecties	candida-infectie	ZNW:MRV:DE_
candida-infectietje	candida-infectie	ZNW:EKV:VRK:HET
candida-infectietjes	candida-infectie	ZNW:MRV:VRK:DE_
oud-rechercheur	oud-rechercheur	ZNW:EKV:DE_
oud-rechercheurs	oud-rechercheur	ZNW:MRV:DE_
oud-rechercheurtje	oud-rechercheur	ZNW:EKV:VRK:HET
oud-rechercheurtjes	oud-rechercheur	ZNW:MRV:VRK:DE_
niet-technologisch	niet-technologisch	BNW:STL:ONV
niet-technologische	niet-technologisch	BNW:STL:VRB
niet-infectieus	niet-infectieus	BNW:STL:ONV
niet-infectieuze	niet-infectieus	BNW:STL:VRB
substituut-ombudsman	substituut-ombudsman	ZNW:EKV:DE_
substituut-ombudsmannen	substituut-ombudsman	ZNW:MRV:DE_
substituut-ombudslieden	substituut-ombudsman	ZNW:MRV:DE_
substituut-ombudslui	substituut-ombudsman	ZNW:MRV:DE_
substituut-ombudsmannetje	substituut-ombudsman	ZNW:EKV:VRK:HET
substituut-ombudsmannetjes	substituut-ombudsman	ZNW:MRV:VRK:DE_
kardinaal-diaken	kardinaal-diaken	ZNW:EKV:DE_
niet-wetenschapper	niet-wetenschapper	ZNW:EKV:DE_
niet-wetenschappers	niet-wetenschapper	ZNW:MRV:DE_
niet-toegewezen	niet-toegewezen	BNW:STL:ONV
niet-toegewezen	niet-toegewezen	BNW:STL:VRB
niet-gecontroleerd	niet-gecontroleerd	BNW:STL:ONV
niet-gecontroleerde	niet-gecontroleerd	BNW:STL:VRB
heldervoelendheid	heldervoelendheid	ZNW:EKV:DE_
chlamydia-infectie	chlamydia-infectie	ZNW:EKV:DE_
chlamydia-infecties	chlamydia-infectie	ZNW:MRV:DE_
chlamydia-infectietje	chlamydia-infectie	ZNW:EKV:VRK:HET
chlamydia-infectietjes	chlamydia-infectie	ZNW:MRV:VRK:DE_
antropoceen	antropoceen	ZNW:EKV:HET
lordschap	lordschap	ZNW:EKV
niet-triviaal	niet-triviaal	BNW:STL:ONV
niet-triviale	niet-triviaal	BNW:STL:VRB
botmineraaldichtheid	botmineraaldichtheid	ZNW:EKV:DE_
botmineraaldichtheden	botmineraaldichtheid	ZNW:MRV:DE_
botmineraaldichtheidje	botmineraaldichtheid	ZNW:EKV:VRK:HET
botmineraaldichtheidjes	botmineraaldichtheid	ZNW:MRV:VRK:DE_
bioluminescentie	bioluminescentie	ZNW:EKV:DE_
ex-schoonmoeder	ex-schoonmoeder	ZNW:EKV:DE_
ex-schoonmoeders	ex-schoonmoeder	ZNW:MRV:DE_
ex-schoonmoedertje	ex-schoonmoeder	ZNW:EKV:VRK:HET
ex-schoonmoeders	ex-schoonmoeder	ZNW:BEZ
ex-schoonmoedertjes	ex-schoonmoeder	ZNW:MRV:VRK:DE_
ergotherapeutisch	ergotherapeutisch	BNW:STL:ONV
ergotherapeutische	ergotherapeutisch	BNW:STL:VRB
Turks-Armeens	Turks-Armeens	BNW:STL:VRB
knock-outbodje	knock-outbod	ZNW:EKV:VRK:HET
knock-outbodjes	knock-outbod	ZNW:MRV:VRK:DE_
karpervissen	karpervissen	WKW:TGW:INF
karpervissend	karpervissen	WKW:ODW:ONV
karpervissende	karpervissen	WKW:ODW:VRB
karpervissenden	karpervissen	WKW:ODW:MRV:DE_
karpervisse	karpervissen	WKW:AWS
hydro-ureters	hydro-ureter	ZNW:MRV:DE_
zonverbranding	zonverbranding	ZNW:EKV:DE_
zonverbrandingen	zonverbranding	ZNW:MRV:DE_
portierkruk	portierkruk	ZNW:EKV:DE_
portierkrukje	portierkruk	ZNW:EKV:VRK:HET
portierkrukjes	portierkruk	ZNW:MRV:VRK:DE_
portierkrukken	portierkruk	ZNW:MRV:DE_
ecotoxicologisch	ecotoxicologisch	BNW:STL:ONV
ecotoxicologische	ecotoxicologisch	BNW:STL:VRB
spuitgietmatrijs	spuitgietmatrijs	ZNW:EKV:DE_
spuitgietmatrijsje	spuitgietmatrijs	ZNW:EKV:VRK:HET
spuitgietmatrijsjes	spuitgietmatrijs	ZNW:MRV:VRK:DE_
spuitgietmatrijzen	spuitgietmatrijs	ZNW:MRV:DE_
poolwervel	poolwervel	ZNW:EKV:DE_
