# Word;AdvicedAlternative
# can be used for suggesting a more common word
#-----------------------------------------------------------------------------------------------------------
## more common synonyms
#-----------------------------------------------------------------------------------------------------------
# do not remove the next line (needed for test)
rijwiel;fiets
ongeneselijk;ongeneeslijk
wereldbekend;wereldberoemd
wereldbekende;wereldberoemde
onbehagelijk;onbehaaglijk
onbehagelijke;onbehaaglijke
godsvruchtig;godvruchtig
godsvruchtige;godvruchtige
ultrasonisch;ultrasoon
ultrasonische;ultrasone
werktuigelijk;werktuiglijk
werktuigelijke;werktuiglijke
raisonnabel;redelijk
werktuigelijk;werktuiglijk
blauwkleurig;blauw
blauwkleurige;blauwe
aardebruinkleurig;aardebruin
beigekleurig;beige
bontkleurig;bont
bordeauxkleurig;bordeaux
bronskleurig;brons
bruinkleurig;bruin
camelkleurig;camel
chocoladebruinkleurig;chocoladebruin
chroomkleurig;chroom
crèmekleurig;crème
geelkleurig;geel
goudbronskleurig;goudbrons
goudkleurig;goud
grauwkleurig;grauw
grijskleurig;grijs
groenkleurig;groen
ivoorkleurig;ivoor
kakikleurig;kaki
legergroenkleurig;legergroen
lichtkleurig;licht
lichtpurperkleurig;lichtpurper
lilakleurig;lila
okerkleurig;oker
oranjekleurig;oranje
paarskleurig;paars
purperkleurig;purper
roestbruinkleurig;roestbruin
roodkleurig;rood
rozekleurig;roze
sepiakleurig;sepia
taupekleurig;taupe
terracottakleurig;terracotta
turkooiskleurig;turkoois
unikleurig;uni
vaalkleurig;vaal
vanillekleurig;vanille
vermiljoenkleurig;vermiljoen
violetkleurig;violet
zwartkleurig;zwart
