Tags,Meaning,Examples,English
BNW:ALR:IET,Bijvoeglijk naamwoord:Aller:Iets,allerbegrensds | allerbeschaamds,Compound Adjective:Something
BNW:ALR:MRV:DE_,Bijvoeglijk naamwoord:Aller:Meervoud:De,allercharmantsten | allergezondsten | allertrotsten,Compound Adjective:Plural
BNW:ALR:ONV,Bijvoeglijk naamwoord:Aller:Onverbogen,allercharmantst | allergezondst | allertrotst,Compound Adjective:Uninflected
BNW:ALR:VRB,Bijvoeglijk naamwoord:Aller:Verbogen,allercharmantste | allergezondste | allertrotste,Compound Adjective:Inflected
BNW:OVR:MRV:DE_,Bijvoeglijk naamwoord:Overtreffende trap:Meervoud:De,charmantsten | gezondsten | trotsten,Adjective:Superlative:Plural
BNW:OVR:ONV,Bijvoeglijk naamwoord:Overtreffende trap:Onverbogen,charmantst | gezondst | trotst,Adjective:Superlative:Uninflected
BNW:OVR:VRB,Bijvoeglijk naamwoord:Overtreffende trap:Verbogen,charmantste | gezondste | trotste,Adjective:Superlative:Inflected
BNW:STF,Bijvoeglijk naamwoord:Stof,teakhouten | wit-linnen | zwart-lederen,Adjective:Substance
BNW:STL:EKV,Bijvoeglijk naamwoord:Stellende trap:Enkelvoud,tevredene | uitgeslapene | vastberadene,Adjective:Positive:Singular
BNW:STL:IET,Bijvoeglijk naamwoord:Stellende trap:Iets,tevredens | uitgeslapens | vastberadens,Adjective:Positive:Something
BNW:STL:MRV:DE_,Bijvoeglijk naamwoord:Stellende trap:Meervoud:De,tevredenen | uitgeslapenen | vastberadenen,Adjective:Positive:Plural
BNW:STL:ONV,Bijvoeglijk naamwoord:Stellende trap:Onverbogen,tevreden | uitgeslapen | vastberaden,Adjective:Positive:Uninflected
BNW:STL:VRB,Bijvoeglijk naamwoord:Stellende trap:Verbogen,tevreden | uitgeslapen | vastberaden,Adjective:Positive:Inflected
BNW:VGR:IET,Bijvoeglijk naamwoord:Vergrotende trap:Iets,tevredeners | uitgeslapeners | vastberadeners,Adjective:Comparative:Something
BNW:VGR:MRV:DE_,Bijvoeglijk naamwoord:Vergrotende trap:Meervoud:De,tevredeneren | uitgeslapeneren | vastberadeneren,Adjective:Comparative:Plural
BNW:VGR:ONV,Bijvoeglijk naamwoord:Vergrotende trap:Onverbogen,tevredener | uitgeslapener | vastberadener,Adjective:Comparative:Uninflected
BNW:VGR:VRB,Bijvoeglijk naamwoord:Vergrotende trap:Verbogen,tevredenere | uitgeslapenere | vastberadenere,Adjective:Comparative:Inflected
