# Words that have two valid spellings. Used by WordCoherencyRule.
# This file must be encoded in UTF-8.
# NOTE: to also find fullforms (e.g. aufwendiges, aufwendigeres), those 
# forms may need to be added to added.txt
#
#
hivantistoffen;hiv-antistoffen
hivbehandelaar;hiv-behandelaar
hivbesmetting;hiv-besmetting
hivbesmettingen;hiv-besmettingen
hivbesmettingetje;hiv-besmettingetje
hivbesmettingetjes;hiv-besmettingetjes
hivbesmettinkje;hiv-besmettinkje
hivbesmettinkjes;hiv-besmettinkjes
hivgeïnfecteerde;hiv-geïnfecteerde
hivgeïnfecteerden;hiv-geïnfecteerden
hivhealing;hiv-healing
hivinfectie;hiv-infectie
hivinfecties;hiv-infecties
hivinfectietje;hiv-infectietje
hivinfectietjes;hiv-infectietjes
hivoverdracht;hiv-overdracht
hivpatiënt;hiv-patiënt
hivpatiënten;hiv-patiënten
hivpatiëntje;hiv-patiëntje
hivpatiëntjes;hiv-patiëntjes
hivpositief;hiv-positief
hivpositiefs;hiv-positiefs
hivpositiefst;hiv-positiefst
hivpositiefste;hiv-positiefste
hivpositieve;hiv-positieve
hivpositieven;hiv-positieven
hivpositiever;hiv-positiever
hivpositievere;hiv-positievere
hivpositievers;hiv-positievers
hivpreventie;hiv-preventie
hivremmer;hiv-remmer
hivremmers;hiv-remmers
hivstatus;hiv-status
hivstatusje;hiv-statusje
hivstatusjes;hiv-statusjes
hivstatussen;hiv-statussen
hivtest;hiv-test
hivtesten;hiv-testen
hivtestje;hiv-testje
hivtestjes;hiv-testjes
hivtests;hiv-tests
hivvader;hiv-vader
hivvirus;hiv-virus
hivvirusje;hiv-virusje
hivvirusjes;hiv-virusjes
hivvirussen;hiv-virussen
hivzaak;hiv-zaak
hivzaakje;hiv-zaakje
hivzaakjes;hiv-zaakjes
hivzaken;hiv-zaken
hivzelftest;hiv-zelftest
hivzelftesten;hiv-zelftesten
hivzelftestje;hiv-zelftestje
hivzelftestjes;hiv-zelftestjes
hivzelftests;hiv-zelftests
#
# ering - atie
#
motivering;motivatie
redenering;redenatie
indexering;indexatie
realisering;realisatie
situering;situatie
regulering;regulatie
notering;notatie
stimulering;stimulatie
annulering;annulatie
programmering;programmatie
facturering;facturatie
activering;activatie
fundering;fundatie
optimalisering;optimalisatie
certificering;certificatie
automatisering;automatisatie
reservering;reservatie
conservering;conservatie
actualisering;actualisatie
nering;natie
standaardisering;standaardisatie
legalisering;legalisatie
revitalisering;revitalisatie
sensibilisering;sensibilisatie
harmonisering;harmonisatie
stabilisering;stabilisatie
industrialisering;industrialisatie
normalisering;normalisatie
oriëntering;oriëntatie
legitimering;legitimatie
mechanisering;mechanisatie
rationalisering;rationalisatie
diplomering;diplomatie
secularisering;secularisatie
materialisering;materialisatie
heroriëntering;heroriëntatie
personalisering;personalisatie
motorisering;motorisatie
nationalisering;nationalisatie
minimalisering;minimalisatie
segmentering;segmentatie
cultivering;cultivatie
limitering;limitatie
maximalisering;maximalisatie
impregnering;impregnatie
vochtregulering;vochtregulatie
destabilisering;destabilisatie
miniaturisering;miniaturisatie
conceptualisering;conceptualisatie
kanalisering;kanalisatie
homogenisering;homogenisatie
collectivisering;collectivisatie
internalisering;internalisatie
klimatisering;klimatisatie
beargumentering;beargumentatie
loonindexering;loonindexatie
hybridisering;hybridisatie
conformering;conformatie
symbolisering;symbolisatie
canonisering;canonisatie
deactivering;deactivatie
handelsliberalisering;handelsliberalisatie
demilitarisering;demilitarisatie
persoonscertificering;persoonscertificatie
preservering;preservatie
acclimatisering;acclimatisatie
prijsindexering;prijsindexatie
pulsering;pulsatie
laminering;laminatie
inactivering;inactivatie
kolonialisering;kolonialisatie
vulgarisering;vulgarisatie
temperatuurregulering;temperatuurregulatie
