#Polish multiwords file used for chunking
...	ELLIPSIS
bez mała	ADV
co do	PREP:GEN
to znaczy	TO_ZNACZY
to jest	TO_JEST
z uwagi na	PREP:ACC
ze względu na	PREP:ACC
bez względu na	PREP:ACC
w oparciu o	PREP:ACC
w związku z	PREP:INST
w zgodzie z	PREP:INST
zgodnie z	PREP:INST
wraz z	PREP:INST
wespół z	PREP:INST
w odróżnieniu od	PREP:GEN
pod względem	PREP:GEN
w zamian za	PREP:ACC
w zależności od	PREP:GEN
w porównaniu z	PREP:INST
odnośnie do	PREP:GEN
za pomocą	PREP:GEN
przy pomocy	PREP:GEN
na mocy	PREP:GEN
na odcinku	PREP:GEN
na podstawie	PREP:GEN
na rzecz	PREP:GEN
na temat	PREP:GEN
w braku	PREP:GEN
w kategorii	PREP:GEN
w obecności	PREP:GEN
w okresie	PREP:GEN
w skład	PREP:GEN
w składzie	PREP:GEN
w ramach	PREP:GEN
w razie	PREP:GEN
w postaci	PREP:GEN
w przypadku	PREP:GEN
w tempie	PREP:GEN
w terminie	PREP:GEN
w trakcie	PREP:GEN
w wypadku	PREP:GEN
w wyniku	PREP:GEN
w odniesieniu do	PREP:GEN
w stosunku do	PREP:GEN
w relacji do	PREP:GEN
z okazji	PREP:GEN
z wyjątkiem	PREP:GEN
a także	CONJ
na co dzień	ADV
co nieco	ADV
co dzień	ADV
co chwilę	ADV
mimo wszystko	ADV
Mimo wszystko	ADV
do czysta	ADV
do cna	ADV
do naga	ADV
do niedawna	ADV
Do niedawna	ADV
do równa	ADV
do syta	ADV
do żywa	ADV
od nowa	ADV
Od nowa	ADV
z tym	CONJ
Z tym	CONJ
w myśl	PREP:GEN
w ciągu	PREP:GEN
W ciągu	PREP:GEN
w skład	PREP:GEN
w oderwaniu od	PREP:GEN
z powodu	PREP:GEN
Z powodu	PREP:GEN
