# Words that have two valid spellings. Used by WordCoherencyRule.
# This file must be encoded in UTF-8.
ablativus;ablatiwus
accusativus;akuzatiwus
aerobik;aerobic
akcentacja;akcentuacja
AIDS;aids
alochtoniczny;allochtoniczny
alloplastyka;aloplastyka
altowiolista;altowiolinista
apsyda;absyda
awangardzista;awangardysta
babysitter;baby-sitter
babysitting;baby-sitting
baseball;bejsbol
baseballista;bejsbolista
beneficjant;beneficjent
bestseller;bestseler
biathlon;biatlon
biathlonista;biatlonista
biathlonistka;biatlonistka
biedula;bidula
bielutki;bialutki
big-beatowy;bigbeatowy
bilingwizm;bilingwalizm
Bogarodzica;Bogurodzica
borówkowy;borówczany
bożnica;bóżnica
blef;bluff
breja;bryja
bridżista;brydżysta
brydż;bridż
business;biznes
calendarium;kalendarium
carsharing;car-sharing
cebrzyk;ceberek
celebrant;celebrans
chemioterapia;chemoterapia
chemioterapeutyczny;chemoterapeutyczny
chłoptaś;chłoptyś
chrześniak;chrzestniak
chili;chilli
ciemiężyciel;ciemięzca
chłopaczyna;chłopczyna
ckliwie;ckliwo
czempion;champion
dativus;datiwus
destrukcyjny;destruktywny
dezaktywizacja;dezaktywacja
diagnosta;diagnostyk
digitalizator;dygitalizator
dijoński;diżoński
dokumentalny;dokumentarny
driver;drajwer
drobniutki;drobniuteńki
druzgocący;druzgoczący
drybling;dribling
dysortograf;dysortografik
działkowiec;działkowicz
dziobać;dzióbać
dżin;gin
ekspresyjny;ekspresywny
eksmąż;eks-mąż
eurocentryzm;europocentryzm
faryzejski;faryzeuszowski
felogen;fellogen
figus;fikus
flaneur;flaner
gadget;gadżet
garmażeria;garmażernia
garnkotłuk;garkotłuk
genetivus;genetiwus
glanc;glans
Golfstrom;Golfsztrom
grapefruit;grejpfrut
grzebuła;grzebała
gwiaździsty;gwieździsty
halabardzista;halabardnik
hardcore'owy;hardcorowy
hip-hopowy;hiphopowy
hipika;hippika
holokaust;holocaust
hokejka;hokejówka
hydroterapia;hydropatia
hydroterapeutyczny;hydropatyczny
imperativus;imperatiwus
inbusowy;imbusowy
infinitivus;infinitiwus
jazz;dżez
jazzband;jazz-band
joystick;dżojstik
judaica;judaika
killer;kiler
klasa-pracownia;klasopracownia
kolender;kolendra
kollaps;kolaps
komercyjny;komercjalny
kompensacja;kompensata
kopiasty;kopiaty
księstewko;ksiąstewko
krzywoprzysiężca;krzywoprzysięzca
kwiczeć;kwikać
leader;lider
ląg;lęg
lodżia;loggia
majordom;majordomus
mamotrept;mamotrekt
manipulant;manipulator
menażer;menedżer
menedżer;menadżer
meteopata;meteoropata
mezanin;mezzanin
milenium;millenium
mitenka;mitynka
młocek;młocarz
młocka;młócka
młodniak;młodnik
monastyr;monaster
monolityczny;monolitowy
mórg;morga
muchomor;muchomór
naczynko;naczyńko
nadwerężyć;nadwyrężyć
nahajka;nahaj
nekropolia;nekropola
nominativus;nominatyw
nominativus;nominatiwus
non-iron;nonajron
obręb;obrąb
olcha;olsza
opieniek;opieńka
ostrzał;obstrzał
opresywność;opresyjność
outsider;autsajder
parkur;parcours
parodontoza;paradontoza
perkotać;pyrkotać
pęseta;pinceta
pineska;pinezka
pidżama;piżama
pleciuch;plociuch
poligraf;poligrafik
polonika;polonica
półkoliście;półkolisto
prehistoria;prahistoria
prymabalerina;primabalerina
prymadonna;primadonna
przeźroczystość;przezroczystość
przeźroczysty;przezroczysty
pychota;pyszota
raglan;reglan
ramadan;ramazan
repasaż;repesaż
restrykcyjny;restryktywny
restrukturyzacja;restrukturalizacja
restrukturyzacyjny;restrukturalizacyjny
reżim;reżym
Roentgen;Röntgen
rówieśnica;rówieśniczka
sadź;szadź
sakada;sakkada
sakkadyczny;sakadyczny
sakkadowy;sakadowy
segmentalny;segmentarny
singiel;singel
skwarka;skwarek
spichrz;spichlerz
spiczasty;szpiczasty
spiczasto;szpiczasto
standuper;stand-uper
subsydiarny;subsydialny
sulfonamid;sulfamid
sylikon;silikon
syngiel;singiel
szabat;szabas
sztrucel;strucel
ściągawka;ściągaczka
ślepie;ślipie
świętobliwość;świątobliwość
świegot;świergot
thrashmetalowy;trashmetalowy
toples;topless
toto-lotek;totolotek
trashowy;thrashowy
triathlon;triatlon
triathlonista;triatlonista
triathlonistka;triatlonistka
triumf;tryumf
triumfalizm;tryumfalizm
triumfalistyczny;tryumfalistyczny
triumfalny;tryumfalny
triumfator;tryumfator
triumfatorka;tryumfatorka
triumfujący;tryumfujący
triumfująco;tryumfująco
uszatka;uchatka
wendeta;wendetta
wihajster;wichajster
wylęg;wyląg
veto;weto
videomapping;wideomapping
vocativus;wokatiwus
yard;jard
zapiska;zapisek
zaprzęg;zaprząg
zawias;zawiasa
ziarenko;ziarnko
zmarzlak;zmarzluch
zmarznięty;zmarzły
zombi;zombie
zygzak;gzygzak
żelbet;żelbeton
