# @author Marcin Miłkowski
#
# Bezkontekstowe literówki - tj. wyrazy niewykrywane przez normalny
# korektor pisowni, a bardzo rzadkie i będące literówkami
#

piaty=piąty
dzieję=dzieje
zawszę=zawsze
parz=patrz
przejcie=przejście
slaby=słaby
Aachen=Akwizgran
Chańcza=Hańcza
bezsensowy=bezsensowny
otocznia=otoczenia
otocznie=otoczenie
mięli=mieli
spadłą=spadła
conajmniej=co najmniej
wogle=w ogóle
wogole=w ogóle
codzien=co dzień
codzień=co dzień
moznaby=można by
narazie=na razie
nielada=nie lada
odrazu=od razu
poprostu=po prostu
pozatym=poza tym
przedewszystkim=przede wszystkim
spowrotem=z powrotem
