# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# This list is generated automatically from 'portuguese-pos-dict'. 
# If you need to add entries manually, do it after the comment at the bottom.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
Colares	Colares	NPCSG00
Lusitânia	Lusitânia	NPMS000
dez	dez	NCMS000
mai	mai	NCFS000
mai	mai	NCMS000
mais	mai	NCFP000
média2	média2	NCMP000
nos	em:o	SPS00::DA0MP0
# Add entries manually from here
Carol	Carol	NPMSS00
Jane	Jane	NPMSS00
Londres	londres	NCMN000
Marie	Marie	NPMSS00
Nádia	Nádia	NPMSS00
Susan	Susan	NPMSS00
nacimento	nacimento	NCMS000
bio	bio	NCFS000
bio	bio	NCMS000
MP	MP	NCFS000
MP	MP	NCMS000
Riachuelo	Riachuelo	NCFS000
Riachuelo	Riachuelo	NCMS000
jacuzzi	jacuzzi	NCMS000
jacuzzis	jacuzzi	NCMP000
dezenove	dezenove	NCMS000
cem	cem	Z0MP0
cento	cento	Z0MP0
mil	mil	Z0MP0
Taylor	Taylor	NPMSS00
box	box	NCMS000
ABC	ABC	NPMS000
covid	covid	NPMN000
Sam	Sam	NPMSS00
Hotmart	Hotmart	NPMSO00
Twitch	Twitch	NPMS000
Fox	Fox	NCMN000
Harvard	Harvard	NPMSG00
Renânia	Renânia	NPMS000
loto	loto	NCMS000
sitcom 	sitcom	NCMS000
framboeseira 	framboeseira	NCMS000
Ford 	Ford	NPMSS00
Infraero 	Infraero	NPMS000
Jenny 	Jenny	NPMSS00
Phillips 	Phillips	NPMS000
Williams 	Williams	NPMSS00
tapa	tapa	NCMS000
tapa	tapa	NCFS000
tapas	tapa	NCMP000
tapas	tapa	NCFP000
tapinha	tapa	NCMS00D
tapinha	tapa	NCFS000
tapinhas	tapa	NCMP00D
tapinhas	tapa	NCFP000
app	app	NCMS000
apps	app	NCMP000
app	app	NCFS000
apps	app	NCFP000
Paris	Paris	NPMSG00
Jerusalém	Jerusalém	NPMS000
das	das	SPS00:DA0FS0
aprendiz	aprendiz	NCMS000
aprendizes	aprendiz	NCMP000
micro	micro	NCMS000
três	três	NCMS000
