# Verificação de coerência para palavras com dupla grafia
# (c) 2017 Tiago F. Santos
# Licensed under LGPL
#
abantesma;avantesma
abantesmas;avantesmas
abrigadoirão;abrigadourão
abrigadoirãos;abrigadourãos
abrigadoirinho;abrigadourinho
abrigadoirinhos;abrigadourinhos
abrigadoiro;abrigadouro
abrigadoiros;abrigadouros
abrigadoirozão;abrigadourozão
abrigadoirozãos;abrigadourozãos
ancoradoirão;ancoradourão
ancoradoirãos;ancoradourãos
ancoradoirinho;ancoradourinho
ancoradoirinhos;ancoradourinhos
ancoradoiro;ancoradouro
ancoradoiros;ancoradouros
ancoradoirozão;ancoradourozão
ancoradoirozãos;ancoradourozãos
atoladoirão;atoladourão
atoladoirãos;atoladourãos
atoladoirinho;atoladourinho
atoladoirinhos;atoladourinhos
atoladoiro;atoladouro
atoladoiros;atoladouros
atoladoirozão;atoladourozão
atoladoirozãos;atoladourozãos
atracadoirão;atracadourão
atracadoirãos;atracadourãos
atracadoirinho;atracadourinho
atracadoirinhos;atracadourinhos
atracadoiro;atracadouro
atracadoiros;atracadouros
atracadoirozão;atracadourozão
atracadoirozãos;atracadourozãos
atravessadoirão;atravessadourão
atravessadoirãos;atravessadourãos
atravessadoirinho;atravessadourinho
atravessadoirinhos;atravessadourinhos
atravessadoiro;atravessadouro
atravessadoiros;atravessadouros
atravessadoirozão;atravessadourozão
atravessadoirozãos;atravessadourozãos
baloiçar;balouçar
baloiçares;balouçares
bêbeda;bêbada
bêbedas;bêbadas
bêbedo;bêbado
bêbedos;bêbados
calaboição;calaboução
calaboiçãos;calabouçãos
calaboicinho;calaboucinho
calaboicinhos;calaboucinhos
calaboiço;calabouço
calaboiços;calabouços
calaboiçozão;calabouçozão
calaboiçozãos;calabouçozãos
calcadoirão;calcadourão
calcadoirãos;calcadourãos
calcadoirinho;calcadourinho
calcadoirinhos;calcadourinhos
calcadoiro;calcadouro
calcadoiros;calcadouros
calcadoirozão;calcadourozão
calcadoirozãos;calcadourozãos
calhadoirão;calhadourão
calhadoirãos;calhadourãos
calhadoirinho;calhadourinho
calhadoirinhos;calhadourinhos
calhadoiro;calhadouro
calhadoiros;calhadouros
calhadoirozão;calhadourozão
calhadoirozãos;calhadourozãos
carrosseis;carroceis
carrossel;carrocel
cenoira;cenoura
cenoiras;cenouras
cenoirazona;cenourazona
cenoirazonas;cenourazonas
cenoirinha;cenourinha
cenoirinhas;cenourinhas
cenoirona;cenourona
cenoironas;cenouronas
chiadoirão;chiadourão
chiadoirãos;chiadourãos
chiadoirinho;chiadourinho
chiadoirinhos;chiadourinhos
chiadoiro;chiadouro
chiadoiros;chiadouros
chiadoirozão;chiadourozão
chiadoirozãos;chiadourozãos
coalhadoirão;coalhadourão
coalhadoirãos;coalhadourãos
coalhadoirinho;coalhadourinho
coalhadoirinhos;coalhadourinhos
coalhadoiro;coalhadouro
coalhadoiros;coalhadouros
coalhadoirozão;coalhadourozão
coalhadoirozãos;coalhadourozãos
cobarde;covarde
cobardes;covardes
coradoirão;coradourão
coradoirãos;coradourãos
coradoirinho;coradourinho
coradoirinhos;coradourinhos
coradoiro;coradouro
coradoiros;coradouros
coradoirozão;coradourozão
coradoirozãos;coradourozãos
cremadoirão;cremadourão
cremadoirãos;cremadourãos
cremadoirinho;cremadourinho
cremadoirinhos;cremadourinhos
cremadoiro;cremadouro
cremadoiros;cremadouros
cremadoirozão;cremadourozão
cremadoirozãos;cremadourozãos
curtidoirão;curtidourão
curtidoirãos;curtidourãos
curtidoirinho;curtidourinho
curtidoirinhos;curtidourinhos
curtidoiro;curtidouro
curtidoiros;curtidouros
curtidoirozão;curtidourozão
curtidoirozãos;curtidourozãos
desfrutar;disfrutar
desfrutares;disfrutares
doirado;dourado
doirados;dourados
doirada;dourada
doiradas;douradas
duradoira;duradoura
duradoiras;duradouras
duradoiro;duradouro
duradoiros;duradouros
embarcadoirão;embarcadourão
embarcadoirãos;embarcadourãos
embarcadoirinho;embarcadourinho
embarcadoirinhos;embarcadourinhos
embarcadoiro;embarcadouro
embarcadoiros;embarcadouros
embarcadoirozão;embarcadourozão
embarcadoirozãos;embarcadourozãos
entesoira;entesoura
entesoirada;entesourada
entesoiradas;entesouradas
entesoirado;entesourado
entesoirados;entesourados
entesoirai;entesourai
entesoirais;entesourais
entesoiram;entesouram
entesoiramento;entesouramento
entesoiramentos;entesouramentos
entesoiramos;entesouramos
entesoirámos;entesourámos
entesoirando;entesourando
entesoirar;entesourar
entesoirara;entesourara
entesoirará;entesourará
entesoiraram;entesouraram
entesoiráramos;entesouráramos
entesoirarão;entesourarão
entesoiraras;entesouraras
entesoirarás;entesourarás
entesoirardes;entesourardes
entesoirarei;entesourarei
entesoirareis;entesourareis
entesoiráreis;entesouráreis
entesoirarem;entesourarem
entesoiraremos;entesouraremos
entesoirares;entesourares
entesoiraria;entesouraria
entesoirariam;entesourariam
entesoiraríamos;entesouraríamos
entesoirarias;entesourarias
entesoiraríeis;entesouraríeis
entesoirarmos;entesourarmos
entesoiras;entesouras
entesoirasse;entesourasse
entesoirásseis;entesourásseis
entesoirassem;entesourassem
entesoirássemos;entesourássemos
entesoirasses;entesourasses
entesoiraste;entesouraste
entesoirastes;entesourastes
entesoirava;entesourava
entesoiravam;entesouravam
entesoirávamos;entesourávamos
entesoiravas;entesouravas
entesoiráveis;entesouráveis
entesoire;entesoure
entesoirei;entesourei
entesoireis;entesoureis
entesoirem;entesourem
entesoiremos;entesouremos
entesoires;entesoures
entesoiro;entesouro
entesoirou;entesourou
escorredoirão;escorredourão
escorredoirãos;escorredourãos
escorredoirinho;escorredourinho
escorredoirinhos;escorredourinhos
escorredoiro;escorredouro
escorredoiros;escorredouros
escorredoirozão;escorredourozão
escorredoirozãos;escorredourozãos
espécimen;espécime
espécimens;espécimes
espilrar;espirrar
espilrares;espirrares
espreguiçadoirão;espreguiçadourão
espreguiçadoirãos;espreguiçadourãos
espreguiçadoirinho;espreguiçadourinho
espreguiçadoirinhos;espreguiçadourinhos
espreguiçadoiro;espreguiçadouro
espreguiçadoiros;espreguiçadouros
espreguiçadoirozão;espreguiçadourozão
espreguiçadoirozãos;espreguiçadourozãos
estendedoirão;estendedourão
estendedoirãos;estendedourãos
estendedoirinho;estendedourinho
estendedoirinhos;estendedourinhos
estendedoiro;estendedouro
estendedoiros;estendedouros
estendedoirozão;estendedourozão
estendedoirozãos;estendedourozãos
fêvera;febra
fêveras;febras
fôlego;folgo
fôlegos;folgos
gemedoirão;gemedourão
gemedoirãos;gemedourãos
gemedoirinho;gemedourinho
gemedoirinhos;gemedourinhos
gemedoiro;gemedouro
gemedoiros;gemedouros
gemedoirozão;gemedourozão
gemedoirozãos;gemedourozãos
inçadoirão;inçadourão
inçadoirãos;inçadourãos
inçadoirinho;inçadourinho
inçadoirinhos;inçadourinhos
inçadoiro;inçadouro
inçadoiros;inçadouros
inçadoirozão;inçadourozão
inçadoirozãos;inçadourozãos
invernadoirão;invernadourão
invernadoirãos;invernadourãos
invernadoirinho;invernadourinho
invernadoirinhos;invernadourinhos
invernadoiro;invernadouro
invernadoiros;invernadouros
invernadoirozão;invernadourozão
invernadoirozãos;invernadourozãos
lantejoila;lantejoula
lantejoilas;lantejoulas
lantejoilazona;lantejoulazona
lantejoilazonas;lantejoulazonas
lantejoilinha;lantejoulinha
lantejoilinhas;lantejoulinhas
lantejoilona;lantejoulona
lantejoilonas;lantejoulonas
lentejoila;lentejoula
lentejoilas;lentejoulas
lentejoilazona;lentejoulazona
lentejoilazonas;lentejoulazonas
lentejoilinha;lentejoulinha
lentejoilinhas;lentejoulinhas
lentejoilona;lentejoulona
lentejoilonas;lentejoulonas
logradoirão;logradourão
logradoirãos;logradourãos
logradoirinho;logradourinho
logradoirinhos;logradourinhos
logradoiro;logradouro
logradoiros;logradouros
logradoirozão;logradourozão
logradoirozãos;logradourozãos
loiça;louça
loiças;louças
manjedoira;manjedoura
manjedoiras;manjedouras
manjedoirazona;manjedourazona
manjedoirazonas;manjedourazonas
manjedoirinha;manjedourinha
manjedoirinhas;manjedourinhas
manjedoirona;manjedourona
manjedoironas;manjedouronas
maquete;maqueta
maquetes;maquetas
mastigadoirão;mastigadourão
mastigadoirãos;mastigadourãos
mastigadoirinho;mastigadourinho
mastigadoirinhos;mastigadourinhos
mastigadoiro;mastigadouro
mastigadoiros;mastigadouros
mastigadoirozão;mastigadourozão
mastigadoirozãos;mastigadourozãos
mijadoirão;mijadourão
mijadoirãos;mijadourãos
mijadoirinho;mijadourinho
mijadoirinhos;mijadourinhos
mijadoiro;mijadouro
mijadoiros;mijadouros
mijadoirozão;mijadourozão
mijadoirozãos;mijadourozãos
miradoirão;miradourão
miradoirãos;miradourãos
miradoirinho;miradourinho
miradoirinhos;miradourinhos
miradoiro;miradouro
miradoiros;miradouros
miradoirozão;miradourozão
miradoirozãos;miradourozãos
nascedoirão;nascedourão
