# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three tab-separated fields: fullform baseform postags
#
полу	пол	NN:Inanim:Masc:Sin:2R
пущай	пущай	ADV
хули	хули	ADV
редакторами	редактор	NN:Inanim:Masc:PL:T
редакторам	редактор	NN:Inanim:Masc:PL:D
редактора	редактор	NN:Inanim:Masc:Sin:R
редакторах	редактор	NN:Inanim:Masc:PL:P
редакторе	редактор	NN:Inanim:Masc:Sin:P
редакторов	редактор	NN:Inanim:Masc:PL:R
редактором	редактор	NN:Inanim:Masc:Sin:T
редактор	редактор	NN:Inanim:Masc:Sin:Nom
редактор	редактор	NN:Inanim:Masc:Sin:V
редактору	редактор	NN:Inanim:Masc:Sin:D
редакторы	редактор	NN:Inanim:Masc:PL:Nom
редакторы	редактор	NN:Inanim:Masc:PL:V
#любишь-не-любишь	любишь-не-любишь
#не-тронь-меня	не-тронь-меня
#паинька-мальчик	паинька-мальчик
#пила-рыба	пила-рыба
евро	евро	NN:Inanim:Masc
#
пенальти	пенальти	NN:Inanim:Masc
#
аудиокнига	аудиокнига	NN:Inanim:Masc:Sin:Nom
аудиокнигам	аудиокнига	NN:Inanim:Masc:PL:D
аудиокнигами	аудиокнига	NN:Inanim:Masc:PL:T
аудиокниг	аудиокнига	NN:Inanim:Masc:PL:R
аудиокнигах	аудиокнига	NN:Inanim:Masc:PL:P
аудиокниге	аудиокнига	NN:Inanim:Masc:Sin:D
аудиокниге	аудиокнига	NN:Inanim:Masc:Sin:P
аудиокниги	аудиокнига	NN:Inanim:Masc:PL:Nom
аудиокниги	аудиокнига	NN:Inanim:Masc:PL:V
аудиокниги	аудиокнига	NN:Inanim:Masc:Sin:R
аудиокнигой	аудиокнига	NN:Inanim:Masc:Sin:T
аудиокнигою	аудиокнига	NN:Inanim:Masc:Sin:T
аудиокнигу	аудиокнига	NN:Inanim:Masc:Sin:V
базилио	базилио	NN:Name:Masc
верхнеколымск	верхнеколымск	NN:Inanim:Masc:Sin:Nom
верхнеколымска	верхнеколымск	NN:Inanim:Masc:Sin:R
верхнеколымску	верхнеколымск	NN:Inanim:Masc:Sin:D
