# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
#
б	б	NN:Inanim:Masc
ао	ао	NN:Name:Fem:Sin
аоот	аоот	NN:Inanim:Neut
аэс	аэс	NN:Name:Fem:Sin
бд	бд	NN:Name:Fem:Sin
бнр	бнр	NN:Name:Fem:Sin
взу	взу	NN:Inanim:Neut
внр	внр	NN:Name:Fem:Sin
вовд	вовд	NN:Inanim:Neut
втэк	втэк	NN:Name:Fem:Sin
га	га	NN:Inanim:Neut
гаэс	гаэс	NN:Name:Fem:Sin
гдр	гдр	NN:Name:Fem:Sin
грэс	грэс	NN:Name:Fem:Sin
гувд	гувд	NN:Inanim:Neut
гэс	гэс	NN:Name:Fem:Sin
еэс	еэс	NN:Inanim:Neut
зао	зао	NN:Inanim:Neut
ичп	ичп	NN:Inanim:Neut
кб	кб	NN:Inanim:Neut
кнр	кнр	NN:Name:Fem:Sin
мвс	мвс	NN:Inanim:Neut
мвф	мвф	NN:Inanim:Neut
мвэс	мвэс	NN:Inanim:Neut
мгб	мгб	NN:Inanim:Neut
мгту	мгту	NN:Inanim:Neut
мкс	мкс	NN:Inanim:Neut
мо	мо	NN:Inanim:Neut
нпо	нпо	NN:Inanim:Neut
нпп	нпп	NN:Inanim:Neut
нтв	нтв	NN:Inanim:Neut
оао	оао	NN:Inanim:Neut
обл	обл	NN:Name:Fem:Sin
озу	озу	NN:Inanim:Neut
озу	озу	NN:Name:Fem:Sin
окб	окб	NN:Inanim:Neut
оон	оон	NN:Inanim:Fem
ооо	ооо	NN:Inanim:Neut
ос	ос	NN:Name:Fem:Sin
пзу	пзу	NN:Inanim:Neut
пнр	пнр	NN:Name:Fem:Sin
пту	пту	NN:Inanim:Neut
пэвм	пэвм	NN:Name:Fem:Sin
рао	рао	NN:Inanim:Neut
риа	риа	NN:Inanim:Neut
рка	рка	NN:Inanim:Neut
ровд	ровд	NN:Inanim:Neut
рожд	рожд	NN:Inanim:Neut
рпц	рпц	NN:Name:Fem:Sin
ртр	ртр	NN:Inanim:Neut
рувд	рувд	NN:Inanim:Neut
свч	свч	NN:Name:Fem:Sin
скб	скб	NN:Inanim:Neut
снпо	снпо	NN:Inanim:Neut
сп	сп	NN:Inanim:Neut
спту	спту	NN:Inanim:Neut
срр	срр	NN:Name:Fem:Sin
субд	субд	NN:Name:Fem:Sin
тв	тв	NN:Inanim:Neut
тоо	тоо	NN:Inanim:Neut
тчк	тчк	NN:Name:Fem:Sin
тэс	тэс	NN:Name:Fem:Sin
тэц	тэц	NN:Name:Fem:Sin
увд	увд	NN:Inanim:Neut
фбр	фбр	NN:Inanim:Neut
фио	фио	NN:Inanim:Neut
фнс	фнс	NN:Name:Fem:Sin
фрг	фрг	NN:Name:Fem:Sin
фрс	фрс	NN:Inanim:Neut
фск	фск	NN:Name:Fem:Sin
фс	фс	NN:Inanim:Neut
фэп	фэп	NN:Name:Fem:Sin
цб	цб	NN:Inanim:Neut
цик	цик	NN:Name:Fem:Sin
цру	цру	NN:Inanim:Neut
цт	цт	NN:Inanim:Neut
чп	чп	NN:Inanim:Neut
чсср	чсср	NN:Name:Fem:Sin
эвм	эвм	NN:Name:Fem:Sin
юар	юар	NN:Name:Fem:Sin
