бам	бам	INTERJECTION
дерев	дерево	NN:Inanim:Neut:PL:R:Talk
миледи	миледи	NN:Anim:Fem:Sin
сперва	сперва	ADV:Talk
тернии	терние	NN:Inanim:Neut:PL:V
долгу	долг	NN:Inanim:Masc:Sin:2P
счету	счёт	NN:Inanim:Masc:Sin:2P
гапоу	гапоу	ABR:Neut
гибдд	гибдд	ABR:Fem
гкнпц	гкнпц	ABR:Masc
глонасс	глонасс	ABR:Fem
егрпоу	егрпоу	ABR:Masc
егрюл	егрюл	ABR:Masc
каско	каско	ABR:Neut
косгу	косгу	ABR:Fem
мбдоу	мбдоу	ABR:Neut
мгиит	мгиит	ABR:Masc
ниияф	ниияф	ABR:Masc
осаго	осаго	ABR:Neut
осоавиахим	осоавиахим	ABR:Fem
смит	смит	ABR:Masc
хаарп	хаарп	ABR:Fem
фас	фас	ABR:Fem
юнеско	юнеско	ABR:Fem
агнкс	агнкс	ABR:Fem
асеан	асеан	ABR:Fem
аскуэ	аскуэ	ABR:Fem
асоуп	асоуп	ABR:Fem
белта	белта	ABR:Fem
вциом	вциом	ABR:Masc
вру	вру	ABR:Fem
вцспс	вцспс	ABR:Masc
гбпоу	гбпоу	ABR:Neut
гитис	гитис	ABR:Masc
гумвд	гумвд	ABR:Neut
дрсмд	дрсмд	ABR:Masc
егаис	егаис	ABR:Fem
егрип	егрип	ABR:Masc
камаз	камаз	ABR:Masc
мгимо	мгимо	ABR:Neut
оквэд	оквэд	ABR:Masc
октмо	октмо	ABR:Masc
рсдрп	рсдрп	ABR:Fem
снилс	снилс	ABR:Masc
спбгу	спбгу	ABR:Masc
униан	униан	ABR:Neut
уфссп	уфссп	ABR:Masc
# домовой комитет, домовой театр
домовой	домовый	ADJ:Posit:Masc:Nom
домовой	домовый	ADJ:Posit:Masc:V
Ко	Ко	ABR:Fem
астана	астана	NN:Inanim:Fem:Sin:Nom
астаны	астана	NN:Inanim:Fem:Sin:R
астане	астана	NN:Inanim:Fem:Sin:D
астану	астана	NN:Inanim:Fem:Sin:V
астаной	астана	NN:Inanim:Fem:Sin:T
астаною	астана	NN:Inanim:Fem:Sin:T
астане	астана	NN:Inanim:Fem:Sin:P
астаны	астана	NN:Inanim:Fem:PL:Nom
астан	астана	NN:Inanim:Fem:PL:R
астанам	астана	NN:Inanim:Fem:PL:D
астаны	астана	NN:Inanim:Fem:PL:V
астанами	астана	NN:Inanim:Fem:PL:T
астанах	астана	NN:Inanim:Fem:PL:P
# добавить слова без Ё с е
ее	она	PNN:Sin:R:P3
ее	она	PNN:Sin:V:P3
пошел	пойти	VB:Past:INTR:PFV:Masc
#
верхнеколымску	верхнеколымск	NN:Inanim:Masc:Sin:D
верхнеколымск	верхнеколымск	NN:Inanim:Masc:Sin:V
верхнеколымском	верхнеколымск	NN:Inanim:Masc:Sin:T
верхнеколымске	верхнеколымск	NN:Inanim:Masc:Sin:P
верхнеколымски	верхнеколымск	NN:Inanim:Masc:PL:Nom
верхнеколымсков	верхнеколымск	NN:Inanim:Masc:PL:R
верхнеколымскам	верхнеколымск	NN:Inanim:Masc:PL:D
верхнеколымски	верхнеколымск	NN:Inanim:Masc:PL:V
верхнеколымсками	верхнеколымск	NN:Inanim:Masc:PL:T
верхнеколымсках	верхнеколымск	NN:Inanim:Masc:PL:P
гольц	гольц	NN:Fam:Masc:Sin:Nom
гольца	гольц	NN:Fam:Masc:Sin:R
гольцу	гольц	NN:Fam:Masc:Sin:D
гольца	гольц	NN:Fam:Masc:Sin:V
гольцем	гольц	NN:Fam:Masc:Sin:T
гольце	гольц	NN:Fam:Masc:Sin:P
гольцы	гольц	NN:Fam:PL:Nom
гольцев	гольц	NN:Fam:PL:R
гольцам	гольц	NN:Fam:PL:D
гольцев	гольц	NN:Fam:PL:V
гольцами	гольц	NN:Fam:PL:T
гольцах	гольц	NN:Fam:PL:P
госуслуга	госуслуга	NN:Inanim:Fem:Sin:Nom
госуслуги	госуслуга	NN:Inanim:Fem:Sin:R
госуслуге	госуслуга	NN:Inanim:Fem:Sin:D
госуслугу	госуслуга	NN:Inanim:Fem:Sin:V
госуслугой	госуслуга	NN:Inanim:Fem:Sin:T
госуслугою	госуслуга	NN:Inanim:Fem:Sin:T
госуслуге	госуслуга	NN:Inanim:Fem:Sin:P
госуслуги	госуслуга	NN:Inanim:Fem:PL:Nom
госуслуг	госуслуга	NN:Inanim:Fem:PL:R
госуслугам	госуслуга	NN:Inanim:Fem:PL:D
госуслуги	госуслуга	NN:Inanim:Fem:PL:V
госуслугами	госуслуга	NN:Inanim:Fem:PL:T
госуслугах	госуслуга	NN:Inanim:Fem:PL:P
декандоль	декандоль	NN:Fam:Masc:Sin:Nom
делиль	делиль	NN:Fam:Masc:Sin:Nom
дистант	дистант	NN:Inanim:Masc:Sin:Nom
дистанта	дистант	NN:Inanim:Masc:Sin:R
дистанту	дистант	NN:Inanim:Masc:Sin:D
дистант	дистант	NN:Inanim:Masc:Sin:V
дистантом	дистант	NN:Inanim:Masc:Sin:T
дистанте	дистант	NN:Inanim:Masc:Sin:P
дистанты	дистант	NN:Inanim:Masc:PL:Nom
дистантов	дистант	NN:Inanim:Masc:PL:R
дистантам	дистант	NN:Inanim:Masc:PL:D
дистанты	дистант	NN:Inanim:Masc:PL:V
дистантами	дистант	NN:Inanim:Masc:PL:T
дистантах	дистант	NN:Inanim:Masc:PL:P
за-ради	за-ради	PREP
изба-читальня	изба-читальня	NN:Inanim:Fem:Sin:Nom
избы-читальни	изба-читальня	NN:Inanim:Fem:Sin:R
избе-читальне	изба-читальня	NN:Inanim:Fem:Sin:D
избу-читальню	изба-читальня	NN:Inanim:Fem:Sin:V
избой-читальней	изба-читальня	NN:Inanim:Fem:Sin:T
избой-читальнею	изба-читальня	NN:Inanim:Fem:Sin:T
избе-читальне	изба-читальня	NN:Inanim:Fem:Sin:P
избы-читальни	изба-читальня	NN:Inanim:Fem:PL:Nom
изб-читален	изба-читальня	NN:Inanim:Fem:PL:R
избам-читальням	изба-читальня	NN:Inanim:Fem:PL:D
избы-читальни	изба-читальня	NN:Inanim:Fem:PL:V
избами-читальнями	изба-читальня	NN:Inanim:Fem:PL:T
избах-читальнях	изба-читальня	NN:Inanim:Fem:PL:P
ковид	ковид	NN:Inanim:Masc:Sin:Nom
ковида	ковид	NN:Inanim:Masc:Sin:R
ковиду	ковид	NN:Inanim:Masc:Sin:D
ковид	ковид	NN:Inanim:Masc:Sin:V
ковидом	ковид	NN:Inanim:Masc:Sin:T
ковиде	ковид	NN:Inanim:Masc:Sin:P
ковиды	ковид	NN:Inanim:Masc:PL:Nom
ковидов	ковид	NN:Inanim:Masc:PL:R
ковидам	ковид	NN:Inanim:Masc:PL:D
ковиды	ковид	NN:Inanim:Masc:PL:V
ковидами	ковид	NN:Inanim:Masc:PL:T
ковидах	ковид	NN:Inanim:Masc:PL:P
куртене	куртене	NN:Fam:Masc:Sin:Nom
лагарп	лагарп	NN:Fam:Masc:Sin:Nom
ле	ле	PARTICLE
масочный	масочный	ADJ:Posit:Masc:Nom
масочного	масочный	ADJ:Posit:Masc:R
масочному	масочный	ADJ:Posit:Masc:D
масочного	масочный	ADJ:Posit:Masc:V
масочный	масочный	ADJ:Posit:Masc:V
масочным	масочный	ADJ:Posit:Masc:T
масочном	масочный	ADJ:Posit:Masc:P
масочная	масочный	ADJ:Posit:Fem:Nom
масочной	масочный	ADJ:Posit:Fem:R
масочной	масочный	ADJ:Posit:Fem:D
масочную	масочный	ADJ:Posit:Fem:V
масочной	масочный	ADJ:Posit:Fem:T
масочною	масочный	ADJ:Posit:Fem:T
масочной	масочный	ADJ:Posit:Fem:P
масочное	масочный	ADJ:Posit:Neut:Nom
масочного	масочный	ADJ:Posit:Neut:R
масочному	масочный	ADJ:Posit:Neut:D
масочное	масочный	ADJ:Posit:Neut:V
масочным	масочный	ADJ:Posit:Neut:T
масочном	масочный	ADJ:Posit:Neut:P
масочные	масочный	ADJ:Posit:PL:Nom
масочных	масочный	ADJ:Posit:PL:R
масочным	масочный	ADJ:Posit:PL:D
масочных	масочный	ADJ:Posit:PL:V
масочные	масочный	ADJ:Posit:PL:V
масочными	масочный	ADJ:Posit:PL:T
масочных	масочный	ADJ:Posit:PL:P
медиафайл	медиафайл	NN:Inanim:Masc:Sin:Nom
