# Words with one root. Used by RussianWordRootRepeatRule.
# This file must be encoded in UTF-8.
# Imported from /Dicts/SrcBinDict/troiki_suff.txt seman.sf.net (AOT), LGPL v2.1
абажур;абажурный
абазин;абазинский
Абакан;абаканский
аббат;аббатский
аббатство;аббатский
аббревиатура;аббревиатурный
абдуктор;абдукторный
аберрант;аберрантный
абзац;абзацный
абиссаль;абиссальный
абитуриент;абитуриентский
аблатив;аблативный
аболиционист;аболиционистский
абонемент;абонементный
абонент;абонентный
абонент;абонентский
абордаж;абордажный
абориген;аборигенный
абразив;абразивный
абразивность;абразивный
абрикос;абрикосный
абрис;абрисный
абсентеист;абсентеистский
абсолют;абсолютизация
абсолют;абсолютный
абсолютив;абсолютивный
абсолютист;абсолютистский
абсолютность;абсолютный
абстракт;абстрактный
абстрактность;абстрактный
абстракционист;абстракционистский
абсурд;абсурдный
абсурдист;абсурдистский
абсурдность;абсурдный
абхаз;абхазский
авангард;авангардный
авангардист;авангардистский
аванзал;аванзальный
аванпост;аванпостный
авантаж;авантажный
авантажность;авантажный
авантюра;авантюрный
авантюрист;авантюристский
авантюрность;авантюрный
авар;аварский
аварийность;аварийный
авиадесант;авиадесантный
авиадиспетчер;авиадиспетчерский
авиаконструктор;авиаконструкторский
авиаметеорология;авиаметеорологический
авиамеханик;авиамеханический
авиамодель;авиамодельный
авиамотор;авиамоторный
авиапассажир;авиапассажирский
авиапромышленность;авиапромышленный
авиастроитель;авиастроительный
авиатехник;авиатехнический
авиатор;авиаторский
авиатранспорт;авиатранспортный
авитаминоз;авитаминозный
аврал;авральный
австралоид;австралоидный
автаркия;автаркический
автобиографичность;автобиографичный
автобиография;автобиографический
автобус;автобусный
автовокзал;автовокзальный
автоген;автогенный
автогенератор;автогенераторный
автограф;автографский
автография;автографический
автодин;автодинный
автодиспетчер;автодиспетчерский
автозавод;автозаводский
автокара;автокарный
автокар;автокарный
автоклав;автоклавный
автократия;автократический
автолитография;автолитографический
автолюбитель;автолюбительский
автолюбительство;автолюбительский
автомат;автоматизация
автомат;автоматный
автоматичность;автоматичный
автомеханик;автомеханический
автомобилестроитель;автомобилестроительный
автомобиль;автомобильный
автомодельность;автомодельный
автономист;автономистский
автономия;автономический
автономность;автономный
автополимер;автополимеризация
автор;авторизация
автор;авторский
авторадиография;авторадиографический
авторемонт;авторемонтный
авторефрижератор;авторефрижераторный
авторитарность;авторитарный
авторитет;авторитетный
авторитетность;авторитетный
авторство;авторский
автостоп;автостопный
автострада;автострадный
автостроитель;автостроительный
автотип;автотипный
автотипия;автотипический
автотормоз;автотормозной
автотранспорт;автотранспортный
автотрансформатор;автотрансформаторный
автотроф;автотрофный
автохром;автохромный
автохтон;автохтонный
автошина;автошинный
агама;агамный
агар;агарный
агат;агатный
агглютинативность;агглютинативный
агент;агентский
агентство;агентский
агентура;агентурный
агиография;агиографический
агитатор;агитаторский
агломерат;агломератный
агностик;агностический
агония;агонический
агрегат;агрегатный
агрессивность;агрессивный
агрикультура;агрикультурный
агробиология;агробиологический
агроклиматология;агроклиматологический
агрокультура;агрокультурный
агрология;агрологический
агрометеорология;агрометеорологический
агрономия;агрономический
агропромышленность;агропромышленный
агротехник;агротехнический
агрохимик;агрохимический
агрохимия;агрохимический
ад;адский
адаптивность;адаптивный
адвербиальность;адвербиальный
адвокат;адвокатский
адвокатство;адвокатский
аддитивность;аддитивный
аддуктор;аддукторный
адекват;адекватный
адекватность;адекватный
Аден;аденский
аденовирус;аденовирусный
аденоид;аденоидный
адиабата;адиабатный
администратор;администраторский
администраторство;администраторский
адмиралтейство;адмиралтейский
адмиральство;адмиральский
адрес;адресация
адрес;адресный
адресность;адресный
адъюнкт;адъюнктский
адъюнктство;адъюнктский
адъютант;адъютантский
адъютантство;адъютантский
адюльтер;адюльтерный
ажиотаж;ажиотажный
ажур;ажурный
ажурность;ажурный
азарт;азартный
азартность;азартный
азбучность;азбучный
азеотроп;азеотропный
азеотропия;азеотропический
Азербайджан;азербайджанский
азиат;азиатский
азимут;азимутный
азимутальность;азимутальный
азот;азотизация
азот;азотный
азям;азямный
аир;аирный
аймак;аймачный
айсор;айсорский
академик;академический
академик;академичный
академичность;академичный
академия;академический
акафист;акафистный
аквамарин;аквамаринный
акварель;акварельный
аквариум;аквариумный
аккорд;аккордный
аккредитив;аккредитивный
аккумулятор;аккумуляторный
аккуратность;аккуратный
акмеист;акмеистский
акрилат;акрилатный
акробатичность;акробатичный
аксамит;аксамитный
Аксель-Хейберг;аксель-хейбергский
аксессуар;аксессуарный
аксиоматизируемость;аксиоматизируемый
аксминстер;аксминстерский
аксонометрия;аксонометрический
акт;актация
акт;актный
актер;актерский
актерство;актерский
актив;активация
актив;активизация
актив;активный
активатор;активаторный
активист;активистский
активность;активный
актин;актинизация
актиничность;актиничный
актиния;актинический
актуальность;актуальный
акустик;акустический
акушер;акушерский
акушерство;акушерский
акцент;акцентный
акцентология;акцентологический
акцепт;акцептация
акцепт;акцептный
акцептор;акцепторный
акцидент;акцидентный
акциз;акцизный
акционер;акционерный
акционер;акционерский
Алаколь;алакольский
алармист;алармистский
алгебра;алгебраизация
алгонк;алгонкский
алгонкин;алгонкинский
алгоритм;алгоритмизация
Алексеев;Алексеевский
алеманн;алеманнский
алеут;алеутский
Алжир;алжирский
алидада;алидадный
алкалоид;алкалоидный
алкил;алкильный
алкоголиз;алкоголизация
алкоголик;алкоголический
алкоголь;алкогольный
алкогольность;алкогольный
аллегоричность;аллегоричный
аллегория;аллегорический
аллелотропия;аллелотропический
аллель;аллельный
аллерген;аллергенный
аллергик;аллергический
аллергия;аллергический
аллигатор;аллигаторный
алломорфа;алломорфный
алломорф;алломорфный
аллопатия;аллопатический
аллотропия;аллотропический
аллофон;аллофонный
аллохтон;аллохтонный
алмаз;алмазный
алогичность;алогичный
Алтай;алтайский
алтарь;алтарный
алтей;алтейный
алтын;алтынный
алфавит;алфавитный
алхимик;алхимический
алхимия;алхимический
алчность;алчный
аль;альский
альбом;альбомный
альбумин;альбуминный
альдегид;альдегидный
альков;альковный
альманах;альманашный
альпинист;альпинистский
альтернатива;альтернативный
альтернативность;альтернативный
альтруист;альтруистский
альтруистичность;альтруистичный
алюминат;алюминатный
аляповатость;аляповатый
амазонство;амазонский
амальгама;амальгамный
амбар;амбарный
амбивалентность;амбивалентный
амбразура;амбразурный
амвон;амвонный
амеба;амебный
амигдалоид;амигдалоидный
амикошонство;амикошонский
амилоид;амилоидный
амин;аминный
аминокислота;аминокислотный
аминь;аминный
Амман;амманский
аммиак;аммиачный
аммоний;аммонийный
аморальность;аморальный
амортизатор;амортизаторный
аморф;аморфизация
аморф;аморфный
аморфность;аморфный
ампер;амперный
амперометрия;амперометрический
ампир;ампирный
амплитуда;амплитудный
ампула;ампульный
Амстердам;амстердамский
Амур;амурный
Амур;амурский
амфиболия;амфиболический
амфиктиония;амфиктионический
амфора;амфорный
амфотерность;амфотерный
анабаптист;анабаптистский
анаболик;анаболический
анаболия;анаболический
анаглифия;анаглифический
анаграмма;анаграммный
аналептик;аналептический
анализатор;анализаторный
анализатор;анализаторский
аналитик;аналитический
аналогичность;аналогичный
аналогия;аналогический
аналой;аналойный
анальгетик;анальгетический
анаморфот;анаморфотный
ананас;ананасный
анархист;анархистский
анархичность;анархичный
анархия;анархический
Анатолий;анатолийский
анатомия;анатомический
анахроничность;анахроничный
анаэроб;анаэробный
Ангара;ангарный
ангар;ангарный
ангидрид;ангидридный
ангина;ангинный
англиканство;англиканский
англоман;англоманский
англоманство;англоманский
англо-норманн;англо-норманнский
англофильство;англофильский
англофоб;англофобский
англофобство;англофобский
ангрен;ангренский
Андижан;андижанский
Андреев;андреевский
анекдотичность;анекдотичный
анемичность;анемичный
анемия;анемический
анемометрия;анемометрический
анемохор;анемохорный
анероид;анероидный
анестезиология;анестезиологический
анестетик;анестетический
анизотропность;анизотропный
анион;анионный
анкер;анкерный
анкета;анкетный
анклав;анклавный
аннамит;аннамитский
аннексионист;аннексионистский
анод;анодизация
анод;анодный
аномалист;аномалистский
аномальность;аномальный
аноним;анонимный
анонимность;анонимный
анормальность;анормальный
Антверпен;антверпенский
антецедент;антецедентный
антибиотик;антибиотический
антиген;антигенный
антик;античный
антикатолик;антикатолический
антиквар;антикварный
антиклиналь;антиклинальный
антикоммутативность;антикоммутативный
антимагнитность;антимагнитный
антимилитарист;антимилитаристский
антиномия;антиномический
антиобледенитель;антиобледенительный
антиокислитель;антиокислительный
антипатичность;антипатичный
антипатия;антипатический
антипод;антиподный
антисегнетоэлектрик;антисегнетоэлектрический
антисемит;антисемитский
антисептик;антисептический
антисиккатив;антисиккативный
антисимметрия;антисимметрический
антистатик;антистатический
антифашист;антифашистский
антифермент;антиферментный
антифон;антифонный
антициклон;антициклонный
античность;античный
антиэлектрон;антиэлектронный
антология;антологический
антракт;антрактный
антрацит;антрацитный
антрепренер;антрепренерский
антрепренерство;антрепренерский
антресоль;антресольный
антропоид;антропоидный
антропология;антропологический
антропометрия;антропометрический
антропономия;антропономический
антропософ;антропософский
антропософия;антропософический
антураж;антуражный
анфилада;анфиладный
анчар;анчарный
анчоус;анчоусный
аорта;аортный
апатичность;апатичный
апатия;апатический
апельсин;апельсинный
апертура;апертурный
апогей;апогейный
апокрифичность;апокрифичный
аполитичность;аполитичный
апология;апологический
апоплексия;апоплексический
апостериорность;апостериорный
апостол;апостольный
апостольство;апостольский
апофеоз;апофеозный
аппарат;аппаратный
аппаратура;аппаратурный
аппетит;аппетитный
аппетитность;аппетитный
аппликатура;аппликатурный
аппозитивность;аппозитивный
аппретура;аппретурный
апрель;апрельский
априорность;априорный
апсида;апсидный
араб;арабский
Арагац;арагацский
арап;арапский
Арарат;араратский
арат;аратский
арбалет;арбалетный
арбитраж;арбитражный
арбуз;арбузный
аргамак;аргамачный
аргумент;аргументация
Аргунь;аргуньский
арден;арденский
аренда;арендный
арендатор;арендаторский
арендаторство;арендаторский
ареография;ареографический
ареометрия;ареометрический
арестант;арестантский
арест;арестный
Арзамас;арзамасский
аридность;аридный
арил;арильный
аристократичность;аристократичный
аристократия;аристократический
аристотелев;аристотелевский
аритмичность;аритмичный
