#	A	part-of-speech	dictionary	that's	used	additionally	to	the	binary	dictionary	(*.dict).
#	This	does	not	add	words	to	the	spell	checker,	see	hunspell/spelling.txt	for	that.
#	File	Encoding:	UTF-8
#	Format:	three	tab-separated	fields:	fullform	baseform	postags
хуйло	хуйло	noun:anim:m:v_naz:prop:fname
хуйла	хуйло	noun:anim:m:v_rod:prop:fname
хуйлові	хуйло	noun:anim:m:v_dav:prop:fname
хуйлу	хуйло	noun:anim:m:v_dav:prop:fname
хуйла	хуйло	noun:anim:m:v_zna:prop:fname
хуйлом	хуйло	noun:anim:m:v_oru:prop:fname
хуйлі	хуйло	noun:anim:m:v_mis:prop:fname
хуйлові	хуйло	noun:anim:m:v_mis:prop:fname
хуйлу	хуйло	noun:anim:m:v_mis:prop:fname
хуйле	хуйло	noun:anim:m:v_kly:prop:fname
Еспресо-TV	Еспресо-TV	noninfl:prop
Ковід-19	Ковід-19	noninfl:bad
Роттердам+	Роттердам+	noninfl
Інтерсіті+	Інтерсіті+	noninfl:prop
КоммерсантЪ	КоммерсантЪ	noninfl:prop
багато-багато	багато-багато	numr:p:v_naz:&pron:ind
багато-багато	багато-багато	numr:p:v_zna:&pron:ind
