# v_zna
#згідно v_rod
абелювати v_zna:v_oru:v_dav
абеткувати v_zna:v_oru:v_dav
аблактувати v_zna:v_oru:v_dav
абонувати v_zna:v_oru:v_dav
абонуватися v_oru
абордувати v_zna:v_oru:v_dav
абордуватися v_oru
абортувати v_zna:v_oru:v_dav
абортуватися v_oru
абсолютизовувати v_zna:v_oru:v_dav
абсолютизувати v_zna:v_oru:v_dav
абсолютизуватися v_oru
абсорбувати v_zna:v_oru:v_dav
абсорбуватися v_oru
абстрагувати v_zna:v_oru:v_dav
абстрагуватися v_oru
абшитувати v_zna:v_oru:v_dav
авалювати v_zna:v_oru:v_dav
авалюватися v_oru
авансувати v_zna:v_oru:v_dav
авансуватися v_oru
авізувати v_zna:v_dav
автентифікувати v_zna:v_oru:v_dav
автентифікуватися v_oru
автократизувати v_zna:v_oru
автоматизовувати v_zna:v_oru:v_dav
автоматизовуватися v_oru
автоматизувати v_zna:v_oru:v_dav
автоматизуватися v_oru
автономізувати v_zna:v_oru:v_dav
автономізуватися v_oru
авторизовувати v_zna:v_oru:v_dav
авторизувати v_zna:v_oru:v_dav
авторизуватися v_oru
агітувати v_inf:v_zna:v_oru:v_dav
агітуватися v_oru
агломерувати v_zna:v_oru:v_dav
агломеруватися v_oru
аглютинувати v_zna
агрегатувати v_zna:v_oru:v_dav
агрегатуватися v_oru
агрегувати v_zna:v_oru:v_dav
агрегуватися v_oru
адаптованіший v_oru
адаптовувати v_zna:v_oru:v_dav
адаптовуватися v_oru
адаптувати v_zna:v_oru:v_dav
адаптуватися v_oru
адвербіалізувати v_zna:v_oru:v_dav
адвербіалізуватися v_oru
адвокатувати v_zna:v_oru:v_dav
адгезувати v_zna:v_oru:v_dav
адекватний v_dav
адекватніше v_dav
адекватніший v_dav
адекватно v_dav
адмініструвати v_zna:v_oru:v_dav
адмініструватися v_oru
адоптувати v_zna:v_oru:v_dav
адоптуватися v_oru
адресований v_dav
адресовувати v_zna:v_oru:v_dav
адресовуватися v_oru:v_dav
адресувати v_zna:v_oru:v_dav
адресуватися v_dav
адсорбувати v_zna:v_oru:v_dav
адсорбуватися v_oru
аерувати v_zna:v_oru:v_dav
азотизувати v_zna:v_oru:v_dav
азотизуватися v_oru
азотувати v_zna:v_oru:v_dav
азотуватися v_oru
акліматизовувати v_zna
акліматизувати v_zna
акомодувати v_zna:v_oru:v_dav
акомодуватися v_oru
акомпанувати v_zna:v_oru:v_dav
акомпануватися v_oru
акредитовувати v_zna:v_oru:v_dav
акредитовуватися v_oru
акредитувати v_zna:v_oru:v_dav
акредитуватися v_oru
аксіоматизувати v_zna:v_oru:v_dav
аксіоматизуватися v_oru
активізовувати v_zna:v_oru:v_dav
активізовуватися v_oru
активізувати v_zna:v_oru:v_dav
активізуватися v_oru
активувати v_zna:v_oru:v_dav
активуватися v_oru
актуалізовувати v_zna:v_oru:v_dav
актуалізовуватися v_oru
актуалізувати v_zna:v_oru:v_dav
актуалізуватися v_oru
актувати v_zna:v_oru:v_dav
акумулювати v_zna:v_oru:v_dav
акумулюватися v_oru
акцентувати v_zna:v_oru:v_dav
акцентуватися v_oru
акцентуювати v_zna:v_oru:v_dav
акцептувати v_zna:v_oru:v_dav
акцептуватися v_oru
акціонувати v_zna:v_oru:v_dav
акціонуватися v_oru
акціювати v_zna:v_oru:v_dav
алгебраїзувати v_zna:v_oru:v_dav
алгебраїзуватися v_oru
алгебризувати v_zna:v_oru:v_dav
алгебризуватися v_oru
алгоритмізувати v_zna:v_oru:v_dav
алгоритмізуватися v_oru
алгоритмувати v_zna:v_oru:v_dav
алгоритмуватися v_oru
алкілувати v_zna:v_oru:v_dav
алкілуватися v_oru
алкоголізувати v_zna:v_oru:v_dav
альтернатива v_inf
альтернативний v_dav
альтернувати v_zna:v_oru:v_dav
альтернуватися v_oru
амальгамувати v_zna:v_oru:v_dav
амальгамуватися v_oru
американізувати v_zna:v_oru:v_dav
американізуватися v_oru
амністувати v_zna:v_oru:v_dav
амністуватися v_oru
амонізувати v_zna:v_oru:v_dav
амонізуватися v_oru
амортизувати v_zna:v_oru:v_dav
амортизуватися v_oru
ампліфікувати v_zna:v_oru:v_dav
ампліфікуватися v_oru
ампутувати v_zna:v_oru:v_dav
аналгезувати v_zna:v_oru:v_dav
аналізувати v_zna:v_oru:v_dav
аналізуватися v_oru
аналогічний v_dav
аналогічно v_dav
анальгезувати v_zna:v_oru:v_dav
анаморфозувати v_zna:v_oru:v_dav
анатемувати v_zna:v_oru
анатомувати v_zna:v_oru:v_dav
анатомуватися v_oru
анафемувати v_zna:v_oru
