# if first lemma is present any subsequent will be removed from analyzed tokens
Ангола ангол
#бздур бздура
Бакай бакай
блакить блакит
весь ввесь
видимо видіти
виїмка виїмок
височина височиня
вишня вишній
вияв виява
відрізаний відрізан
відскок відскік
#візит візита
Вікторія вікторія
вказівка вказівець
Волошин волошин
втекти втікти
вугіль вуголь
Гайдай гайдай
гонка гонок
Германія германій
грива гривий
далечина далечиня
дах даха
довжина довжиня
#докір докора
загибель загибіль
залити залляти
засяяти засяти
Зеленський зеленський
зіпсувати зіпсути
зіпсуватися зіпсутися
князьок князький
колія колій
Колодій колодій
Краків крак
Кріс кріс
Кучма кучма
Ліберія ліберія
мати маяти
милостиня милостина
мир миро
Михайлик михайлик
миша миш
молебень молебен
незабутній незабутний
отець отцей
перекіс перекос
пересильний пересильна
первень первінь
перл перло
підхід підход
Пілат пілат
подорож подоріж
Преторія преторій
#присмак присмака
продаж продажа
проклін прокльон
п'ятдесят п'ятдесять
розкласти розікласти
Руні руно руна
сімдесят сімдесять
Скрипник скрипник
стати станути
стерти зітерти
стертися зітертися
стіс стос
стріла стріл
утекти утікти
човен човно
Шевченків шевченковий
шинок шинк
Франція францій
цілити ціляти
якір якор
