# This file has list of words that need to be removed in disamibguator.
# These worms are in the dictionary but extremely rare and cause ambiguity for frequent words.
# Anything with conditional logic should go into disambiguation.xml

А-БА-БА-ГА-ЛА-МА-ГА а-ба-ба-га-ла-ма-га noun:inanim:f:v_naz:prop:bad
бабій бабіти verb:imperf:impr:s:2
бадьорим бадьорити verb:imperf:pres:p:1:subst
бабів бабіти verb:imperf:past:m
бабієм бабіти verb:imperf:pres:p:1:subst
багатії багатий adj:p:.*:long
бай баяти verb:imperf:impr:s:2:arch
байдужій байдужіти verb:imperf:impr:s:2
барв барвити verb:imperf:impr:s:2
безглуздій безглуздіти verb:imperf:impr:s:2
безлюдній безлюдніти verb:imperf:impr:s:2
безсилій безсиліти verb:imperf:impr:s:2
білим білити verb:imperf:pres:p:1:subst
білим-білим білити-білити verb:imperf:pres:p:1:subst
білій біліти verb:imperf:impr:s:2
білій-білій біліти-біліти verb:imperf:impr:s:2
білім білити verb:imperf:impr:p:1
блакитній блакитніти verb:imperf:impr:s:2
благоустрою благоустроїти verb:perf:futr:s:1:bad
борозни борознити verb:imperf:impr:s:2
Борю бороти verb:imperf:pres:s:1
брудним бруднити verb:imperf:pres:p:1:subst
Броди бродити verb:imperf:impr:s:2
бронзовій бронзовіти verb:imperf:impr:s:2
брудній брудніти verb:imperf:impr:s:2
буйній буйніти verb:imperf:impr:s:2
була булий adj:f:v_.*
бур бурити verb:imperf:impr:s:2:xp2
бурим бурити verb:imperf:pres:p:1:subst.*
бурю бурити verb:imperf:pres:s:1.*
бур'янів бур'яніти verb:imperf:past:m
Бути Бута noun:inanim:f:v_rod:prop:geo
вагітній вагітніти verb:imperf:impr:s:2
Вадим вадити verb:imperf:pres:p:1:subst
Валю валити verb:imperf:pres:s:1
вагонів вагоніти verb:imperf:past:m
вагони вагоніти verb:imperf:impr:s:2
вантажу вантажити verb:imperf:pres:s:1
вдова вдовий adj:f:.*
вереснем вереснути verb:perf:futr:p:1:subst
веселим веселити verb:imperf:pres:p:1:subst
веселій веселіти verb:imperf:impr:s:2
вибори вибороти verb:perf:impr:s:2
виграним вигранити verb:perf:futr:p:1:subst
видів видіти verb:imperf:past:m:arch
вилізлий вилізлий adj:m:v_naz:.*
виникла виниклий adj:f:.*
винуватим винуватити verb:imperf:pres:p:1:subst
виправ виправа noun:inanim:p:v_rod:rare
вистрелять вистреляти verb:perf:inf:arch:short
відвертим відвертіти verb:perf:futr:p:1:subst
відгомони відгомоніти verb:perf:impr:s:2
відстань відстати verb:perf:impr:s:2
відходи відходити verb:perf:impr:s:2
війни війнути verb:perf:impr:s:2
війну війнути verb:perf:futr:s:1
віковічним віковічнити verb:imperf:pres:p:1:rare:subst
віражу віражити verb:imperf:pres:s:1
вкрай вкраяти verb:perf:impr:s:2
виходи виходити verb:perf:impr:s:2
вишукано вишукати verb:perf:impers
вищим вищати verb:imperf:pres:p:1:subst:xp1
вперто вперти verb:perf:impers
вплив впливти verb:perf:past:m|вплисти verb:perf:past:m
впливи вплисти verb:perf:impr:s:2|вплисти verb:perf:impr:s:2
впливу впливти verb:perf:futr:s:1|вплисти verb:perf:futr:s:1
водній водніти verb:imperf:impr:s:2
вози возити verb:imperf:impr:s:2
волю волити verb:imperf:pres:s:1:arch
Вона Вон noun:anim:m:v_...:prop:lname
ворожим ворожити verb:imperf:pres:p:1:subst
