伶	龄,冷,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭
悯	命,鸣,明,民,名,敏
逆	黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,例,粒,璃
谍	跌,爹,蝶,叠
都	煮,兜,诸,赌,斗,者,抖,堵,署,豆,绪
坪	频,苹,品,凭,平,拼,屏,瓶,萍,贫,评
腮	塞,赛,晒
通	筒,痛,童,桶,涌,统,铜,同
横	冯,风,狠,疯,蜂,衡,恒,锋,缝,很,峰,封,凤,奉,丰,恨,哼,逢,痕
析	晰,戏,袭,近,悉,稀,习,吸,希,席,西,浙,嘻,锡,细,隙,夕,息,溪,牺,系,拆,惜,哲,折,洗,喜,媳,斤
矮	爱,碍,哎,挨,哀,埃,唉,艾
非	菲,黑,匪,肥,排,肺,嘿,废,悲,辈,费,飞,沸
舰	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,航,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,僵,践,奸,歼,浆
帕	怕,陌,白,拍,爬,伯,泊,柏
巷	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
妆	状,壮,赚,转,装,撞,砖,庄,专
仇	凑,愁,筹,臭,丑,抽,瞅,酬,畴
件	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
律	绿,津,女,虑,旅,铝,率,履,吕,氯,驴
痊	权,拳,圈,全,劝,泉,券
辛	醒,行,杏,兴,新,辟,信,辞,幸,欣,性,型,辩,宰,心,姓,形,辨,辣,星,刑,避
汇	绘,辉,慧,灰,惠,会,恢,挥,悔,毁,徽,回
柏	摆,拜,怕,陌,白,败,拍,百,伯,泊,帕
题	体,是,踢,堤,替,梯,提
良	梁,凉,谅,娘,链,辆,恋,亮,连,练,炼,联,两,怜,廉,粮,莲,量,帘,脸,狼
债	摘,窄,寨,宰,再,灾,在,载,宅,仔,栽
又	游,友,权,优,由,邮,犹,油,幽,悠,右,忧,有,诱,幼,尤
暑	煮,诉,疏,理,束,数,蔬,淑,署,树,绪,叔,童,宿,枢,肃,输,者,术,属,埋,抒,俗,赌,著,素,书,鼠,熟,都,舒,速,苏,塑,诸,里,述,堵,竖,殊
喻	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,于,愈,输,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,偷,浴
酒	舅,久,纠,醉,究,救,旧,配,九,酬,就
暮	莫,亩,慕,漠,墓,幕,母,木,牧,姆,模,穆,摸,目
晓	效,萧,硝,销,孝,消,笑,校,小,肖
肯	坑,跟,垦,根,恳
带	呆,代,逮,戴,袋,待,贷
够	扣,钩,多,狗,口,构,沟,移,购,勾
夭	腰,跃,要,耀,药,邀,遥,摇,咬,姚
程	尘,称,沉,惩,城,层,诚,衬,臣,承,呈,趁,曾,陈,成,晨,撑,乘
王	斑,万,汪,琴,往,网,湾,忘,亡,旺,完,玩,顽,班,望,碗,挽,晚,妄,狂,弯
船	川,穿,闯,创,床,串,窗,传,喘
尾	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,卫,维,纬,微,魏,喂,唯,违
婆	迫,泊,破,泼,颇,坡
篓	柔,楼,肉,漏
棠	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊
呐	钠,辣,拉,娜,蜡,拿,哪,内,啦,那,纳,腊
撩	辽,了,疗,鸟,料,僚,尿,聊
泞	龄,铃,另,您,陵,灵,玲,凝,零,领,令,凌,岭,宁
蹲	敦,顿,吨,盾
卫	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,维,纬,微,魏,喂,唯,违
柠	龄,铃,另,您,陵,灵,玲,凝,零,领,令,凌,岭,宁
吼	否,侯,厚,猴,候,后,喉
抚	扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,附
侠	夏,夹,下,吓,霞,峡,狭,瞎,辖
瞳	筒,痛,童,桶,通,统,铜,同
举	巨,距,惧,拒,聚,俱,居,据,剧,菊,局,矩,拘,句,具
溜	柳,纽,流,瘤,硫,刘,牛,留,扭,六
恢	绘,辉,汇,毁,灰,碳,炭,回,慧,惠,挥,徽,会,悔
捺	钠,辣,拉,娜,蜡,拿,哪,啦,那,呐,纳,腊
戌	许,序,叙,续,蓄,须,需,徐,虚,吁,绪
之	字,执,肢,滞,址,姿,致,稚,旨,志,泛,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,置,秩,治,子,乏,至,殖,植,只,枝
心	醒,行,杏,兴,新,信,幸,欣,性,型,辛,姓,形,星,刑
弊	闭,笔,比,彼,逼,毕,壁,蔽,鼻,碧,必,币,避,臂
解	借,界,介,截,街,姐,皆,劫,捷,戒,届,杰,接,洁,竭,阶,节,结,揭
描	庙,猫,秒,苗,妙
脐	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
晾	惊,梁,京,凉,谅,娘,良,链,景,辆,恋,亮,连,练,炼,联,两,怜,廉,粮,掠,莲,量,帘,脸
轰	鸿,哄,洪,红,宏
摇	姚,咬,腰,邀,瑶,要,耀,药,遥
灌	广,贯,馆,惯,宽,官,罐,观,冠,管,关,光,款
梭	所,说,锁,索,缩
逃	挑,陶,涛,萄,桃,兆,讨,淘,套,掏
黎	逆,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
抠	扣,钩,狗,够,口,构,沟,购,勾
乒	频,苹,品,凭,平,拼,屏,瓶,萍,贫,评
灸	舅,究,旧,久,酒,救,九,纠,就
爆	报,堡,薄,饱,包,保,胞,抱,暴,宝
挪	逻,诺,螺,娜,萝,络,哪,落,那,裸,洛,罗
琼	穷
敞	阐,苍,藏,缠,肠,厂,唱,尝,偿,昌,仓,场,畅,倡,舱,常,禅,颤,产
舔	天,甜,填,田,添
厦	沙,纱,萨,刹,洒,杀,啥,撒,砂,傻
母	亩,木,牧,姆,墓,幕,慕,穆,目
缓	荒,皇,惶,幻,煌,环,欢,援,黄,患,换,晃,暖,慌,唤
肤	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
岂	汽,期,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
葵	规,跪,鬼,愧,桂,贵,硅,轨,亏,龟,柜,归,溃
个	葛,格,隔,课,歌,棵,哥,可,革,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻,戈
钦	轻,庆,琴,侵,晴,请,倾,清,氢,亲,青,情,勤,秦
椿	寸,村,存,醇,纯,唇,春
峡	夏,夹,下,吓,霞,狭,瞎,辖
茉	墨,陌,魔,莫,默,抹,模,漠,膜,摸,磨,摩,末,沫
矾	凡,范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
