AB    Abbreviation
AW    Additional Word
CC    Coordinating conjunction
CD    Cardinal number
CLS   Classifier
DAD Determiner adjective
DP    Demonstrative Pronouns
DT    Determiner
EX    Existential there
EXC    Exclamation
FW    Foreign word
GEN Gender
IN    Preposition/subordinate conjunction
JJ    Adjective
JJR   Adjective, comparative
JJS   Adjective, superlative
LS    List item marker
M    Mark
MD    Modal
NN    Noun, singular or mass
NN:U    Mass noun		#new tag - deviation from Penn
NN:UN    Noun used as mass	#new tag - deviation from Penn
NNP   Proper noun, singular
NNPS  Proper noun, plural
NNS   Noun, plural
NP    Negative Particle
NUM    Number
PAD Possessive adjective
PAR    Particle
PDT   Predeterminer
POS   Possessive ending
PRO    Pronoun
PRP   Personal pronoun
PRP$  Possessive pronoun
QAD Quantitative adjective
RB    Adverb
RBR   Adverb, comparative
RBS   Adverb, superlative
ROY   Royal Language
RP    Particle
RPR    Relative Pronoun
SYM   Symbol
TXW    Tense expression words
TO    to
UH    Interjection
VB    Verb, base form
VBD   Verb, past tense
VBG   Verb, gerund/present participle
VBN   Verb, past participle
VBP   Verb, non-3rd ps. sing. present
VBZ   Verb, 3rd ps. sing. present
WDT   wh-determiner
WP    wh-pronoun
WP$   Possessive wh-pronoun
WRB   wh-adverb
``    Left open double quote
,     Comma
''    Right close double quote
.     Sentence-final punctuation
។     Sentence-final punctuation
:     Colon, semi-colon
$     Dollar sign
#     Pound sign
