# Words that have two valid spellings. Used by WordCoherencyRule.
# This file must be encoded in UTF-8.
# NOTE: to also find fullforms (e.g. aufwendiges, aufwendigeres), those 
# forms may need to be added to added.txt
Abgeordnetenbiographie;Abgeordnetenbiografie
Abiturphoto;Abiturfoto
Abschiedssinfonie;Abschiedssymphonie
Abschlussphoto;Abschlussfoto
Agrargeographie;Agrargeografie
Aktphoto;Aktfoto
Aktphotographie;Aktfotografie
Allgemeinbibliographie;Allgemeinbibliografie
Alpensinfonie;Alpensymphonie
Amateurphoto;Amateurfoto
Amateurphotographie;Amateurfotografie
Analogphotographie;Analogfotografie
Ankunftssinfonie;Ankunftssymphonie
arbeitsaufwendig;arbeitsaufwändig
Architekturphoto;Architekturfoto
Architekturphotographie;Architekturfotografie
Archivphoto;Archivfoto
Astronautenphoto;Astronautenfoto
Astrophotographie;Astrofotografie
Atelierphoto;Atelierfoto
Audiorecorder;Audiorekorder
Auferstehungssinfonie;Auferstehungssymphonie
Aufklärungsphoto;Aufklärungsfoto
Aufmacherphoto;Aufmacherfoto
Auftragsphotographie;Auftragsfotografie
aufwendig;aufwändig
Ausstellungsphoto;Ausstellungsfoto
Auswahlbibliographie;Auswahlbibliografie
Autobiographie;Autobiografie
autobiographisch;autobiografisch
Automatenphoto;Automatenfoto
Babyphotographie;Babyfotografie
Bahnhofsplatz;Bahnhofplatz
Baustellenphoto;Baustellenfoto
Befreiungssinfonie;Befreiungssymphonie
Begräbnissinfonie;Begräbnissymphonie
Beispielphoto;Beispielfoto
Benutzerphoto;Benutzerfoto
Bevölkerungsgeographie;Bevölkerungsgeografie
Beweisphoto;Beweisfoto
Bewerbungsphoto;Bewerbungsfoto
Bibliographie;Bibliografie
Bildbiographie;Bildbiografie
Bildschirmphoto;Bildschirmfoto
Bildtelegraphie;Bildtelegrafie
Biogeographie;Biogeografie
Biographie;Biografie
biographisch;biografisch
Blitzlichtphoto;Blitzlichtfoto
Blitzlichtphotographie;Blitzlichtfotografie
Blumenphoto;Blumenfoto
Blütenphoto;Blütenfoto
Bodengeographie;Bodengeografie
Bravour;Bravur
Buntphoto;Buntfoto
Choreographie;Choreografie
Computertomographie;Computertomografie
Dekolletee;Dekolleté
Delphin;Delfin
Demographie;Demografie
demographisch;demografisch
Detailphoto;Detailfoto
Differential;Differenzial
Digitalphoto;Digitalfoto
Digitalphotographie;Digitalfotografie
Dokumentarphotographie;Dokumentarfotografie
Doppelkassettenrecorder;Doppelkassettenrekorder
Einzelphoto;Einzelfoto
energieaufwendig;energieaufwändig
Erinnerungsphoto;Erinnerungsfoto
essentiell;essenziell
Ethnographie;Ethnografie
Exklusivphoto;Exklusivfoto
Facette;Fassette
Fachbibliographie;Fachbibliografie
Fahndungsphoto;Fahndungsfoto
Familienbiographie;Familienbiografie
Familienphoto;Familienfoto
Familienphotographie;Familienfotografie
Farblithographie;Farblithografie
Farbphoto;Farbfoto
Farbphotographie;Farbfotografie
Ferienphoto;Ferienfoto
Festplattenrecorder;Festplattenrekorder
Filmphoto;Filmfoto
Flugbildphotographie;Flugbildfotografie
Flugrecorder;Flugrekorder
