APPGE      DPS
AT         AT0
AT1        AT0
BCL        AV0
CC         CJC
CCB        CJC
CS         CJS
CSA        CJS
CSN        CJS
CST        CJT
CSW        CJS 
DA         DT0
DA1        DT0
DA2        DT0
DAR        DT0
DAT        DT0
DB         DT0   
DB2        DT0
DD         DT0
DD1        DT0
DD2        DT0
DDQ        DTQ       
DDQGE      DTQ
DDQV       DTQ      
EX         EX0
FO         UNC
FU         UNC
FW         UNC
GE         POS 
IF         PRP
II         PRP
IO         PRF
IW         PRP
JJ         AJ0
JJR        AJC
JJT        AJS
JK         AJ0
MC         CRD
MC1        CRD
MC2        CRD
MCGE       CRD
MCMC       CRD
MD         ORD
MF         CRD
ND1        NN1
NN         NN0
NN1        NN1
NN2        NN2
NNA        NNS
NNB        NNS
NNJ        NN0
NNJ2       NN2
NNL1       NP0 
NNL2       NP0 
NNO        CRD
NNO2       NN2
NNT1       NN1
NNT2       NN2
NNU        NN0
NNU1       NN1
NNU2       NN2
NP         NP0
NP1        NP0
NP2        NP0
NPD1       NP0
NPD2       NN2
NPM1       NP0
NPM2       NN2
NULL       NULL
PN         PNI
PN1        PNI
PNQO       PNQ
PNQS       PNQ
PNQV       PNQ
PNX1       PNX
PPGE       PNP
PPH1       PNP
PPHO1      PNP
PPHO2      PNP
PPHS1      PNP
PPHS2      PNP
PPIO1      PNP
PPIO2      PNP
PPIS1      PNP
PPIS2      PNP
PPX1       PNX
PPX2       PNX
PPY        PNP
RA         AV0
REX        AV0      
RG         AV0
RGQ        AVQ
RGQV       AVQ
RGR        AV0
RGT        AV0
RL         AV0
RP         AVP
RPK        AVP
RR         AV0
RRQ        AVQ
RRQV       AVQ
RRR        AV0
RRT        AV0
RT         AV0
TO         TO0
UH         ITJ
VB0        VBB
VBDR       VBD
VBDZ       VBD
VBG        VBG
VBI        VBI
VBM        VBB
VBN        VBN
VBR        VBB
VBZ        VBZ
VD0        VDB 
VDD        VDD
VDG        VDG
VDI        VDI  
VDN        VDN
VDZ        VDZ
VH0        VHB 
VHD        VHD
VHG        VHG
VHI        VHI  
VHN        VHN
VHZ        VHZ
VM         VM0
VMK        VM0
VV0        VVB
VVD        VVD
VVG        VVG
VVGK       VVG
VVI        VVI         
VVN        VVN
VVNK       VVN
VVZ        VVZ
XX         XX0
ZZ1        ZZ0
ZZ2        ZZ0
